setid,"MolaLity of 1-methyl-3-propylimidazolium bromide, mol/kg","Temperature, K","Pressure, kPa","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
OKaDi,0,288.15,101,999.099,Sadeghi et al. (2009b),Density,Liquid,AADYJk,O,water,AAnWVs,CCCn1cc[n+](C)c1.[Br-],1-methyl-3-propylimidazolium bromide,,,
OKaDi,0,293.15,101,998.203,Sadeghi et al. (2009b),Density,Liquid,AADYJk,O,water,AAnWVs,CCCn1cc[n+](C)c1.[Br-],1-methyl-3-propylimidazolium bromide,,,
OKaDi,0,298.15,101,997.043,Sadeghi et al. (2009b),Density,Liquid,AADYJk,O,water,AAnWVs,CCCn1cc[n+](C)c1.[Br-],1-methyl-3-propylimidazolium bromide,,,
OKaDi,0,303.15,101,995.645,Sadeghi et al. (2009b),Density,Liquid,AADYJk,O,water,AAnWVs,CCCn1cc[n+](C)c1.[Br-],1-methyl-3-propylimidazolium bromide,,,
OKaDi,0,308.15,101,994.029,Sadeghi et al. (2009b),Density,Liquid,AADYJk,O,water,AAnWVs,CCCn1cc[n+](C)c1.[Br-],1-methyl-3-propylimidazolium bromide,,,
OKaDi,0.0118,288.15,101,999.668,Sadeghi et al. (2009b),Density,Liquid,AADYJk,O,water,AAnWVs,CCCn1cc[n+](C)c1.[Br-],1-methyl-3-propylimidazolium bromide,,,
OKaDi,0.0118,293.15,101,998.761,Sadeghi et al. (2009b),Density,Liquid,AADYJk,O,water,AAnWVs,CCCn1cc[n+](C)c1.[Br-],1-methyl-3-propylimidazolium bromide,,,
OKaDi,0.0118,298.15,101,997.592,Sadeghi et al. (2009b),Density,Liquid,AADYJk,O,water,AAnWVs,CCCn1cc[n+](C)c1.[Br-],1-methyl-3-propylimidazolium bromide,,,
OKaDi,0.0118,303.15,101,996.187,Sadeghi et al. (2009b),Density,Liquid,AADYJk,O,water,AAnWVs,CCCn1cc[n+](C)c1.[Br-],1-methyl-3-propylimidazolium bromide,,,
OKaDi,0.0118,308.15,101,994.567,Sadeghi et al. (2009b),Density,Liquid,AADYJk,O,water,AAnWVs,CCCn1cc[n+](C)c1.[Br-],1-methyl-3-propylimidazolium bromide,,,
OKaDi,0.0216,288.15,101,1000.14,Sadeghi et al. (2009b),Density,Liquid,AADYJk,O,water,AAnWVs,CCCn1cc[n+](C)c1.[Br-],1-methyl-3-propylimidazolium bromide,,,
OKaDi,0.0216,293.15,101,999.232,Sadeghi et al. (2009b),Density,Liquid,AADYJk,O,water,AAnWVs,CCCn1cc[n+](C)c1.[Br-],1-methyl-3-propylimidazolium bromide,,,
OKaDi,0.0216,298.15,101,998.059,Sadeghi et al. (2009b),Density,Liquid,AADYJk,O,water,AAnWVs,CCCn1cc[n+](C)c1.[Br-],1-methyl-3-propylimidazolium bromide,,,
OKaDi,0.0216,303.15,101,996.648,Sadeghi et al. (2009b),Density,Liquid,AADYJk,O,water,AAnWVs,CCCn1cc[n+](C)c1.[Br-],1-methyl-3-propylimidazolium bromide,,,
OKaDi,0.0216,308.15,101,995.02,Sadeghi et al. (2009b),Density,Liquid,AADYJk,O,water,AAnWVs,CCCn1cc[n+](C)c1.[Br-],1-methyl-3-propylimidazolium bromide,,,
OKaDi,0.0259,288.15,101,1000.35,Sadeghi et al. (2009b),Density,Liquid,AADYJk,O,water,AAnWVs,CCCn1cc[n+](C)c1.[Br-],1-methyl-3-propylimidazolium bromide,,,
OKaDi,0.0259,293.15,101,999.434,Sadeghi et al. (2009b),Density,Liquid,AADYJk,O,water,AAnWVs,CCCn1cc[n+](C)c1.[Br-],1-methyl-3-propylimidazolium bromide,,,
OKaDi,0.0259,298.15,101,998.259,Sadeghi et al. (2009b),Density,Liquid,AADYJk,O,water,AAnWVs,CCCn1cc[n+](C)c1.[Br-],1-methyl-3-propylimidazolium bromide,,,
OKaDi,0.0259,303.15,101,996.844,Sadeghi et al. (2009b),Density,Liquid,AADYJk,O,water,AAnWVs,CCCn1cc[n+](C)c1.[Br-],1-methyl-3-propylimidazolium bromide,,,
OKaDi,0.0259,308.15,101,995.218,Sadeghi et al. (2009b),Density,Liquid,AADYJk,O,water,AAnWVs,CCCn1cc[n+](C)c1.[Br-],1-methyl-3-propylimidazolium bromide,,,
OKaDi,0.0363,288.15,101,1000.86,Sadeghi et al. (2009b),Density,Liquid,AADYJk,O,water,AAnWVs,CCCn1cc[n+](C)c1.[Br-],1-methyl-3-propylimidazolium bromide,,,
OKaDi,0.0363,293.15,101,999.934,Sadeghi et al. (2009b),Density,Liquid,AADYJk,O,water,AAnWVs,CCCn1cc[n+](C)c1.[Br-],1-methyl-3-propylimidazolium bromide,,,
OKaDi,0.0363,298.15,101,998.751,Sadeghi et al. (2009b),Density,Liquid,AADYJk,O,water,AAnWVs,CCCn1cc[n+](C)c1.[Br-],1-methyl-3-propylimidazolium bromide,,,
OKaDi,0.0363,303.15,101,997.333,Sadeghi et al. (2009b),Density,Liquid,AADYJk,O,water,AAnWVs,CCCn1cc[n+](C)c1.[Br-],1-methyl-3-propylimidazolium bromide,,,
OKaDi,0.0363,308.15,101,995.698,Sadeghi et al. (2009b),Density,Liquid,AADYJk,O,water,AAnWVs,CCCn1cc[n+](C)c1.[Br-],1-methyl-3-propylimidazolium bromide,,,
OKaDi,0.0413,288.15,101,1001.09,Sadeghi et al. (2009b),Density,Liquid,AADYJk,O,water,AAnWVs,CCCn1cc[n+](C)c1.[Br-],1-methyl-3-propylimidazolium bromide,,,
OKaDi,0.0413,293.15,101,1000.16,Sadeghi et al. (2009b),Density,Liquid,AADYJk,O,water,AAnWVs,CCCn1cc[n+](C)c1.[Br-],1-methyl-3-propylimidazolium bromide,,,
OKaDi,0.0413,298.15,101,998.974,Sadeghi et al. (2009b),Density,Liquid,AADYJk,O,water,AAnWVs,CCCn1cc[n+](C)c1.[Br-],1-methyl-3-propylimidazolium bromide,,,
OKaDi,0.0413,303.15,101,997.552,Sadeghi et al. (2009b),Density,Liquid,AADYJk,O,water,AAnWVs,CCCn1cc[n+](C)c1.[Br-],1-methyl-3-propylimidazolium bromide,,,
OKaDi,0.0413,308.15,101,995.917,Sadeghi et al. (2009b),Density,Liquid,AADYJk,O,water,AAnWVs,CCCn1cc[n+](C)c1.[Br-],1-methyl-3-propylimidazolium bromide,,,
OKaDi,0.0414,288.15,101,1001.1,Sadeghi et al. (2009b),Density,Liquid,AADYJk,O,water,AAnWVs,CCCn1cc[n+](C)c1.[Br-],1-methyl-3-propylimidazolium bromide,,,
OKaDi,0.0414,293.15,101,1000.17,Sadeghi et al. (2009b),Density,Liquid,AADYJk,O,water,AAnWVs,CCCn1cc[n+](C)c1.[Br-],1-methyl-3-propylimidazolium bromide,,,
OKaDi,0.0414,298.15,101,998.985,Sadeghi et al. (2009b),Density,Liquid,AADYJk,O,water,AAnWVs,CCCn1cc[n+](C)c1.[Br-],1-methyl-3-propylimidazolium bromide,,,
OKaDi,0.0414,303.15,101,997.562,Sadeghi et al. (2009b),Density,Liquid,AADYJk,O,water,AAnWVs,CCCn1cc[n+](C)c1.[Br-],1-methyl-3-propylimidazolium bromide,,,
OKaDi,0.0414,308.15,101,995.926,Sadeghi et al. (2009b),Density,Liquid,AADYJk,O,water,AAnWVs,CCCn1cc[n+](C)c1.[Br-],1-methyl-3-propylimidazolium bromide,,,
OKaDi,0.0529,288.15,101,1001.65,Sadeghi et al. (2009b),Density,Liquid,AADYJk,O,water,AAnWVs,CCCn1cc[n+](C)c1.[Br-],1-methyl-3-propylimidazolium bromide,,,
OKaDi,0.0529,293.15,101,1000.71,Sadeghi et al. (2009b),Density,Liquid,AADYJk,O,water,AAnWVs,CCCn1cc[n+](C)c1.[Br-],1-methyl-3-propylimidazolium bromide,,,
OKaDi,0.0529,298.15,101,999.52,Sadeghi et al. (2009b),Density,Liquid,AADYJk,O,water,AAnWVs,CCCn1cc[n+](C)c1.[Br-],1-methyl-3-propylimidazolium bromide,,,
OKaDi,0.0529,303.15,101,998.094,Sadeghi et al. (2009b),Density,Liquid,AADYJk,O,water,AAnWVs,CCCn1cc[n+](C)c1.[Br-],1-methyl-3-propylimidazolium bromide,,,
OKaDi,0.0529,308.15,101,996.453,Sadeghi et al. (2009b),Density,Liquid,AADYJk,O,water,AAnWVs,CCCn1cc[n+](C)c1.[Br-],1-methyl-3-propylimidazolium bromide,,,
OKaDi,0.0638,288.15,101,1002.17,Sadeghi et al. (2009b),Density,Liquid,AADYJk,O,water,AAnWVs,CCCn1cc[n+](C)c1.[Br-],1-methyl-3-propylimidazolium bromide,,,
OKaDi,0.0638,293.15,101,1001.23,Sadeghi et al. (2009b),Density,Liquid,AADYJk,O,water,AAnWVs,CCCn1cc[n+](C)c1.[Br-],1-methyl-3-propylimidazolium bromide,,,
OKaDi,0.0638,298.15,101,1000.03,Sadeghi et al. (2009b),Density,Liquid,AADYJk,O,water,AAnWVs,CCCn1cc[n+](C)c1.[Br-],1-methyl-3-propylimidazolium bromide,,,
OKaDi,0.0638,303.15,101,998.597,Sadeghi et al. (2009b),Density,Liquid,AADYJk,O,water,AAnWVs,CCCn1cc[n+](C)c1.[Br-],1-methyl-3-propylimidazolium bromide,,,
OKaDi,0.0638,308.15,101,996.951,Sadeghi et al. (2009b),Density,Liquid,AADYJk,O,water,AAnWVs,CCCn1cc[n+](C)c1.[Br-],1-methyl-3-propylimidazolium bromide,,,
OKaDi,0.0877,288.15,101,1003.31,Sadeghi et al. (2009b),Density,Liquid,AADYJk,O,water,AAnWVs,CCCn1cc[n+](C)c1.[Br-],1-methyl-3-propylimidazolium bromide,,,
OKaDi,0.0877,293.15,101,1002.36,Sadeghi et al. (2009b),Density,Liquid,AADYJk,O,water,AAnWVs,CCCn1cc[n+](C)c1.[Br-],1-methyl-3-propylimidazolium bromide,,,
OKaDi,0.0877,298.15,101,1001.14,Sadeghi et al. (2009b),Density,Liquid,AADYJk,O,water,AAnWVs,CCCn1cc[n+](C)c1.[Br-],1-methyl-3-propylimidazolium bromide,,,
OKaDi,0.0877,303.15,101,999.694,Sadeghi et al. (2009b),Density,Liquid,AADYJk,O,water,AAnWVs,CCCn1cc[n+](C)c1.[Br-],1-methyl-3-propylimidazolium bromide,,,
OKaDi,0.0877,308.15,101,998.036,Sadeghi et al. (2009b),Density,Liquid,AADYJk,O,water,AAnWVs,CCCn1cc[n+](C)c1.[Br-],1-methyl-3-propylimidazolium bromide,,,
OKaDi,0.1128,288.15,101,1004.49,Sadeghi et al. (2009b),Density,Liquid,AADYJk,O,water,AAnWVs,CCCn1cc[n+](C)c1.[Br-],1-methyl-3-propylimidazolium bromide,,,
OKaDi,0.1128,293.15,101,1003.51,Sadeghi et al. (2009b),Density,Liquid,AADYJk,O,water,AAnWVs,CCCn1cc[n+](C)c1.[Br-],1-methyl-3-propylimidazolium bromide,,,
OKaDi,0.1128,298.15,101,1002.28,Sadeghi et al. (2009b),Density,Liquid,AADYJk,O,water,AAnWVs,CCCn1cc[n+](C)c1.[Br-],1-methyl-3-propylimidazolium bromide,,,
OKaDi,0.1128,303.15,101,1000.83,Sadeghi et al. (2009b),Density,Liquid,AADYJk,O,water,AAnWVs,CCCn1cc[n+](C)c1.[Br-],1-methyl-3-propylimidazolium bromide,,,
OKaDi,0.1128,308.15,101,999.156,Sadeghi et al. (2009b),Density,Liquid,AADYJk,O,water,AAnWVs,CCCn1cc[n+](C)c1.[Br-],1-methyl-3-propylimidazolium bromide,,,
OKaDi,0.1328,288.15,101,1005.42,Sadeghi et al. (2009b),Density,Liquid,AADYJk,O,water,AAnWVs,CCCn1cc[n+](C)c1.[Br-],1-methyl-3-propylimidazolium bromide,,,
OKaDi,0.1328,293.15,101,1004.44,Sadeghi et al. (2009b),Density,Liquid,AADYJk,O,water,AAnWVs,CCCn1cc[n+](C)c1.[Br-],1-methyl-3-propylimidazolium bromide,,,
OKaDi,0.1328,298.15,101,1003.2,Sadeghi et al. (2009b),Density,Liquid,AADYJk,O,water,AAnWVs,CCCn1cc[n+](C)c1.[Br-],1-methyl-3-propylimidazolium bromide,,,
OKaDi,0.1328,303.15,101,1001.73,Sadeghi et al. (2009b),Density,Liquid,AADYJk,O,water,AAnWVs,CCCn1cc[n+](C)c1.[Br-],1-methyl-3-propylimidazolium bromide,,,
OKaDi,0.1328,308.15,101,1000.05,Sadeghi et al. (2009b),Density,Liquid,AADYJk,O,water,AAnWVs,CCCn1cc[n+](C)c1.[Br-],1-methyl-3-propylimidazolium bromide,,,
OKaDi,0.1492,288.15,101,1006.19,Sadeghi et al. (2009b),Density,Liquid,AADYJk,O,water,AAnWVs,CCCn1cc[n+](C)c1.[Br-],1-methyl-3-propylimidazolium bromide,,,
OKaDi,0.1492,293.15,101,1005.2,Sadeghi et al. (2009b),Density,Liquid,AADYJk,O,water,AAnWVs,CCCn1cc[n+](C)c1.[Br-],1-methyl-3-propylimidazolium bromide,,,
OKaDi,0.1492,298.15,101,1003.95,Sadeghi et al. (2009b),Density,Liquid,AADYJk,O,water,AAnWVs,CCCn1cc[n+](C)c1.[Br-],1-methyl-3-propylimidazolium bromide,,,
OKaDi,0.1492,303.15,101,1002.47,Sadeghi et al. (2009b),Density,Liquid,AADYJk,O,water,AAnWVs,CCCn1cc[n+](C)c1.[Br-],1-methyl-3-propylimidazolium bromide,,,
OKaDi,0.1492,308.15,101,1000.78,Sadeghi et al. (2009b),Density,Liquid,AADYJk,O,water,AAnWVs,CCCn1cc[n+](C)c1.[Br-],1-methyl-3-propylimidazolium bromide,,,
OKaDi,0.1722,288.15,101,1007.26,Sadeghi et al. (2009b),Density,Liquid,AADYJk,O,water,AAnWVs,CCCn1cc[n+](C)c1.[Br-],1-methyl-3-propylimidazolium bromide,,,
OKaDi,0.1722,293.15,101,1006.25,Sadeghi et al. (2009b),Density,Liquid,AADYJk,O,water,AAnWVs,CCCn1cc[n+](C)c1.[Br-],1-methyl-3-propylimidazolium bromide,,,
OKaDi,0.1722,298.15,101,1004.96,Sadeghi et al. (2009b),Density,Liquid,AADYJk,O,water,AAnWVs,CCCn1cc[n+](C)c1.[Br-],1-methyl-3-propylimidazolium bromide,,,
OKaDi,0.1722,303.15,101,1003.49,Sadeghi et al. (2009b),Density,Liquid,AADYJk,O,water,AAnWVs,CCCn1cc[n+](C)c1.[Br-],1-methyl-3-propylimidazolium bromide,,,
OKaDi,0.1722,308.15,101,1001.79,Sadeghi et al. (2009b),Density,Liquid,AADYJk,O,water,AAnWVs,CCCn1cc[n+](C)c1.[Br-],1-methyl-3-propylimidazolium bromide,,,
OKaDi,0.2021,288.15,101,1008.61,Sadeghi et al. (2009b),Density,Liquid,AADYJk,O,water,AAnWVs,CCCn1cc[n+](C)c1.[Br-],1-methyl-3-propylimidazolium bromide,,,
OKaDi,0.2021,293.15,101,1007.59,Sadeghi et al. (2009b),Density,Liquid,AADYJk,O,water,AAnWVs,CCCn1cc[n+](C)c1.[Br-],1-methyl-3-propylimidazolium bromide,,,
OKaDi,0.2021,298.15,101,1006.29,Sadeghi et al. (2009b),Density,Liquid,AADYJk,O,water,AAnWVs,CCCn1cc[n+](C)c1.[Br-],1-methyl-3-propylimidazolium bromide,,,
OKaDi,0.2021,303.15,101,1004.8,Sadeghi et al. (2009b),Density,Liquid,AADYJk,O,water,AAnWVs,CCCn1cc[n+](C)c1.[Br-],1-methyl-3-propylimidazolium bromide,,,
