setid,"Temperature, K",Mole fraction of acetone,"Pressure, kPa","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
UvuhM,278.15,0,101,1251,Lehmann et al. (2010),Density,Liquid,AALIPU,CC(C)=O,acetone,AAtWDT,CCOS(=O)(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium ethyl sulfate,,,
UvuhM,278.15,0.0048,101,1250.3,Lehmann et al. (2010),Density,Liquid,AALIPU,CC(C)=O,acetone,AAtWDT,CCOS(=O)(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium ethyl sulfate,,,
UvuhM,278.15,0.0098,101,1249.7,Lehmann et al. (2010),Density,Liquid,AALIPU,CC(C)=O,acetone,AAtWDT,CCOS(=O)(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium ethyl sulfate,,,
UvuhM,278.15,0.015,101,1249,Lehmann et al. (2010),Density,Liquid,AALIPU,CC(C)=O,acetone,AAtWDT,CCOS(=O)(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium ethyl sulfate,,,
UvuhM,278.15,0.0249,101,1248,Lehmann et al. (2010),Density,Liquid,AALIPU,CC(C)=O,acetone,AAtWDT,CCOS(=O)(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium ethyl sulfate,,,
UvuhM,278.15,0.0399,101,1245.5,Lehmann et al. (2010),Density,Liquid,AALIPU,CC(C)=O,acetone,AAtWDT,CCOS(=O)(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium ethyl sulfate,,,
UvuhM,278.15,0.06,101,1242.5,Lehmann et al. (2010),Density,Liquid,AALIPU,CC(C)=O,acetone,AAtWDT,CCOS(=O)(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium ethyl sulfate,,,
UvuhM,278.15,0.0799,101,1239.6,Lehmann et al. (2010),Density,Liquid,AALIPU,CC(C)=O,acetone,AAtWDT,CCOS(=O)(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium ethyl sulfate,,,
UvuhM,278.15,0.1002,101,1236.5,Lehmann et al. (2010),Density,Liquid,AALIPU,CC(C)=O,acetone,AAtWDT,CCOS(=O)(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium ethyl sulfate,,,
UvuhM,278.15,0.1501,101,1228.8,Lehmann et al. (2010),Density,Liquid,AALIPU,CC(C)=O,acetone,AAtWDT,CCOS(=O)(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium ethyl sulfate,,,
