setid,"Temperature, K","MolaLity of dodecyltrimethylammonium bromide, mol/kg","Pressure, kPa","Solvent: MolaLity of tetrapropylammonium nitrate, mol/kg","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
dJuQH,293.15,0,100,0.01,998.495,Kaur and Chauhan (2020),Density,Liquid,AAvnzR,CCC[N+](CCC)(CCC)CCC.O=[N+]([O-])[O-],tetrapropylammonium nitrate,ABHPBX,CCCCCCCCCCCC[N+](C)(C)C.[Br-],dodecyltrimethylammonium bromide,AADYJk,O,water
dJuQH,293.15,0.003,100,0.01,998.619,Kaur and Chauhan (2020),Density,Liquid,AAvnzR,CCC[N+](CCC)(CCC)CCC.O=[N+]([O-])[O-],tetrapropylammonium nitrate,ABHPBX,CCCCCCCCCCCC[N+](C)(C)C.[Br-],dodecyltrimethylammonium bromide,AADYJk,O,water
dJuQH,293.15,0.006,100,0.01,998.704,Kaur and Chauhan (2020),Density,Liquid,AAvnzR,CCC[N+](CCC)(CCC)CCC.O=[N+]([O-])[O-],tetrapropylammonium nitrate,ABHPBX,CCCCCCCCCCCC[N+](C)(C)C.[Br-],dodecyltrimethylammonium bromide,AADYJk,O,water
dJuQH,293.15,0.009,100,0.01,998.752,Kaur and Chauhan (2020),Density,Liquid,AAvnzR,CCC[N+](CCC)(CCC)CCC.O=[N+]([O-])[O-],tetrapropylammonium nitrate,ABHPBX,CCCCCCCCCCCC[N+](C)(C)C.[Br-],dodecyltrimethylammonium bromide,AADYJk,O,water
dJuQH,293.15,0.012,100,0.01,998.798,Kaur and Chauhan (2020),Density,Liquid,AAvnzR,CCC[N+](CCC)(CCC)CCC.O=[N+]([O-])[O-],tetrapropylammonium nitrate,ABHPBX,CCCCCCCCCCCC[N+](C)(C)C.[Br-],dodecyltrimethylammonium bromide,AADYJk,O,water
dJuQH,293.15,0.015,100,0.01,998.845,Kaur and Chauhan (2020),Density,Liquid,AAvnzR,CCC[N+](CCC)(CCC)CCC.O=[N+]([O-])[O-],tetrapropylammonium nitrate,ABHPBX,CCCCCCCCCCCC[N+](C)(C)C.[Br-],dodecyltrimethylammonium bromide,AADYJk,O,water
dJuQH,293.15,0.018,100,0.01,998.884,Kaur and Chauhan (2020),Density,Liquid,AAvnzR,CCC[N+](CCC)(CCC)CCC.O=[N+]([O-])[O-],tetrapropylammonium nitrate,ABHPBX,CCCCCCCCCCCC[N+](C)(C)C.[Br-],dodecyltrimethylammonium bromide,AADYJk,O,water
dJuQH,293.15,0.021,100,0.01,998.924,Kaur and Chauhan (2020),Density,Liquid,AAvnzR,CCC[N+](CCC)(CCC)CCC.O=[N+]([O-])[O-],tetrapropylammonium nitrate,ABHPBX,CCCCCCCCCCCC[N+](C)(C)C.[Br-],dodecyltrimethylammonium bromide,AADYJk,O,water
dJuQH,293.15,0.024,100,0.01,998.983,Kaur and Chauhan (2020),Density,Liquid,AAvnzR,CCC[N+](CCC)(CCC)CCC.O=[N+]([O-])[O-],tetrapropylammonium nitrate,ABHPBX,CCCCCCCCCCCC[N+](C)(C)C.[Br-],dodecyltrimethylammonium bromide,AADYJk,O,water
dJuQH,293.15,0.027,100,0.01,999.027,Kaur and Chauhan (2020),Density,Liquid,AAvnzR,CCC[N+](CCC)(CCC)CCC.O=[N+]([O-])[O-],tetrapropylammonium nitrate,ABHPBX,CCCCCCCCCCCC[N+](C)(C)C.[Br-],dodecyltrimethylammonium bromide,AADYJk,O,water
dJuQH,293.15,0.03,100,0.01,999.096,Kaur and Chauhan (2020),Density,Liquid,AAvnzR,CCC[N+](CCC)(CCC)CCC.O=[N+]([O-])[O-],tetrapropylammonium nitrate,ABHPBX,CCCCCCCCCCCC[N+](C)(C)C.[Br-],dodecyltrimethylammonium bromide,AADYJk,O,water
dJuQH,298.15,0,100,0.01,997.336,Kaur and Chauhan (2020),Density,Liquid,AAvnzR,CCC[N+](CCC)(CCC)CCC.O=[N+]([O-])[O-],tetrapropylammonium nitrate,ABHPBX,CCCCCCCCCCCC[N+](C)(C)C.[Br-],dodecyltrimethylammonium bromide,AADYJk,O,water
dJuQH,298.15,0.003,100,0.01,997.415,Kaur and Chauhan (2020),Density,Liquid,AAvnzR,CCC[N+](CCC)(CCC)CCC.O=[N+]([O-])[O-],tetrapropylammonium nitrate,ABHPBX,CCCCCCCCCCCC[N+](C)(C)C.[Br-],dodecyltrimethylammonium bromide,AADYJk,O,water
