setid,"Temperature, K",Weight fraction of 1-ethyl-3-methylimidazolium octyl sulfate,Weight fraction of lithium sulfate,"Pressure, kPa","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
IAZmc,288.95,0.7792,0.0052,101,1088.5,Cabeza et al. (2017),Density,Liquid,AADYJk,O,water,AAVHMA,O=S(=O)([O-])[O-].[Li+].[Li+],lithium sulfate,ABJgup,CCCCCCCCOS(=O)(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium octyl sulfate
IAZmc,289.15,0.7792,0.0052,101,1088.4,Cabeza et al. (2017),Density,Liquid,AADYJk,O,water,AAVHMA,O=S(=O)([O-])[O-].[Li+].[Li+],lithium sulfate,ABJgup,CCCCCCCCOS(=O)(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium octyl sulfate
IAZmc,289.25,0.7792,0.0052,101,1088.3,Cabeza et al. (2017),Density,Liquid,AADYJk,O,water,AAVHMA,O=S(=O)([O-])[O-].[Li+].[Li+],lithium sulfate,ABJgup,CCCCCCCCOS(=O)(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium octyl sulfate
IAZmc,289.45,0.7792,0.0052,101,1088.2,Cabeza et al. (2017),Density,Liquid,AADYJk,O,water,AAVHMA,O=S(=O)([O-])[O-].[Li+].[Li+],lithium sulfate,ABJgup,CCCCCCCCOS(=O)(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium octyl sulfate
IAZmc,289.65,0.7792,0.0052,101,1088,Cabeza et al. (2017),Density,Liquid,AADYJk,O,water,AAVHMA,O=S(=O)([O-])[O-].[Li+].[Li+],lithium sulfate,ABJgup,CCCCCCCCOS(=O)(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium octyl sulfate
IAZmc,289.65,0.7792,0.0052,101,1088.1,Cabeza et al. (2017),Density,Liquid,AADYJk,O,water,AAVHMA,O=S(=O)([O-])[O-].[Li+].[Li+],lithium sulfate,ABJgup,CCCCCCCCOS(=O)(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium octyl sulfate
IAZmc,290.15,0.7792,0.0052,101,1087.6,Cabeza et al. (2017),Density,Liquid,AADYJk,O,water,AAVHMA,O=S(=O)([O-])[O-].[Li+].[Li+],lithium sulfate,ABJgup,CCCCCCCCOS(=O)(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium octyl sulfate
IAZmc,291.15,0.7792,0.0052,101,1086.9,Cabeza et al. (2017),Density,Liquid,AADYJk,O,water,AAVHMA,O=S(=O)([O-])[O-].[Li+].[Li+],lithium sulfate,ABJgup,CCCCCCCCOS(=O)(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium octyl sulfate
IAZmc,293.15,0.7792,0.0052,101,1085.5,Cabeza et al. (2017),Density,Liquid,AADYJk,O,water,AAVHMA,O=S(=O)([O-])[O-].[Li+].[Li+],lithium sulfate,ABJgup,CCCCCCCCOS(=O)(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium octyl sulfate
IAZmc,296.15,0.7792,0.0052,101,1083.4,Cabeza et al. (2017),Density,Liquid,AADYJk,O,water,AAVHMA,O=S(=O)([O-])[O-].[Li+].[Li+],lithium sulfate,ABJgup,CCCCCCCCOS(=O)(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium octyl sulfate
IAZmc,298.15,0.7792,0.0052,101,1082.1,Cabeza et al. (2017),Density,Liquid,AADYJk,O,water,AAVHMA,O=S(=O)([O-])[O-].[Li+].[Li+],lithium sulfate,ABJgup,CCCCCCCCOS(=O)(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium octyl sulfate
IAZmc,303.15,0.7792,0.0052,101,1078.7,Cabeza et al. (2017),Density,Liquid,AADYJk,O,water,AAVHMA,O=S(=O)([O-])[O-].[Li+].[Li+],lithium sulfate,ABJgup,CCCCCCCCOS(=O)(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium octyl sulfate
IAZmc,308.15,0.7792,0.0052,101,1075.2,Cabeza et al. (2017),Density,Liquid,AADYJk,O,water,AAVHMA,O=S(=O)([O-])[O-].[Li+].[Li+],lithium sulfate,ABJgup,CCCCCCCCOS(=O)(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium octyl sulfate
IAZmc,318.15,0.7792,0.0052,101,1068.3,Cabeza et al. (2017),Density,Liquid,AADYJk,O,water,AAVHMA,O=S(=O)([O-])[O-].[Li+].[Li+],lithium sulfate,ABJgup,CCCCCCCCOS(=O)(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium octyl sulfate
IAZmc,328.15,0.7792,0.0052,101,1061.3,Cabeza et al. (2017),Density,Liquid,AADYJk,O,water,AAVHMA,O=S(=O)([O-])[O-].[Li+].[Li+],lithium sulfate,ABJgup,CCCCCCCCOS(=O)(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium octyl sulfate
IAZmc,338.15,0.7792,0.0052,101,1054.2,Cabeza et al. (2017),Density,Liquid,AADYJk,O,water,AAVHMA,O=S(=O)([O-])[O-].[Li+].[Li+],lithium sulfate,ABJgup,CCCCCCCCOS(=O)(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium octyl sulfate
