setid,"Temperature, K",Mole fraction of 1-ethyl-3-methylimidazolium trifluoromethanesulfonate,"Pressure, kPa","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
jDqfZ,293.15,0,100,998.2,Carissimi et al. (2019),Density,Liquid,AAyCVz,CC[n+]1ccn(C)c1.O=S(=O)([O-])C(F)(F)F,1-ethyl-3-methylimidazolium trifluoromethanesulfonate,AADYJk,O,water,,,
jDqfZ,293.15,0.1001,100,1209.3,Carissimi et al. (2019),Density,Liquid,AAyCVz,CC[n+]1ccn(C)c1.O=S(=O)([O-])C(F)(F)F,1-ethyl-3-methylimidazolium trifluoromethanesulfonate,AADYJk,O,water,,,
jDqfZ,293.15,0.2002,100,1281.5,Carissimi et al. (2019),Density,Liquid,AAyCVz,CC[n+]1ccn(C)c1.O=S(=O)([O-])C(F)(F)F,1-ethyl-3-methylimidazolium trifluoromethanesulfonate,AADYJk,O,water,,,
jDqfZ,293.15,0.3005,100,1315.5,Carissimi et al. (2019),Density,Liquid,AAyCVz,CC[n+]1ccn(C)c1.O=S(=O)([O-])C(F)(F)F,1-ethyl-3-methylimidazolium trifluoromethanesulfonate,AADYJk,O,water,,,
jDqfZ,293.15,0.4002,100,1336.6,Carissimi et al. (2019),Density,Liquid,AAyCVz,CC[n+]1ccn(C)c1.O=S(=O)([O-])C(F)(F)F,1-ethyl-3-methylimidazolium trifluoromethanesulfonate,AADYJk,O,water,,,
jDqfZ,293.15,0.5003,100,1352.5,Carissimi et al. (2019),Density,Liquid,AAyCVz,CC[n+]1ccn(C)c1.O=S(=O)([O-])C(F)(F)F,1-ethyl-3-methylimidazolium trifluoromethanesulfonate,AADYJk,O,water,,,
jDqfZ,293.15,0.5997,100,1364.4,Carissimi et al. (2019),Density,Liquid,AAyCVz,CC[n+]1ccn(C)c1.O=S(=O)([O-])C(F)(F)F,1-ethyl-3-methylimidazolium trifluoromethanesulfonate,AADYJk,O,water,,,
jDqfZ,293.15,0.6996,100,1372.7,Carissimi et al. (2019),Density,Liquid,AAyCVz,CC[n+]1ccn(C)c1.O=S(=O)([O-])C(F)(F)F,1-ethyl-3-methylimidazolium trifluoromethanesulfonate,AADYJk,O,water,,,
jDqfZ,293.15,0.8011,100,1379.1,Carissimi et al. (2019),Density,Liquid,AAyCVz,CC[n+]1ccn(C)c1.O=S(=O)([O-])C(F)(F)F,1-ethyl-3-methylimidazolium trifluoromethanesulfonate,AADYJk,O,water,,,
jDqfZ,293.15,0.8992,100,1384.2,Carissimi et al. (2019),Density,Liquid,AAyCVz,CC[n+]1ccn(C)c1.O=S(=O)([O-])C(F)(F)F,1-ethyl-3-methylimidazolium trifluoromethanesulfonate,AADYJk,O,water,,,
jDqfZ,303.15,0,100,995.6,Carissimi et al. (2019),Density,Liquid,AAyCVz,CC[n+]1ccn(C)c1.O=S(=O)([O-])C(F)(F)F,1-ethyl-3-methylimidazolium trifluoromethanesulfonate,AADYJk,O,water,,,
jDqfZ,303.15,0.1001,100,1201.8,Carissimi et al. (2019),Density,Liquid,AAyCVz,CC[n+]1ccn(C)c1.O=S(=O)([O-])C(F)(F)F,1-ethyl-3-methylimidazolium trifluoromethanesulfonate,AADYJk,O,water,,,
jDqfZ,303.15,0.2002,100,1272.8,Carissimi et al. (2019),Density,Liquid,AAyCVz,CC[n+]1ccn(C)c1.O=S(=O)([O-])C(F)(F)F,1-ethyl-3-methylimidazolium trifluoromethanesulfonate,AADYJk,O,water,,,
jDqfZ,303.15,0.3005,100,1307.2,Carissimi et al. (2019),Density,Liquid,AAyCVz,CC[n+]1ccn(C)c1.O=S(=O)([O-])C(F)(F)F,1-ethyl-3-methylimidazolium trifluoromethanesulfonate,AADYJk,O,water,,,
jDqfZ,303.15,0.4002,100,1328,Carissimi et al. (2019),Density,Liquid,AAyCVz,CC[n+]1ccn(C)c1.O=S(=O)([O-])C(F)(F)F,1-ethyl-3-methylimidazolium trifluoromethanesulfonate,AADYJk,O,water,,,
jDqfZ,303.15,0.5003,100,1344,Carissimi et al. (2019),Density,Liquid,AAyCVz,CC[n+]1ccn(C)c1.O=S(=O)([O-])C(F)(F)F,1-ethyl-3-methylimidazolium trifluoromethanesulfonate,AADYJk,O,water,,,
jDqfZ,303.15,0.5997,100,1356.2,Carissimi et al. (2019),Density,Liquid,AAyCVz,CC[n+]1ccn(C)c1.O=S(=O)([O-])C(F)(F)F,1-ethyl-3-methylimidazolium trifluoromethanesulfonate,AADYJk,O,water,,,
jDqfZ,303.15,0.6996,100,1364.6,Carissimi et al. (2019),Density,Liquid,AAyCVz,CC[n+]1ccn(C)c1.O=S(=O)([O-])C(F)(F)F,1-ethyl-3-methylimidazolium trifluoromethanesulfonate,AADYJk,O,water,,,
