setid,Mole fraction of acetone,"Temperature, K","Pressure, kPa","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
Adpxw,0,298.15,101,1593.2,Deenadayalu and Bhujrajh (2008),Density,Liquid,AALIPU,CC(C)=O,acetone,ABqZuM,CC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)C(F)(F)F)C(F)(F)C(F)(F)F,"1-ethyl-3-methylimidazolium 1,1,2,2,2-pentafluoro-N-[(pentafluoroethyl)sulfonyl]ethanesulfonamide",,,
Adpxw,0,303.15,101,1587.3,Deenadayalu and Bhujrajh (2008),Density,Liquid,AALIPU,CC(C)=O,acetone,ABqZuM,CC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)C(F)(F)F)C(F)(F)C(F)(F)F,"1-ethyl-3-methylimidazolium 1,1,2,2,2-pentafluoro-N-[(pentafluoroethyl)sulfonyl]ethanesulfonamide",,,
Adpxw,0,313.15,101,1576.7,Deenadayalu and Bhujrajh (2008),Density,Liquid,AALIPU,CC(C)=O,acetone,ABqZuM,CC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)C(F)(F)F)C(F)(F)C(F)(F)F,"1-ethyl-3-methylimidazolium 1,1,2,2,2-pentafluoro-N-[(pentafluoroethyl)sulfonyl]ethanesulfonamide",,,
Adpxw,0.0807,298.15,101,1576.8,Deenadayalu and Bhujrajh (2008),Density,Liquid,AALIPU,CC(C)=O,acetone,ABqZuM,CC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)C(F)(F)F)C(F)(F)C(F)(F)F,"1-ethyl-3-methylimidazolium 1,1,2,2,2-pentafluoro-N-[(pentafluoroethyl)sulfonyl]ethanesulfonamide",,,
Adpxw,0.0807,303.15,101,1571.1,Deenadayalu and Bhujrajh (2008),Density,Liquid,AALIPU,CC(C)=O,acetone,ABqZuM,CC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)C(F)(F)F)C(F)(F)C(F)(F)F,"1-ethyl-3-methylimidazolium 1,1,2,2,2-pentafluoro-N-[(pentafluoroethyl)sulfonyl]ethanesulfonamide",,,
Adpxw,0.0807,313.15,101,1560.2,Deenadayalu and Bhujrajh (2008),Density,Liquid,AALIPU,CC(C)=O,acetone,ABqZuM,CC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)C(F)(F)F)C(F)(F)C(F)(F)F,"1-ethyl-3-methylimidazolium 1,1,2,2,2-pentafluoro-N-[(pentafluoroethyl)sulfonyl]ethanesulfonamide",,,
Adpxw,0.1417,298.15,101,1563.1,Deenadayalu and Bhujrajh (2008),Density,Liquid,AALIPU,CC(C)=O,acetone,ABqZuM,CC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)C(F)(F)F)C(F)(F)C(F)(F)F,"1-ethyl-3-methylimidazolium 1,1,2,2,2-pentafluoro-N-[(pentafluoroethyl)sulfonyl]ethanesulfonamide",,,
Adpxw,0.1417,303.15,101,1557.4,Deenadayalu and Bhujrajh (2008),Density,Liquid,AALIPU,CC(C)=O,acetone,ABqZuM,CC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)C(F)(F)F)C(F)(F)C(F)(F)F,"1-ethyl-3-methylimidazolium 1,1,2,2,2-pentafluoro-N-[(pentafluoroethyl)sulfonyl]ethanesulfonamide",,,
Adpxw,0.1417,313.15,101,1546.4,Deenadayalu and Bhujrajh (2008),Density,Liquid,AALIPU,CC(C)=O,acetone,ABqZuM,CC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)C(F)(F)F)C(F)(F)C(F)(F)F,"1-ethyl-3-methylimidazolium 1,1,2,2,2-pentafluoro-N-[(pentafluoroethyl)sulfonyl]ethanesulfonamide",,,
Adpxw,0.2521,298.15,101,1534.6,Deenadayalu and Bhujrajh (2008),Density,Liquid,AALIPU,CC(C)=O,acetone,ABqZuM,CC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)C(F)(F)F)C(F)(F)C(F)(F)F,"1-ethyl-3-methylimidazolium 1,1,2,2,2-pentafluoro-N-[(pentafluoroethyl)sulfonyl]ethanesulfonamide",,,
Adpxw,0.2521,303.15,101,1528.8,Deenadayalu and Bhujrajh (2008),Density,Liquid,AALIPU,CC(C)=O,acetone,ABqZuM,CC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)C(F)(F)F)C(F)(F)C(F)(F)F,"1-ethyl-3-methylimidazolium 1,1,2,2,2-pentafluoro-N-[(pentafluoroethyl)sulfonyl]ethanesulfonamide",,,
Adpxw,0.2521,313.15,101,1517.7,Deenadayalu and Bhujrajh (2008),Density,Liquid,AALIPU,CC(C)=O,acetone,ABqZuM,CC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)C(F)(F)F)C(F)(F)C(F)(F)F,"1-ethyl-3-methylimidazolium 1,1,2,2,2-pentafluoro-N-[(pentafluoroethyl)sulfonyl]ethanesulfonamide",,,
Adpxw,0.2791,298.15,101,1526.6,Deenadayalu and Bhujrajh (2008),Density,Liquid,AALIPU,CC(C)=O,acetone,ABqZuM,CC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)C(F)(F)F)C(F)(F)C(F)(F)F,"1-ethyl-3-methylimidazolium 1,1,2,2,2-pentafluoro-N-[(pentafluoroethyl)sulfonyl]ethanesulfonamide",,,
Adpxw,0.2791,303.15,101,1520.8,Deenadayalu and Bhujrajh (2008),Density,Liquid,AALIPU,CC(C)=O,acetone,ABqZuM,CC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)C(F)(F)F)C(F)(F)C(F)(F)F,"1-ethyl-3-methylimidazolium 1,1,2,2,2-pentafluoro-N-[(pentafluoroethyl)sulfonyl]ethanesulfonamide",,,
Adpxw,0.2791,313.15,101,1509.6,Deenadayalu and Bhujrajh (2008),Density,Liquid,AALIPU,CC(C)=O,acetone,ABqZuM,CC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)C(F)(F)F)C(F)(F)C(F)(F)F,"1-ethyl-3-methylimidazolium 1,1,2,2,2-pentafluoro-N-[(pentafluoroethyl)sulfonyl]ethanesulfonamide",,,
Adpxw,0.415,298.15,101,1479.2,Deenadayalu and Bhujrajh (2008),Density,Liquid,AALIPU,CC(C)=O,acetone,ABqZuM,CC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)C(F)(F)F)C(F)(F)C(F)(F)F,"1-ethyl-3-methylimidazolium 1,1,2,2,2-pentafluoro-N-[(pentafluoroethyl)sulfonyl]ethanesulfonamide",,,
Adpxw,0.415,303.15,101,1473.3,Deenadayalu and Bhujrajh (2008),Density,Liquid,AALIPU,CC(C)=O,acetone,ABqZuM,CC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)C(F)(F)F)C(F)(F)C(F)(F)F,"1-ethyl-3-methylimidazolium 1,1,2,2,2-pentafluoro-N-[(pentafluoroethyl)sulfonyl]ethanesulfonamide",,,
