setid,"Temperature, K","MolaLity of trihexylammonium butanoate, mol/kg","Pressure, kPa","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
PGrez,293.15,0,100,748.837,Keshapolla et al. (2018),Density,Liquid,ABQosp,CCCC(=O)[O-].CCCCCC[NH+](CCCCCC)CCCCCC,trihexylammonium butanoate,AAgnKZ,CCCCCCCCCCCC,dodecane,,,
PGrez,293.15,0.07062,100,750.692,Keshapolla et al. (2018),Density,Liquid,ABQosp,CCCC(=O)[O-].CCCCCC[NH+](CCCCCC)CCCCCC,trihexylammonium butanoate,AAgnKZ,CCCCCCCCCCCC,dodecane,,,
PGrez,293.15,0.1369,100,752.471,Keshapolla et al. (2018),Density,Liquid,ABQosp,CCCC(=O)[O-].CCCCCC[NH+](CCCCCC)CCCCCC,trihexylammonium butanoate,AAgnKZ,CCCCCCCCCCCC,dodecane,,,
PGrez,293.15,0.21439,100,754.457,Keshapolla et al. (2018),Density,Liquid,ABQosp,CCCC(=O)[O-].CCCCCC[NH+](CCCCCC)CCCCCC,trihexylammonium butanoate,AAgnKZ,CCCCCCCCCCCC,dodecane,,,
PGrez,293.15,0.27869,100,756.028,Keshapolla et al. (2018),Density,Liquid,ABQosp,CCCC(=O)[O-].CCCCCC[NH+](CCCCCC)CCCCCC,trihexylammonium butanoate,AAgnKZ,CCCCCCCCCCCC,dodecane,,,
PGrez,293.15,0.35043,100,757.819,Keshapolla et al. (2018),Density,Liquid,ABQosp,CCCC(=O)[O-].CCCCCC[NH+](CCCCCC)CCCCCC,trihexylammonium butanoate,AAgnKZ,CCCCCCCCCCCC,dodecane,,,
PGrez,293.15,0.42285,100,759.521,Keshapolla et al. (2018),Density,Liquid,ABQosp,CCCC(=O)[O-].CCCCCC[NH+](CCCCCC)CCCCCC,trihexylammonium butanoate,AAgnKZ,CCCCCCCCCCCC,dodecane,,,
PGrez,293.15,0.49628,100,761.622,Keshapolla et al. (2018),Density,Liquid,ABQosp,CCCC(=O)[O-].CCCCCC[NH+](CCCCCC)CCCCCC,trihexylammonium butanoate,AAgnKZ,CCCCCCCCCCCC,dodecane,,,
PGrez,293.15,0.56171,100,762.519,Keshapolla et al. (2018),Density,Liquid,ABQosp,CCCC(=O)[O-].CCCCCC[NH+](CCCCCC)CCCCCC,trihexylammonium butanoate,AAgnKZ,CCCCCCCCCCCC,dodecane,,,
PGrez,298.15,0,100,745.208,Keshapolla et al. (2018),Density,Liquid,ABQosp,CCCC(=O)[O-].CCCCCC[NH+](CCCCCC)CCCCCC,trihexylammonium butanoate,AAgnKZ,CCCCCCCCCCCC,dodecane,,,
PGrez,298.15,0.07062,100,747.043,Keshapolla et al. (2018),Density,Liquid,ABQosp,CCCC(=O)[O-].CCCCCC[NH+](CCCCCC)CCCCCC,trihexylammonium butanoate,AAgnKZ,CCCCCCCCCCCC,dodecane,,,
PGrez,298.15,0.1369,100,748.828,Keshapolla et al. (2018),Density,Liquid,ABQosp,CCCC(=O)[O-].CCCCCC[NH+](CCCCCC)CCCCCC,trihexylammonium butanoate,AAgnKZ,CCCCCCCCCCCC,dodecane,,,
PGrez,298.15,0.21439,100,750.852,Keshapolla et al. (2018),Density,Liquid,ABQosp,CCCC(=O)[O-].CCCCCC[NH+](CCCCCC)CCCCCC,trihexylammonium butanoate,AAgnKZ,CCCCCCCCCCCC,dodecane,,,
PGrez,298.15,0.27869,100,752.379,Keshapolla et al. (2018),Density,Liquid,ABQosp,CCCC(=O)[O-].CCCCCC[NH+](CCCCCC)CCCCCC,trihexylammonium butanoate,AAgnKZ,CCCCCCCCCCCC,dodecane,,,
PGrez,298.15,0.35043,100,754.169,Keshapolla et al. (2018),Density,Liquid,ABQosp,CCCC(=O)[O-].CCCCCC[NH+](CCCCCC)CCCCCC,trihexylammonium butanoate,AAgnKZ,CCCCCCCCCCCC,dodecane,,,
PGrez,298.15,0.42285,100,755.875,Keshapolla et al. (2018),Density,Liquid,ABQosp,CCCC(=O)[O-].CCCCCC[NH+](CCCCCC)CCCCCC,trihexylammonium butanoate,AAgnKZ,CCCCCCCCCCCC,dodecane,,,
PGrez,298.15,0.49628,100,757.971,Keshapolla et al. (2018),Density,Liquid,ABQosp,CCCC(=O)[O-].CCCCCC[NH+](CCCCCC)CCCCCC,trihexylammonium butanoate,AAgnKZ,CCCCCCCCCCCC,dodecane,,,
PGrez,298.15,0.56171,100,758.869,Keshapolla et al. (2018),Density,Liquid,ABQosp,CCCC(=O)[O-].CCCCCC[NH+](CCCCCC)CCCCCC,trihexylammonium butanoate,AAgnKZ,CCCCCCCCCCCC,dodecane,,,
PGrez,303.15,0,100,741.577,Keshapolla et al. (2018),Density,Liquid,ABQosp,CCCC(=O)[O-].CCCCCC[NH+](CCCCCC)CCCCCC,trihexylammonium butanoate,AAgnKZ,CCCCCCCCCCCC,dodecane,,,
PGrez,303.15,0.07062,100,743.395,Keshapolla et al. (2018),Density,Liquid,ABQosp,CCCC(=O)[O-].CCCCCC[NH+](CCCCCC)CCCCCC,trihexylammonium butanoate,AAgnKZ,CCCCCCCCCCCC,dodecane,,,
PGrez,303.15,0.1369,100,745.178,Keshapolla et al. (2018),Density,Liquid,ABQosp,CCCC(=O)[O-].CCCCCC[NH+](CCCCCC)CCCCCC,trihexylammonium butanoate,AAgnKZ,CCCCCCCCCCCC,dodecane,,,
PGrez,303.15,0.21439,100,747.199,Keshapolla et al. (2018),Density,Liquid,ABQosp,CCCC(=O)[O-].CCCCCC[NH+](CCCCCC)CCCCCC,trihexylammonium butanoate,AAgnKZ,CCCCCCCCCCCC,dodecane,,,
PGrez,303.15,0.27869,100,748.724,Keshapolla et al. (2018),Density,Liquid,ABQosp,CCCC(=O)[O-].CCCCCC[NH+](CCCCCC)CCCCCC,trihexylammonium butanoate,AAgnKZ,CCCCCCCCCCCC,dodecane,,,
PGrez,303.15,0.35043,100,750.514,Keshapolla et al. (2018),Density,Liquid,ABQosp,CCCC(=O)[O-].CCCCCC[NH+](CCCCCC)CCCCCC,trihexylammonium butanoate,AAgnKZ,CCCCCCCCCCCC,dodecane,,,
PGrez,303.15,0.42285,100,752.219,Keshapolla et al. (2018),Density,Liquid,ABQosp,CCCC(=O)[O-].CCCCCC[NH+](CCCCCC)CCCCCC,trihexylammonium butanoate,AAgnKZ,CCCCCCCCCCCC,dodecane,,,
PGrez,303.15,0.49628,100,754.314,Keshapolla et al. (2018),Density,Liquid,ABQosp,CCCC(=O)[O-].CCCCCC[NH+](CCCCCC)CCCCCC,trihexylammonium butanoate,AAgnKZ,CCCCCCCCCCCC,dodecane,,,
PGrez,303.15,0.56171,100,755.208,Keshapolla et al. (2018),Density,Liquid,ABQosp,CCCC(=O)[O-].CCCCCC[NH+](CCCCCC)CCCCCC,trihexylammonium butanoate,AAgnKZ,CCCCCCCCCCCC,dodecane,,,
PGrez,308.15,0,100,737.939,Keshapolla et al. (2018),Density,Liquid,ABQosp,CCCC(=O)[O-].CCCCCC[NH+](CCCCCC)CCCCCC,trihexylammonium butanoate,AAgnKZ,CCCCCCCCCCCC,dodecane,,,
PGrez,308.15,0.07062,100,739.74,Keshapolla et al. (2018),Density,Liquid,ABQosp,CCCC(=O)[O-].CCCCCC[NH+](CCCCCC)CCCCCC,trihexylammonium butanoate,AAgnKZ,CCCCCCCCCCCC,dodecane,,,
PGrez,308.15,0.1369,100,741.518,Keshapolla et al. (2018),Density,Liquid,ABQosp,CCCC(=O)[O-].CCCCCC[NH+](CCCCCC)CCCCCC,trihexylammonium butanoate,AAgnKZ,CCCCCCCCCCCC,dodecane,,,
PGrez,308.15,0.21439,100,743.534,Keshapolla et al. (2018),Density,Liquid,ABQosp,CCCC(=O)[O-].CCCCCC[NH+](CCCCCC)CCCCCC,trihexylammonium butanoate,AAgnKZ,CCCCCCCCCCCC,dodecane,,,
PGrez,308.15,0.27869,100,745.059,Keshapolla et al. (2018),Density,Liquid,ABQosp,CCCC(=O)[O-].CCCCCC[NH+](CCCCCC)CCCCCC,trihexylammonium butanoate,AAgnKZ,CCCCCCCCCCCC,dodecane,,,
PGrez,308.15,0.35043,100,746.845,Keshapolla et al. (2018),Density,Liquid,ABQosp,CCCC(=O)[O-].CCCCCC[NH+](CCCCCC)CCCCCC,trihexylammonium butanoate,AAgnKZ,CCCCCCCCCCCC,dodecane,,,
PGrez,308.15,0.42285,100,748.551,Keshapolla et al. (2018),Density,Liquid,ABQosp,CCCC(=O)[O-].CCCCCC[NH+](CCCCCC)CCCCCC,trihexylammonium butanoate,AAgnKZ,CCCCCCCCCCCC,dodecane,,,
PGrez,308.15,0.49628,100,750.644,Keshapolla et al. (2018),Density,Liquid,ABQosp,CCCC(=O)[O-].CCCCCC[NH+](CCCCCC)CCCCCC,trihexylammonium butanoate,AAgnKZ,CCCCCCCCCCCC,dodecane,,,
PGrez,308.15,0.56171,100,751.539,Keshapolla et al. (2018),Density,Liquid,ABQosp,CCCC(=O)[O-].CCCCCC[NH+](CCCCCC)CCCCCC,trihexylammonium butanoate,AAgnKZ,CCCCCCCCCCCC,dodecane,,,
PGrez,313.15,0,100,734.294,Keshapolla et al. (2018),Density,Liquid,ABQosp,CCCC(=O)[O-].CCCCCC[NH+](CCCCCC)CCCCCC,trihexylammonium butanoate,AAgnKZ,CCCCCCCCCCCC,dodecane,,,
PGrez,313.15,0.07062,100,736.078,Keshapolla et al. (2018),Density,Liquid,ABQosp,CCCC(=O)[O-].CCCCCC[NH+](CCCCCC)CCCCCC,trihexylammonium butanoate,AAgnKZ,CCCCCCCCCCCC,dodecane,,,
PGrez,313.15,0.1369,100,737.85,Keshapolla et al. (2018),Density,Liquid,ABQosp,CCCC(=O)[O-].CCCCCC[NH+](CCCCCC)CCCCCC,trihexylammonium butanoate,AAgnKZ,CCCCCCCCCCCC,dodecane,,,
PGrez,313.15,0.21439,100,739.864,Keshapolla et al. (2018),Density,Liquid,ABQosp,CCCC(=O)[O-].CCCCCC[NH+](CCCCCC)CCCCCC,trihexylammonium butanoate,AAgnKZ,CCCCCCCCCCCC,dodecane,,,
PGrez,313.15,0.27869,100,741.382,Keshapolla et al. (2018),Density,Liquid,ABQosp,CCCC(=O)[O-].CCCCCC[NH+](CCCCCC)CCCCCC,trihexylammonium butanoate,AAgnKZ,CCCCCCCCCCCC,dodecane,,,
PGrez,313.15,0.35043,100,743.167,Keshapolla et al. (2018),Density,Liquid,ABQosp,CCCC(=O)[O-].CCCCCC[NH+](CCCCCC)CCCCCC,trihexylammonium butanoate,AAgnKZ,CCCCCCCCCCCC,dodecane,,,
PGrez,313.15,0.42285,100,744.87,Keshapolla et al. (2018),Density,Liquid,ABQosp,CCCC(=O)[O-].CCCCCC[NH+](CCCCCC)CCCCCC,trihexylammonium butanoate,AAgnKZ,CCCCCCCCCCCC,dodecane,,,
PGrez,313.15,0.49628,100,746.962,Keshapolla et al. (2018),Density,Liquid,ABQosp,CCCC(=O)[O-].CCCCCC[NH+](CCCCCC)CCCCCC,trihexylammonium butanoate,AAgnKZ,CCCCCCCCCCCC,dodecane,,,
PGrez,313.15,0.56171,100,747.856,Keshapolla et al. (2018),Density,Liquid,ABQosp,CCCC(=O)[O-].CCCCCC[NH+](CCCCCC)CCCCCC,trihexylammonium butanoate,AAgnKZ,CCCCCCCCCCCC,dodecane,,,
PGrez,318.15,0,100,730.644,Keshapolla et al. (2018),Density,Liquid,ABQosp,CCCC(=O)[O-].CCCCCC[NH+](CCCCCC)CCCCCC,trihexylammonium butanoate,AAgnKZ,CCCCCCCCCCCC,dodecane,,,
PGrez,318.15,0.07062,100,732.406,Keshapolla et al. (2018),Density,Liquid,ABQosp,CCCC(=O)[O-].CCCCCC[NH+](CCCCCC)CCCCCC,trihexylammonium butanoate,AAgnKZ,CCCCCCCCCCCC,dodecane,,,
PGrez,318.15,0.1369,100,734.169,Keshapolla et al. (2018),Density,Liquid,ABQosp,CCCC(=O)[O-].CCCCCC[NH+](CCCCCC)CCCCCC,trihexylammonium butanoate,AAgnKZ,CCCCCCCCCCCC,dodecane,,,
PGrez,318.15,0.21439,100,736.176,Keshapolla et al. (2018),Density,Liquid,ABQosp,CCCC(=O)[O-].CCCCCC[NH+](CCCCCC)CCCCCC,trihexylammonium butanoate,AAgnKZ,CCCCCCCCCCCC,dodecane,,,
PGrez,318.15,0.27869,100,737.695,Keshapolla et al. (2018),Density,Liquid,ABQosp,CCCC(=O)[O-].CCCCCC[NH+](CCCCCC)CCCCCC,trihexylammonium butanoate,AAgnKZ,CCCCCCCCCCCC,dodecane,,,
PGrez,318.15,0.35043,100,739.475,Keshapolla et al. (2018),Density,Liquid,ABQosp,CCCC(=O)[O-].CCCCCC[NH+](CCCCCC)CCCCCC,trihexylammonium butanoate,AAgnKZ,CCCCCCCCCCCC,dodecane,,,
PGrez,318.15,0.42285,100,741.178,Keshapolla et al. (2018),Density,Liquid,ABQosp,CCCC(=O)[O-].CCCCCC[NH+](CCCCCC)CCCCCC,trihexylammonium butanoate,AAgnKZ,CCCCCCCCCCCC,dodecane,,,
PGrez,318.15,0.49628,100,743.267,Keshapolla et al. (2018),Density,Liquid,ABQosp,CCCC(=O)[O-].CCCCCC[NH+](CCCCCC)CCCCCC,trihexylammonium butanoate,AAgnKZ,CCCCCCCCCCCC,dodecane,,,
PGrez,318.15,0.56171,100,744.162,Keshapolla et al. (2018),Density,Liquid,ABQosp,CCCC(=O)[O-].CCCCCC[NH+](CCCCCC)CCCCCC,trihexylammonium butanoate,AAgnKZ,CCCCCCCCCCCC,dodecane,,,
