setid,"MolaLity of 1-hexylpyridinium nitrate, mol/kg","Pressure, kPa","Temperature, K","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
qBLAg,0.0115,101,298.15,997.34,Mohammadi et al. (2021),Density,Liquid,AAraWc,CCCCCC[n+]1ccccc1.O=[N+]([O-])[O-],1-hexylpyridinium nitrate,AADYJk,O,water,,,
qBLAg,0.0214,101,298.15,997.6,Mohammadi et al. (2021),Density,Liquid,AAraWc,CCCCCC[n+]1ccccc1.O=[N+]([O-])[O-],1-hexylpyridinium nitrate,AADYJk,O,water,,,
qBLAg,0.0316,101,298.15,997.86,Mohammadi et al. (2021),Density,Liquid,AAraWc,CCCCCC[n+]1ccccc1.O=[N+]([O-])[O-],1-hexylpyridinium nitrate,AADYJk,O,water,,,
qBLAg,0.0406,101,298.15,998.09,Mohammadi et al. (2021),Density,Liquid,AAraWc,CCCCCC[n+]1ccccc1.O=[N+]([O-])[O-],1-hexylpyridinium nitrate,AADYJk,O,water,,,
qBLAg,0.0523,101,298.15,998.39,Mohammadi et al. (2021),Density,Liquid,AAraWc,CCCCCC[n+]1ccccc1.O=[N+]([O-])[O-],1-hexylpyridinium nitrate,AADYJk,O,water,,,
qBLAg,0.0618,101,298.15,998.65,Mohammadi et al. (2021),Density,Liquid,AAraWc,CCCCCC[n+]1ccccc1.O=[N+]([O-])[O-],1-hexylpyridinium nitrate,AADYJk,O,water,,,
qBLAg,0.0701,101,298.15,998.85,Mohammadi et al. (2021),Density,Liquid,AAraWc,CCCCCC[n+]1ccccc1.O=[N+]([O-])[O-],1-hexylpyridinium nitrate,AADYJk,O,water,,,
qBLAg,0.0806,101,298.15,999.12,Mohammadi et al. (2021),Density,Liquid,AAraWc,CCCCCC[n+]1ccccc1.O=[N+]([O-])[O-],1-hexylpyridinium nitrate,AADYJk,O,water,,,
qBLAg,0.0908,101,298.15,999.37,Mohammadi et al. (2021),Density,Liquid,AAraWc,CCCCCC[n+]1ccccc1.O=[N+]([O-])[O-],1-hexylpyridinium nitrate,AADYJk,O,water,,,
qBLAg,0.1015,101,298.15,999.63,Mohammadi et al. (2021),Density,Liquid,AAraWc,CCCCCC[n+]1ccccc1.O=[N+]([O-])[O-],1-hexylpyridinium nitrate,AADYJk,O,water,,,
qBLAg,0.201,101,298.15,1002.09,Mohammadi et al. (2021),Density,Liquid,AAraWc,CCCCCC[n+]1ccccc1.O=[N+]([O-])[O-],1-hexylpyridinium nitrate,AADYJk,O,water,,,
qBLAg,0.3014,101,298.15,1004.45,Mohammadi et al. (2021),Density,Liquid,AAraWc,CCCCCC[n+]1ccccc1.O=[N+]([O-])[O-],1-hexylpyridinium nitrate,AADYJk,O,water,,,
qBLAg,0.3998,101,298.15,1006.66,Mohammadi et al. (2021),Density,Liquid,AAraWc,CCCCCC[n+]1ccccc1.O=[N+]([O-])[O-],1-hexylpyridinium nitrate,AADYJk,O,water,,,
qBLAg,0.493,101,298.15,1008.69,Mohammadi et al. (2021),Density,Liquid,AAraWc,CCCCCC[n+]1ccccc1.O=[N+]([O-])[O-],1-hexylpyridinium nitrate,AADYJk,O,water,,,
qBLAg,0.6034,101,298.15,1011.01,Mohammadi et al. (2021),Density,Liquid,AAraWc,CCCCCC[n+]1ccccc1.O=[N+]([O-])[O-],1-hexylpyridinium nitrate,AADYJk,O,water,,,
qBLAg,0.7013,101,298.15,1012.99,Mohammadi et al. (2021),Density,Liquid,AAraWc,CCCCCC[n+]1ccccc1.O=[N+]([O-])[O-],1-hexylpyridinium nitrate,AADYJk,O,water,,,
qBLAg,0.8036,101,298.15,1014.97,Mohammadi et al. (2021),Density,Liquid,AAraWc,CCCCCC[n+]1ccccc1.O=[N+]([O-])[O-],1-hexylpyridinium nitrate,AADYJk,O,water,,,
qBLAg,0.9018,101,298.15,1016.72,Mohammadi et al. (2021),Density,Liquid,AAraWc,CCCCCC[n+]1ccccc1.O=[N+]([O-])[O-],1-hexylpyridinium nitrate,AADYJk,O,water,,,
qBLAg,1.001,101,298.15,1018.49,Mohammadi et al. (2021),Density,Liquid,AAraWc,CCCCCC[n+]1ccccc1.O=[N+]([O-])[O-],1-hexylpyridinium nitrate,AADYJk,O,water,,,
