setid,Weight fraction of water,"Temperature, K","Pressure, kPa","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
tMxjT,0.005,298.15,100,1072.5,Yoo et al. (2013a),Density,Liquid,ABWlnv,CC(C)C[P+](C)(CC(C)C)CC(C)C.Cc1ccc(S(=O)(=O)[O-])cc1,triisobutylmethylphosphonium p-toluenesulfonate,AADYJk,O,water,,,
tMxjT,0.005,303.15,100,1069.2,Yoo et al. (2013a),Density,Liquid,ABWlnv,CC(C)C[P+](C)(CC(C)C)CC(C)C.Cc1ccc(S(=O)(=O)[O-])cc1,triisobutylmethylphosphonium p-toluenesulfonate,AADYJk,O,water,,,
tMxjT,0.005,313.15,100,1062.8,Yoo et al. (2013a),Density,Liquid,ABWlnv,CC(C)C[P+](C)(CC(C)C)CC(C)C.Cc1ccc(S(=O)(=O)[O-])cc1,triisobutylmethylphosphonium p-toluenesulfonate,AADYJk,O,water,,,
tMxjT,0.005,323.15,100,1056.7,Yoo et al. (2013a),Density,Liquid,ABWlnv,CC(C)C[P+](C)(CC(C)C)CC(C)C.Cc1ccc(S(=O)(=O)[O-])cc1,triisobutylmethylphosphonium p-toluenesulfonate,AADYJk,O,water,,,
tMxjT,0.005,333.15,100,1050.7,Yoo et al. (2013a),Density,Liquid,ABWlnv,CC(C)C[P+](C)(CC(C)C)CC(C)C.Cc1ccc(S(=O)(=O)[O-])cc1,triisobutylmethylphosphonium p-toluenesulfonate,AADYJk,O,water,,,
tMxjT,0.005,343.15,100,1044.8,Yoo et al. (2013a),Density,Liquid,ABWlnv,CC(C)C[P+](C)(CC(C)C)CC(C)C.Cc1ccc(S(=O)(=O)[O-])cc1,triisobutylmethylphosphonium p-toluenesulfonate,AADYJk,O,water,,,
tMxjT,0.005,353.15,100,1038.9,Yoo et al. (2013a),Density,Liquid,ABWlnv,CC(C)C[P+](C)(CC(C)C)CC(C)C.Cc1ccc(S(=O)(=O)[O-])cc1,triisobutylmethylphosphonium p-toluenesulfonate,AADYJk,O,water,,,
tMxjT,0.056,298.15,100,1073.9,Yoo et al. (2013a),Density,Liquid,ABWlnv,CC(C)C[P+](C)(CC(C)C)CC(C)C.Cc1ccc(S(=O)(=O)[O-])cc1,triisobutylmethylphosphonium p-toluenesulfonate,AADYJk,O,water,,,
tMxjT,0.056,303.15,100,1069.2,Yoo et al. (2013a),Density,Liquid,ABWlnv,CC(C)C[P+](C)(CC(C)C)CC(C)C.Cc1ccc(S(=O)(=O)[O-])cc1,triisobutylmethylphosphonium p-toluenesulfonate,AADYJk,O,water,,,
tMxjT,0.056,313.15,100,1061,Yoo et al. (2013a),Density,Liquid,ABWlnv,CC(C)C[P+](C)(CC(C)C)CC(C)C.Cc1ccc(S(=O)(=O)[O-])cc1,triisobutylmethylphosphonium p-toluenesulfonate,AADYJk,O,water,,,
tMxjT,0.056,323.15,100,1054.6,Yoo et al. (2013a),Density,Liquid,ABWlnv,CC(C)C[P+](C)(CC(C)C)CC(C)C.Cc1ccc(S(=O)(=O)[O-])cc1,triisobutylmethylphosphonium p-toluenesulfonate,AADYJk,O,water,,,
tMxjT,0.056,333.15,100,1048.2,Yoo et al. (2013a),Density,Liquid,ABWlnv,CC(C)C[P+](C)(CC(C)C)CC(C)C.Cc1ccc(S(=O)(=O)[O-])cc1,triisobutylmethylphosphonium p-toluenesulfonate,AADYJk,O,water,,,
tMxjT,0.056,343.15,100,1041.8,Yoo et al. (2013a),Density,Liquid,ABWlnv,CC(C)C[P+](C)(CC(C)C)CC(C)C.Cc1ccc(S(=O)(=O)[O-])cc1,triisobutylmethylphosphonium p-toluenesulfonate,AADYJk,O,water,,,
tMxjT,0.056,353.15,100,1035.3,Yoo et al. (2013a),Density,Liquid,ABWlnv,CC(C)C[P+](C)(CC(C)C)CC(C)C.Cc1ccc(S(=O)(=O)[O-])cc1,triisobutylmethylphosphonium p-toluenesulfonate,AADYJk,O,water,,,
