setid,Mole ratio to solvent: ammonia,"Pressure, kPa","Temperature, K","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
mZalU,0,101,313.2,1467.4,Yang et al. (2019g),Density,Liquid,ABZxyF,CCCCn1cc[nH+]c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,3-butyl-1H-imidazol-3-ium bis((trifluoromethyl)sulfonyl)amide,AADOkx,N,ammonia,,,
mZalU,0.112,101,313.2,1458.1,Yang et al. (2019g),Density,Liquid,ABZxyF,CCCCn1cc[nH+]c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,3-butyl-1H-imidazol-3-ium bis((trifluoromethyl)sulfonyl)amide,AADOkx,N,ammonia,,,
mZalU,0.2657,101,313.2,1448.8,Yang et al. (2019g),Density,Liquid,ABZxyF,CCCCn1cc[nH+]c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,3-butyl-1H-imidazol-3-ium bis((trifluoromethyl)sulfonyl)amide,AADOkx,N,ammonia,,,
mZalU,0.4251,101,313.2,1439,Yang et al. (2019g),Density,Liquid,ABZxyF,CCCCn1cc[nH+]c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,3-butyl-1H-imidazol-3-ium bis((trifluoromethyl)sulfonyl)amide,AADOkx,N,ammonia,,,
mZalU,0.536,101,313.2,1430.6,Yang et al. (2019g),Density,Liquid,ABZxyF,CCCCn1cc[nH+]c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,3-butyl-1H-imidazol-3-ium bis((trifluoromethyl)sulfonyl)amide,AADOkx,N,ammonia,,,
mZalU,0.741,101,313.2,1417.5,Yang et al. (2019g),Density,Liquid,ABZxyF,CCCCn1cc[nH+]c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,3-butyl-1H-imidazol-3-ium bis((trifluoromethyl)sulfonyl)amide,AADOkx,N,ammonia,,,
mZalU,1.0393,101,313.2,1397.7,Yang et al. (2019g),Density,Liquid,ABZxyF,CCCCn1cc[nH+]c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,3-butyl-1H-imidazol-3-ium bis((trifluoromethyl)sulfonyl)amide,AADOkx,N,ammonia,,,
mZalU,1.0967,101,313.2,1392.7,Yang et al. (2019g),Density,Liquid,ABZxyF,CCCCn1cc[nH+]c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,3-butyl-1H-imidazol-3-ium bis((trifluoromethyl)sulfonyl)amide,AADOkx,N,ammonia,,,
mZalU,1.2258,101,313.2,1386.1,Yang et al. (2019g),Density,Liquid,ABZxyF,CCCCn1cc[nH+]c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,3-butyl-1H-imidazol-3-ium bis((trifluoromethyl)sulfonyl)amide,AADOkx,N,ammonia,,,
mZalU,1.4947,101,313.2,1369.5,Yang et al. (2019g),Density,Liquid,ABZxyF,CCCCn1cc[nH+]c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,3-butyl-1H-imidazol-3-ium bis((trifluoromethyl)sulfonyl)amide,AADOkx,N,ammonia,,,
mZalU,1.9666,101,313.2,1340.7,Yang et al. (2019g),Density,Liquid,ABZxyF,CCCCn1cc[nH+]c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,3-butyl-1H-imidazol-3-ium bis((trifluoromethyl)sulfonyl)amide,AADOkx,N,ammonia,,,
mZalU,2.4215,101,313.2,1317.6,Yang et al. (2019g),Density,Liquid,ABZxyF,CCCCn1cc[nH+]c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,3-butyl-1H-imidazol-3-ium bis((trifluoromethyl)sulfonyl)amide,AADOkx,N,ammonia,,,
