setid,"Temperature, K","MolaLity of 1-butyl-3-methylimidazolium acetate, mol/kg","Pressure, kPa","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
EiKpv,288.15,0,101,999.134,Lal et al. (2012),Density,Liquid,AADYJk,O,water,AAmGQS,CC(=O)[O-].CCCC[n+]1ccn(C)c1,1-butyl-3-methylimidazolium acetate,,,
EiKpv,288.15,0.0534,101,999.93,Lal et al. (2012),Density,Liquid,AADYJk,O,water,AAmGQS,CC(=O)[O-].CCCC[n+]1ccn(C)c1,1-butyl-3-methylimidazolium acetate,,,
EiKpv,288.15,0.104,101,1000.71,Lal et al. (2012),Density,Liquid,AADYJk,O,water,AAmGQS,CC(=O)[O-].CCCC[n+]1ccn(C)c1,1-butyl-3-methylimidazolium acetate,,,
EiKpv,288.15,0.1535,101,1001.45,Lal et al. (2012),Density,Liquid,AADYJk,O,water,AAmGQS,CC(=O)[O-].CCCC[n+]1ccn(C)c1,1-butyl-3-methylimidazolium acetate,,,
EiKpv,288.15,0.209,101,1002.31,Lal et al. (2012),Density,Liquid,AADYJk,O,water,AAmGQS,CC(=O)[O-].CCCC[n+]1ccn(C)c1,1-butyl-3-methylimidazolium acetate,,,
EiKpv,288.15,0.2498,101,1002.95,Lal et al. (2012),Density,Liquid,AADYJk,O,water,AAmGQS,CC(=O)[O-].CCCC[n+]1ccn(C)c1,1-butyl-3-methylimidazolium acetate,,,
EiKpv,288.15,0.2997,101,1003.66,Lal et al. (2012),Density,Liquid,AADYJk,O,water,AAmGQS,CC(=O)[O-].CCCC[n+]1ccn(C)c1,1-butyl-3-methylimidazolium acetate,,,
EiKpv,288.15,0.35,101,1004.51,Lal et al. (2012),Density,Liquid,AADYJk,O,water,AAmGQS,CC(=O)[O-].CCCC[n+]1ccn(C)c1,1-butyl-3-methylimidazolium acetate,,,
EiKpv,288.15,0.4035,101,1005.33,Lal et al. (2012),Density,Liquid,AADYJk,O,water,AAmGQS,CC(=O)[O-].CCCC[n+]1ccn(C)c1,1-butyl-3-methylimidazolium acetate,,,
EiKpv,288.15,0.457,101,1006.2,Lal et al. (2012),Density,Liquid,AADYJk,O,water,AAmGQS,CC(=O)[O-].CCCC[n+]1ccn(C)c1,1-butyl-3-methylimidazolium acetate,,,
EiKpv,288.15,0.5036,101,1006.93,Lal et al. (2012),Density,Liquid,AADYJk,O,water,AAmGQS,CC(=O)[O-].CCCC[n+]1ccn(C)c1,1-butyl-3-methylimidazolium acetate,,,
EiKpv,293.15,0,101,998.245,Lal et al. (2012),Density,Liquid,AADYJk,O,water,AAmGQS,CC(=O)[O-].CCCC[n+]1ccn(C)c1,1-butyl-3-methylimidazolium acetate,,,
EiKpv,293.15,0.0534,101,999,Lal et al. (2012),Density,Liquid,AADYJk,O,water,AAmGQS,CC(=O)[O-].CCCC[n+]1ccn(C)c1,1-butyl-3-methylimidazolium acetate,,,
EiKpv,293.15,0.104,101,999.755,Lal et al. (2012),Density,Liquid,AADYJk,O,water,AAmGQS,CC(=O)[O-].CCCC[n+]1ccn(C)c1,1-butyl-3-methylimidazolium acetate,,,
EiKpv,293.15,0.1535,101,1000.47,Lal et al. (2012),Density,Liquid,AADYJk,O,water,AAmGQS,CC(=O)[O-].CCCC[n+]1ccn(C)c1,1-butyl-3-methylimidazolium acetate,,,
EiKpv,293.15,0.209,101,1001.29,Lal et al. (2012),Density,Liquid,AADYJk,O,water,AAmGQS,CC(=O)[O-].CCCC[n+]1ccn(C)c1,1-butyl-3-methylimidazolium acetate,,,
EiKpv,293.15,0.2498,101,1001.91,Lal et al. (2012),Density,Liquid,AADYJk,O,water,AAmGQS,CC(=O)[O-].CCCC[n+]1ccn(C)c1,1-butyl-3-methylimidazolium acetate,,,
EiKpv,293.15,0.2997,101,1002.59,Lal et al. (2012),Density,Liquid,AADYJk,O,water,AAmGQS,CC(=O)[O-].CCCC[n+]1ccn(C)c1,1-butyl-3-methylimidazolium acetate,,,
EiKpv,293.15,0.35,101,1003.4,Lal et al. (2012),Density,Liquid,AADYJk,O,water,AAmGQS,CC(=O)[O-].CCCC[n+]1ccn(C)c1,1-butyl-3-methylimidazolium acetate,,,
EiKpv,293.15,0.4035,101,1004.19,Lal et al. (2012),Density,Liquid,AADYJk,O,water,AAmGQS,CC(=O)[O-].CCCC[n+]1ccn(C)c1,1-butyl-3-methylimidazolium acetate,,,
EiKpv,293.15,0.457,101,1005.02,Lal et al. (2012),Density,Liquid,AADYJk,O,water,AAmGQS,CC(=O)[O-].CCCC[n+]1ccn(C)c1,1-butyl-3-methylimidazolium acetate,,,
EiKpv,293.15,0.5036,101,1005.72,Lal et al. (2012),Density,Liquid,AADYJk,O,water,AAmGQS,CC(=O)[O-].CCCC[n+]1ccn(C)c1,1-butyl-3-methylimidazolium acetate,,,
EiKpv,298.15,0,101,997.089,Lal et al. (2012),Density,Liquid,AADYJk,O,water,AAmGQS,CC(=O)[O-].CCCC[n+]1ccn(C)c1,1-butyl-3-methylimidazolium acetate,,,
EiKpv,298.15,0.0534,101,997.824,Lal et al. (2012),Density,Liquid,AADYJk,O,water,AAmGQS,CC(=O)[O-].CCCC[n+]1ccn(C)c1,1-butyl-3-methylimidazolium acetate,,,
EiKpv,298.15,0.104,101,998.548,Lal et al. (2012),Density,Liquid,AADYJk,O,water,AAmGQS,CC(=O)[O-].CCCC[n+]1ccn(C)c1,1-butyl-3-methylimidazolium acetate,,,
EiKpv,298.15,0.1535,101,999.237,Lal et al. (2012),Density,Liquid,AADYJk,O,water,AAmGQS,CC(=O)[O-].CCCC[n+]1ccn(C)c1,1-butyl-3-methylimidazolium acetate,,,
EiKpv,298.15,0.209,101,1000.03,Lal et al. (2012),Density,Liquid,AADYJk,O,water,AAmGQS,CC(=O)[O-].CCCC[n+]1ccn(C)c1,1-butyl-3-methylimidazolium acetate,,,
EiKpv,298.15,0.2498,101,1000.62,Lal et al. (2012),Density,Liquid,AADYJk,O,water,AAmGQS,CC(=O)[O-].CCCC[n+]1ccn(C)c1,1-butyl-3-methylimidazolium acetate,,,
EiKpv,298.15,0.2997,101,1001.27,Lal et al. (2012),Density,Liquid,AADYJk,O,water,AAmGQS,CC(=O)[O-].CCCC[n+]1ccn(C)c1,1-butyl-3-methylimidazolium acetate,,,
EiKpv,298.15,0.35,101,1002.05,Lal et al. (2012),Density,Liquid,AADYJk,O,water,AAmGQS,CC(=O)[O-].CCCC[n+]1ccn(C)c1,1-butyl-3-methylimidazolium acetate,,,
