setid,"Temperature, K",Mole fraction of 3-butyl-1-methyl-1H-imidazolium L-alaninate,"Pressure, kPa","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
qrcHY,298.15,0.1012,101,1052.9,Yu et al. (2011a),Density,Liquid,AAUpwm,OCc1ccccc1,benzenemethanol,AArlzo,CCCCn1cc[n+](C)c1.C[C@H](N)C(=O)[O-],3-butyl-1-methyl-1H-imidazolium L-alaninate,,,
qrcHY,298.15,0.1939,101,1059.8,Yu et al. (2011a),Density,Liquid,AAUpwm,OCc1ccccc1,benzenemethanol,AArlzo,CCCCn1cc[n+](C)c1.C[C@H](N)C(=O)[O-],3-butyl-1-methyl-1H-imidazolium L-alaninate,,,
qrcHY,298.15,0.3103,101,1066,Yu et al. (2011a),Density,Liquid,AAUpwm,OCc1ccccc1,benzenemethanol,AArlzo,CCCCn1cc[n+](C)c1.C[C@H](N)C(=O)[O-],3-butyl-1-methyl-1H-imidazolium L-alaninate,,,
qrcHY,298.15,0.3971,101,1069.6,Yu et al. (2011a),Density,Liquid,AAUpwm,OCc1ccccc1,benzenemethanol,AArlzo,CCCCn1cc[n+](C)c1.C[C@H](N)C(=O)[O-],3-butyl-1-methyl-1H-imidazolium L-alaninate,,,
qrcHY,298.15,0.4864,101,1072.4,Yu et al. (2011a),Density,Liquid,AAUpwm,OCc1ccccc1,benzenemethanol,AArlzo,CCCCn1cc[n+](C)c1.C[C@H](N)C(=O)[O-],3-butyl-1-methyl-1H-imidazolium L-alaninate,,,
qrcHY,298.15,0.6015,101,1075.1,Yu et al. (2011a),Density,Liquid,AAUpwm,OCc1ccccc1,benzenemethanol,AArlzo,CCCCn1cc[n+](C)c1.C[C@H](N)C(=O)[O-],3-butyl-1-methyl-1H-imidazolium L-alaninate,,,
qrcHY,298.15,0.6945,101,1076.6,Yu et al. (2011a),Density,Liquid,AAUpwm,OCc1ccccc1,benzenemethanol,AArlzo,CCCCn1cc[n+](C)c1.C[C@H](N)C(=O)[O-],3-butyl-1-methyl-1H-imidazolium L-alaninate,,,
qrcHY,298.15,0.8015,101,1077.7,Yu et al. (2011a),Density,Liquid,AAUpwm,OCc1ccccc1,benzenemethanol,AArlzo,CCCCn1cc[n+](C)c1.C[C@H](N)C(=O)[O-],3-butyl-1-methyl-1H-imidazolium L-alaninate,,,
qrcHY,298.15,0.9026,101,1078.7,Yu et al. (2011a),Density,Liquid,AAUpwm,OCc1ccccc1,benzenemethanol,AArlzo,CCCCn1cc[n+](C)c1.C[C@H](N)C(=O)[O-],3-butyl-1-methyl-1H-imidazolium L-alaninate,,,
qrcHY,303.15,0.1012,101,1048.6,Yu et al. (2011a),Density,Liquid,AAUpwm,OCc1ccccc1,benzenemethanol,AArlzo,CCCCn1cc[n+](C)c1.C[C@H](N)C(=O)[O-],3-butyl-1-methyl-1H-imidazolium L-alaninate,,,
qrcHY,303.15,0.1939,101,1055.6,Yu et al. (2011a),Density,Liquid,AAUpwm,OCc1ccccc1,benzenemethanol,AArlzo,CCCCn1cc[n+](C)c1.C[C@H](N)C(=O)[O-],3-butyl-1-methyl-1H-imidazolium L-alaninate,,,
qrcHY,303.15,0.3103,101,1061.9,Yu et al. (2011a),Density,Liquid,AAUpwm,OCc1ccccc1,benzenemethanol,AArlzo,CCCCn1cc[n+](C)c1.C[C@H](N)C(=O)[O-],3-butyl-1-methyl-1H-imidazolium L-alaninate,,,
qrcHY,303.15,0.3971,101,1065.5,Yu et al. (2011a),Density,Liquid,AAUpwm,OCc1ccccc1,benzenemethanol,AArlzo,CCCCn1cc[n+](C)c1.C[C@H](N)C(=O)[O-],3-butyl-1-methyl-1H-imidazolium L-alaninate,,,
qrcHY,303.15,0.4864,101,1068.4,Yu et al. (2011a),Density,Liquid,AAUpwm,OCc1ccccc1,benzenemethanol,AArlzo,CCCCn1cc[n+](C)c1.C[C@H](N)C(=O)[O-],3-butyl-1-methyl-1H-imidazolium L-alaninate,,,
qrcHY,303.15,0.6015,101,1071.2,Yu et al. (2011a),Density,Liquid,AAUpwm,OCc1ccccc1,benzenemethanol,AArlzo,CCCCn1cc[n+](C)c1.C[C@H](N)C(=O)[O-],3-butyl-1-methyl-1H-imidazolium L-alaninate,,,
qrcHY,303.15,0.6945,101,1072.7,Yu et al. (2011a),Density,Liquid,AAUpwm,OCc1ccccc1,benzenemethanol,AArlzo,CCCCn1cc[n+](C)c1.C[C@H](N)C(=O)[O-],3-butyl-1-methyl-1H-imidazolium L-alaninate,,,
qrcHY,303.15,0.8015,101,1074,Yu et al. (2011a),Density,Liquid,AAUpwm,OCc1ccccc1,benzenemethanol,AArlzo,CCCCn1cc[n+](C)c1.C[C@H](N)C(=O)[O-],3-butyl-1-methyl-1H-imidazolium L-alaninate,,,
qrcHY,303.15,0.9026,101,1075,Yu et al. (2011a),Density,Liquid,AAUpwm,OCc1ccccc1,benzenemethanol,AArlzo,CCCCn1cc[n+](C)c1.C[C@H](N)C(=O)[O-],3-butyl-1-methyl-1H-imidazolium L-alaninate,,,
qrcHY,308.15,0.1012,101,1045.1,Yu et al. (2011a),Density,Liquid,AAUpwm,OCc1ccccc1,benzenemethanol,AArlzo,CCCCn1cc[n+](C)c1.C[C@H](N)C(=O)[O-],3-butyl-1-methyl-1H-imidazolium L-alaninate,,,
qrcHY,308.15,0.1939,101,1052.2,Yu et al. (2011a),Density,Liquid,AAUpwm,OCc1ccccc1,benzenemethanol,AArlzo,CCCCn1cc[n+](C)c1.C[C@H](N)C(=O)[O-],3-butyl-1-methyl-1H-imidazolium L-alaninate,,,
qrcHY,308.15,0.3103,101,1058.8,Yu et al. (2011a),Density,Liquid,AAUpwm,OCc1ccccc1,benzenemethanol,AArlzo,CCCCn1cc[n+](C)c1.C[C@H](N)C(=O)[O-],3-butyl-1-methyl-1H-imidazolium L-alaninate,,,
qrcHY,308.15,0.3971,101,1062.5,Yu et al. (2011a),Density,Liquid,AAUpwm,OCc1ccccc1,benzenemethanol,AArlzo,CCCCn1cc[n+](C)c1.C[C@H](N)C(=O)[O-],3-butyl-1-methyl-1H-imidazolium L-alaninate,,,
qrcHY,308.15,0.4864,101,1065.5,Yu et al. (2011a),Density,Liquid,AAUpwm,OCc1ccccc1,benzenemethanol,AArlzo,CCCCn1cc[n+](C)c1.C[C@H](N)C(=O)[O-],3-butyl-1-methyl-1H-imidazolium L-alaninate,,,
