setid,"Temperature, K","MolaRity of 1-butyl-3-methylimidazolium bromide, mol/dm3","Pressure, kPa","Specific density<SUP>*</SUP>, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
QVwUc,298.15,0.00497,100,0.38,Riabchunova et al. (2018),Density,Liquid,AATgdC,CC1COC(=O)O1,propylene carbonate,AAqHiH,CCCC[n+]1ccn(C)c1.[Br-],1-butyl-3-methylimidazolium bromide,,,
QVwUc,298.15,0.00962,100,0.45,Riabchunova et al. (2018),Density,Liquid,AATgdC,CC1COC(=O)O1,propylene carbonate,AAqHiH,CCCC[n+]1ccn(C)c1.[Br-],1-butyl-3-methylimidazolium bromide,,,
QVwUc,298.15,0.0152,100,0.63,Riabchunova et al. (2018),Density,Liquid,AATgdC,CC1COC(=O)O1,propylene carbonate,AAqHiH,CCCC[n+]1ccn(C)c1.[Br-],1-butyl-3-methylimidazolium bromide,,,
QVwUc,298.15,0.0223,100,0.79,Riabchunova et al. (2018),Density,Liquid,AATgdC,CC1COC(=O)O1,propylene carbonate,AAqHiH,CCCC[n+]1ccn(C)c1.[Br-],1-butyl-3-methylimidazolium bromide,,,
QVwUc,298.15,0.0318,100,1.09,Riabchunova et al. (2018),Density,Liquid,AATgdC,CC1COC(=O)O1,propylene carbonate,AAqHiH,CCCC[n+]1ccn(C)c1.[Br-],1-butyl-3-methylimidazolium bromide,,,
QVwUc,298.15,0.0429,100,1.25,Riabchunova et al. (2018),Density,Liquid,AATgdC,CC1COC(=O)O1,propylene carbonate,AAqHiH,CCCC[n+]1ccn(C)c1.[Br-],1-butyl-3-methylimidazolium bromide,,,
QVwUc,298.15,0.0548,100,1.65,Riabchunova et al. (2018),Density,Liquid,AATgdC,CC1COC(=O)O1,propylene carbonate,AAqHiH,CCCC[n+]1ccn(C)c1.[Br-],1-butyl-3-methylimidazolium bromide,,,
QVwUc,298.15,0.0676,100,1.76,Riabchunova et al. (2018),Density,Liquid,AATgdC,CC1COC(=O)O1,propylene carbonate,AAqHiH,CCCC[n+]1ccn(C)c1.[Br-],1-butyl-3-methylimidazolium bromide,,,
QVwUc,298.15,0.0831,100,2.19,Riabchunova et al. (2018),Density,Liquid,AATgdC,CC1COC(=O)O1,propylene carbonate,AAqHiH,CCCC[n+]1ccn(C)c1.[Br-],1-butyl-3-methylimidazolium bromide,,,
QVwUc,298.15,0.1198,100,2.99,Riabchunova et al. (2018),Density,Liquid,AATgdC,CC1COC(=O)O1,propylene carbonate,AAqHiH,CCCC[n+]1ccn(C)c1.[Br-],1-butyl-3-methylimidazolium bromide,,,
QVwUc,318.15,0.00489,100,0.32,Riabchunova et al. (2018),Density,Liquid,AATgdC,CC1COC(=O)O1,propylene carbonate,AAqHiH,CCCC[n+]1ccn(C)c1.[Br-],1-butyl-3-methylimidazolium bromide,,,
QVwUc,318.15,0.00945,100,0.46,Riabchunova et al. (2018),Density,Liquid,AATgdC,CC1COC(=O)O1,propylene carbonate,AAqHiH,CCCC[n+]1ccn(C)c1.[Br-],1-butyl-3-methylimidazolium bromide,,,
QVwUc,318.15,0.0149,100,0.67,Riabchunova et al. (2018),Density,Liquid,AATgdC,CC1COC(=O)O1,propylene carbonate,AAqHiH,CCCC[n+]1ccn(C)c1.[Br-],1-butyl-3-methylimidazolium bromide,,,
QVwUc,318.15,0.0219,100,0.94,Riabchunova et al. (2018),Density,Liquid,AATgdC,CC1COC(=O)O1,propylene carbonate,AAqHiH,CCCC[n+]1ccn(C)c1.[Br-],1-butyl-3-methylimidazolium bromide,,,
QVwUc,318.15,0.0312,100,1.15,Riabchunova et al. (2018),Density,Liquid,AATgdC,CC1COC(=O)O1,propylene carbonate,AAqHiH,CCCC[n+]1ccn(C)c1.[Br-],1-butyl-3-methylimidazolium bromide,,,
QVwUc,318.15,0.0422,100,1.48,Riabchunova et al. (2018),Density,Liquid,AATgdC,CC1COC(=O)O1,propylene carbonate,AAqHiH,CCCC[n+]1ccn(C)c1.[Br-],1-butyl-3-methylimidazolium bromide,,,
QVwUc,318.15,0.0538,100,1.74,Riabchunova et al. (2018),Density,Liquid,AATgdC,CC1COC(=O)O1,propylene carbonate,AAqHiH,CCCC[n+]1ccn(C)c1.[Br-],1-butyl-3-methylimidazolium bromide,,,
QVwUc,318.15,0.0664,100,2.06,Riabchunova et al. (2018),Density,Liquid,AATgdC,CC1COC(=O)O1,propylene carbonate,AAqHiH,CCCC[n+]1ccn(C)c1.[Br-],1-butyl-3-methylimidazolium bromide,,,
QVwUc,318.15,0.0817,100,2.49,Riabchunova et al. (2018),Density,Liquid,AATgdC,CC1COC(=O)O1,propylene carbonate,AAqHiH,CCCC[n+]1ccn(C)c1.[Br-],1-butyl-3-methylimidazolium bromide,,,
QVwUc,318.15,0.1177,100,3.28,Riabchunova et al. (2018),Density,Liquid,AATgdC,CC1COC(=O)O1,propylene carbonate,AAqHiH,CCCC[n+]1ccn(C)c1.[Br-],1-butyl-3-methylimidazolium bromide,,,
QVwUc,338.15,0.0048,100,0.32,Riabchunova et al. (2018),Density,Liquid,AATgdC,CC1COC(=O)O1,propylene carbonate,AAqHiH,CCCC[n+]1ccn(C)c1.[Br-],1-butyl-3-methylimidazolium bromide,,,
