setid,"Temperature, K",Mole fraction of 4-methyl-4-propylmorpholinium bromide,"Pressure, kPa","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
XBPrW,298.15,0,100,997.1,Zawadzki et al. (2016),Density,Liquid,AADYJk,O,water,AArFNJ,CCC[N+]1(C)CCOCC1.[Br-],4-methyl-4-propylmorpholinium bromide,,,
XBPrW,298.15,0.0336,100,1084.6,Zawadzki et al. (2016),Density,Liquid,AADYJk,O,water,AArFNJ,CCC[N+]1(C)CCOCC1.[Br-],4-methyl-4-propylmorpholinium bromide,,,
XBPrW,298.15,0.0618,100,1135.4,Zawadzki et al. (2016),Density,Liquid,AADYJk,O,water,AArFNJ,CCC[N+]1(C)CCOCC1.[Br-],4-methyl-4-propylmorpholinium bromide,,,
XBPrW,298.15,0.0875,100,1170.4,Zawadzki et al. (2016),Density,Liquid,AADYJk,O,water,AArFNJ,CCC[N+]1(C)CCOCC1.[Br-],4-methyl-4-propylmorpholinium bromide,,,
XBPrW,298.15,0.1298,100,1213,Zawadzki et al. (2016),Density,Liquid,AADYJk,O,water,AArFNJ,CCC[N+]1(C)CCOCC1.[Br-],4-methyl-4-propylmorpholinium bromide,,,
XBPrW,298.15,0.1709,100,1242.8,Zawadzki et al. (2016),Density,Liquid,AADYJk,O,water,AArFNJ,CCC[N+]1(C)CCOCC1.[Br-],4-methyl-4-propylmorpholinium bromide,,,
XBPrW,298.15,0.2036,100,1260.9,Zawadzki et al. (2016),Density,Liquid,AADYJk,O,water,AArFNJ,CCC[N+]1(C)CCOCC1.[Br-],4-methyl-4-propylmorpholinium bromide,,,
XBPrW,298.15,0.254,100,1282.4,Zawadzki et al. (2016),Density,Liquid,AADYJk,O,water,AArFNJ,CCC[N+]1(C)CCOCC1.[Br-],4-methyl-4-propylmorpholinium bromide,,,
XBPrW,298.15,0.2742,100,1289.4,Zawadzki et al. (2016),Density,Liquid,AADYJk,O,water,AArFNJ,CCC[N+]1(C)CCOCC1.[Br-],4-methyl-4-propylmorpholinium bromide,,,
XBPrW,298.15,0.3025,100,1298.2,Zawadzki et al. (2016),Density,Liquid,AADYJk,O,water,AArFNJ,CCC[N+]1(C)CCOCC1.[Br-],4-methyl-4-propylmorpholinium bromide,,,
XBPrW,303.15,0,100,995.7,Zawadzki et al. (2016),Density,Liquid,AADYJk,O,water,AArFNJ,CCC[N+]1(C)CCOCC1.[Br-],4-methyl-4-propylmorpholinium bromide,,,
XBPrW,303.15,0.0336,100,1082.5,Zawadzki et al. (2016),Density,Liquid,AADYJk,O,water,AArFNJ,CCC[N+]1(C)CCOCC1.[Br-],4-methyl-4-propylmorpholinium bromide,,,
XBPrW,303.15,0.0618,100,1132.9,Zawadzki et al. (2016),Density,Liquid,AADYJk,O,water,AArFNJ,CCC[N+]1(C)CCOCC1.[Br-],4-methyl-4-propylmorpholinium bromide,,,
XBPrW,303.15,0.0875,100,1167.6,Zawadzki et al. (2016),Density,Liquid,AADYJk,O,water,AArFNJ,CCC[N+]1(C)CCOCC1.[Br-],4-methyl-4-propylmorpholinium bromide,,,
XBPrW,303.15,0.1298,100,1209.9,Zawadzki et al. (2016),Density,Liquid,AADYJk,O,water,AArFNJ,CCC[N+]1(C)CCOCC1.[Br-],4-methyl-4-propylmorpholinium bromide,,,
XBPrW,303.15,0.1709,100,1239.6,Zawadzki et al. (2016),Density,Liquid,AADYJk,O,water,AArFNJ,CCC[N+]1(C)CCOCC1.[Br-],4-methyl-4-propylmorpholinium bromide,,,
XBPrW,303.15,0.2036,100,1257.7,Zawadzki et al. (2016),Density,Liquid,AADYJk,O,water,AArFNJ,CCC[N+]1(C)CCOCC1.[Br-],4-methyl-4-propylmorpholinium bromide,,,
XBPrW,303.15,0.254,100,1279.2,Zawadzki et al. (2016),Density,Liquid,AADYJk,O,water,AArFNJ,CCC[N+]1(C)CCOCC1.[Br-],4-methyl-4-propylmorpholinium bromide,,,
XBPrW,303.15,0.2742,100,1286.1,Zawadzki et al. (2016),Density,Liquid,AADYJk,O,water,AArFNJ,CCC[N+]1(C)CCOCC1.[Br-],4-methyl-4-propylmorpholinium bromide,,,
XBPrW,303.15,0.3025,100,1294.9,Zawadzki et al. (2016),Density,Liquid,AADYJk,O,water,AArFNJ,CCC[N+]1(C)CCOCC1.[Br-],4-methyl-4-propylmorpholinium bromide,,,
