setid,Mole fraction of 1-ethyl-3-methylimidazolium dicyanamide,"Temperature, K","Pressure, kPa","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
haoqX,0,293.15,101,947.5,Lepre et al. (2019a),Density,Liquid,AAiEIE,CC[n+]1ccn(C)c1.N#C[N-]C#N,1-ethyl-3-methylimidazolium dicyanamide,AAzMXB,CCCC[N+](C)(CCCC)CCCC.N#C[N-]C#N,tributylmethylammonium dicyanamide,,,
haoqX,0,313.15,101,936.7,Lepre et al. (2019a),Density,Liquid,AAiEIE,CC[n+]1ccn(C)c1.N#C[N-]C#N,1-ethyl-3-methylimidazolium dicyanamide,AAzMXB,CCCC[N+](C)(CCCC)CCCC.N#C[N-]C#N,tributylmethylammonium dicyanamide,,,
haoqX,0,333.15,101,925.9,Lepre et al. (2019a),Density,Liquid,AAiEIE,CC[n+]1ccn(C)c1.N#C[N-]C#N,1-ethyl-3-methylimidazolium dicyanamide,AAzMXB,CCCC[N+](C)(CCCC)CCCC.N#C[N-]C#N,tributylmethylammonium dicyanamide,,,
haoqX,0,353.15,101,915.3,Lepre et al. (2019a),Density,Liquid,AAiEIE,CC[n+]1ccn(C)c1.N#C[N-]C#N,1-ethyl-3-methylimidazolium dicyanamide,AAzMXB,CCCC[N+](C)(CCCC)CCCC.N#C[N-]C#N,tributylmethylammonium dicyanamide,,,
haoqX,0.2114,293.15,101,968.1,Lepre et al. (2019a),Density,Liquid,AAiEIE,CC[n+]1ccn(C)c1.N#C[N-]C#N,1-ethyl-3-methylimidazolium dicyanamide,AAzMXB,CCCC[N+](C)(CCCC)CCCC.N#C[N-]C#N,tributylmethylammonium dicyanamide,,,
haoqX,0.2114,313.15,101,957,Lepre et al. (2019a),Density,Liquid,AAiEIE,CC[n+]1ccn(C)c1.N#C[N-]C#N,1-ethyl-3-methylimidazolium dicyanamide,AAzMXB,CCCC[N+](C)(CCCC)CCCC.N#C[N-]C#N,tributylmethylammonium dicyanamide,,,
haoqX,0.2114,333.15,101,946,Lepre et al. (2019a),Density,Liquid,AAiEIE,CC[n+]1ccn(C)c1.N#C[N-]C#N,1-ethyl-3-methylimidazolium dicyanamide,AAzMXB,CCCC[N+](C)(CCCC)CCCC.N#C[N-]C#N,tributylmethylammonium dicyanamide,,,
haoqX,0.2114,353.15,101,935.3,Lepre et al. (2019a),Density,Liquid,AAiEIE,CC[n+]1ccn(C)c1.N#C[N-]C#N,1-ethyl-3-methylimidazolium dicyanamide,AAzMXB,CCCC[N+](C)(CCCC)CCCC.N#C[N-]C#N,tributylmethylammonium dicyanamide,,,
haoqX,0.3975,293.15,101,990.1,Lepre et al. (2019a),Density,Liquid,AAiEIE,CC[n+]1ccn(C)c1.N#C[N-]C#N,1-ethyl-3-methylimidazolium dicyanamide,AAzMXB,CCCC[N+](C)(CCCC)CCCC.N#C[N-]C#N,tributylmethylammonium dicyanamide,,,
haoqX,0.3975,313.15,101,978.7,Lepre et al. (2019a),Density,Liquid,AAiEIE,CC[n+]1ccn(C)c1.N#C[N-]C#N,1-ethyl-3-methylimidazolium dicyanamide,AAzMXB,CCCC[N+](C)(CCCC)CCCC.N#C[N-]C#N,tributylmethylammonium dicyanamide,,,
haoqX,0.3975,333.15,101,967.5,Lepre et al. (2019a),Density,Liquid,AAiEIE,CC[n+]1ccn(C)c1.N#C[N-]C#N,1-ethyl-3-methylimidazolium dicyanamide,AAzMXB,CCCC[N+](C)(CCCC)CCCC.N#C[N-]C#N,tributylmethylammonium dicyanamide,,,
haoqX,0.3975,353.15,101,956.5,Lepre et al. (2019a),Density,Liquid,AAiEIE,CC[n+]1ccn(C)c1.N#C[N-]C#N,1-ethyl-3-methylimidazolium dicyanamide,AAzMXB,CCCC[N+](C)(CCCC)CCCC.N#C[N-]C#N,tributylmethylammonium dicyanamide,,,
haoqX,0.6047,293.15,101,1020.4,Lepre et al. (2019a),Density,Liquid,AAiEIE,CC[n+]1ccn(C)c1.N#C[N-]C#N,1-ethyl-3-methylimidazolium dicyanamide,AAzMXB,CCCC[N+](C)(CCCC)CCCC.N#C[N-]C#N,tributylmethylammonium dicyanamide,,,
haoqX,0.6047,313.15,101,1008.6,Lepre et al. (2019a),Density,Liquid,AAiEIE,CC[n+]1ccn(C)c1.N#C[N-]C#N,1-ethyl-3-methylimidazolium dicyanamide,AAzMXB,CCCC[N+](C)(CCCC)CCCC.N#C[N-]C#N,tributylmethylammonium dicyanamide,,,
haoqX,0.6047,333.15,101,997,Lepre et al. (2019a),Density,Liquid,AAiEIE,CC[n+]1ccn(C)c1.N#C[N-]C#N,1-ethyl-3-methylimidazolium dicyanamide,AAzMXB,CCCC[N+](C)(CCCC)CCCC.N#C[N-]C#N,tributylmethylammonium dicyanamide,,,
