setid,Mole fraction of anisole,"Temperature, K","Pressure, kPa","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
yHoef,0.1015,298.15,100,1393.9,Widowati and Lee (2012),Density,Liquid,AAUpuK,COc1ccccc1,anisole,ABdMCc,CCC[N+]1(C)CCCCC1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-methyl-1-propylpiperidinium bis(trifluoromethylsulfonyl)imide,,,
yHoef,0.1015,298.15,10000,1400.6,Widowati and Lee (2012),Density,Liquid,AAUpuK,COc1ccccc1,anisole,ABdMCc,CCC[N+]1(C)CCCCC1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-methyl-1-propylpiperidinium bis(trifluoromethylsulfonyl)imide,,,
yHoef,0.1015,298.15,15000,1403.7,Widowati and Lee (2012),Density,Liquid,AAUpuK,COc1ccccc1,anisole,ABdMCc,CCC[N+]1(C)CCCCC1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-methyl-1-propylpiperidinium bis(trifluoromethylsulfonyl)imide,,,
yHoef,0.1015,298.15,20000,1406.9,Widowati and Lee (2012),Density,Liquid,AAUpuK,COc1ccccc1,anisole,ABdMCc,CCC[N+]1(C)CCCCC1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-methyl-1-propylpiperidinium bis(trifluoromethylsulfonyl)imide,,,
yHoef,0.1015,298.15,25000,1409.8,Widowati and Lee (2012),Density,Liquid,AAUpuK,COc1ccccc1,anisole,ABdMCc,CCC[N+]1(C)CCCCC1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-methyl-1-propylpiperidinium bis(trifluoromethylsulfonyl)imide,,,
yHoef,0.1015,298.15,30000,1412.7,Widowati and Lee (2012),Density,Liquid,AAUpuK,COc1ccccc1,anisole,ABdMCc,CCC[N+]1(C)CCCCC1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-methyl-1-propylpiperidinium bis(trifluoromethylsulfonyl)imide,,,
yHoef,0.1015,298.15,35000,1415.3,Widowati and Lee (2012),Density,Liquid,AAUpuK,COc1ccccc1,anisole,ABdMCc,CCC[N+]1(C)CCCCC1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-methyl-1-propylpiperidinium bis(trifluoromethylsulfonyl)imide,,,
yHoef,0.1015,298.15,40000,1418.1,Widowati and Lee (2012),Density,Liquid,AAUpuK,COc1ccccc1,anisole,ABdMCc,CCC[N+]1(C)CCCCC1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-methyl-1-propylpiperidinium bis(trifluoromethylsulfonyl)imide,,,
yHoef,0.1015,298.15,45000,1420.9,Widowati and Lee (2012),Density,Liquid,AAUpuK,COc1ccccc1,anisole,ABdMCc,CCC[N+]1(C)CCCCC1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-methyl-1-propylpiperidinium bis(trifluoromethylsulfonyl)imide,,,
yHoef,0.1015,298.15,50000,1423.5,Widowati and Lee (2012),Density,Liquid,AAUpuK,COc1ccccc1,anisole,ABdMCc,CCC[N+]1(C)CCCCC1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-methyl-1-propylpiperidinium bis(trifluoromethylsulfonyl)imide,,,
yHoef,0.1015,318.15,100,1377.3,Widowati and Lee (2012),Density,Liquid,AAUpuK,COc1ccccc1,anisole,ABdMCc,CCC[N+]1(C)CCCCC1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-methyl-1-propylpiperidinium bis(trifluoromethylsulfonyl)imide,,,
yHoef,0.1015,318.15,10000,1384.1,Widowati and Lee (2012),Density,Liquid,AAUpuK,COc1ccccc1,anisole,ABdMCc,CCC[N+]1(C)CCCCC1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-methyl-1-propylpiperidinium bis(trifluoromethylsulfonyl)imide,,,
