setid,"Temperature, K","MolaLity of 1-dodecyl-3-methylimidazolium bromide, mol/kg","Pressure, kPa","Solvent: MolaLity of 2-aminoacetic acid, mol/kg","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
kPpgl,288.15,0,86,0.7,1020.8,Naderi and Sadeghi (2019),Density,Liquid,ABLlfj,CCCCCCCCCCCC[n+]1ccn(C)c1.[Br-],1-dodecyl-3-methylimidazolium bromide,AAOWgA,NCC(=O)O,2-aminoacetic acid,AADYJk,O,water
kPpgl,288.15,0.00183,86,0.7,1020.9,Naderi and Sadeghi (2019),Density,Liquid,ABLlfj,CCCCCCCCCCCC[n+]1ccn(C)c1.[Br-],1-dodecyl-3-methylimidazolium bromide,AAOWgA,NCC(=O)O,2-aminoacetic acid,AADYJk,O,water
kPpgl,288.15,0.00333,86,0.7,1021,Naderi and Sadeghi (2019),Density,Liquid,ABLlfj,CCCCCCCCCCCC[n+]1ccn(C)c1.[Br-],1-dodecyl-3-methylimidazolium bromide,AAOWgA,NCC(=O)O,2-aminoacetic acid,AADYJk,O,water
kPpgl,288.15,0.00601,86,0.7,1021.1,Naderi and Sadeghi (2019),Density,Liquid,ABLlfj,CCCCCCCCCCCC[n+]1ccn(C)c1.[Br-],1-dodecyl-3-methylimidazolium bromide,AAOWgA,NCC(=O)O,2-aminoacetic acid,AADYJk,O,water
kPpgl,288.15,0.00698,86,0.7,1021.1,Naderi and Sadeghi (2019),Density,Liquid,ABLlfj,CCCCCCCCCCCC[n+]1ccn(C)c1.[Br-],1-dodecyl-3-methylimidazolium bromide,AAOWgA,NCC(=O)O,2-aminoacetic acid,AADYJk,O,water
kPpgl,288.15,0.00845,86,0.7,1021.1,Naderi and Sadeghi (2019),Density,Liquid,ABLlfj,CCCCCCCCCCCC[n+]1ccn(C)c1.[Br-],1-dodecyl-3-methylimidazolium bromide,AAOWgA,NCC(=O)O,2-aminoacetic acid,AADYJk,O,water
kPpgl,288.15,0.00999,86,0.7,1021.2,Naderi and Sadeghi (2019),Density,Liquid,ABLlfj,CCCCCCCCCCCC[n+]1ccn(C)c1.[Br-],1-dodecyl-3-methylimidazolium bromide,AAOWgA,NCC(=O)O,2-aminoacetic acid,AADYJk,O,water
kPpgl,288.15,0.012,86,0.7,1021.2,Naderi and Sadeghi (2019),Density,Liquid,ABLlfj,CCCCCCCCCCCC[n+]1ccn(C)c1.[Br-],1-dodecyl-3-methylimidazolium bromide,AAOWgA,NCC(=O)O,2-aminoacetic acid,AADYJk,O,water
kPpgl,288.15,0.01563,86,0.7,1021.3,Naderi and Sadeghi (2019),Density,Liquid,ABLlfj,CCCCCCCCCCCC[n+]1ccn(C)c1.[Br-],1-dodecyl-3-methylimidazolium bromide,AAOWgA,NCC(=O)O,2-aminoacetic acid,AADYJk,O,water
kPpgl,288.15,0.02112,86,0.7,1021.4,Naderi and Sadeghi (2019),Density,Liquid,ABLlfj,CCCCCCCCCCCC[n+]1ccn(C)c1.[Br-],1-dodecyl-3-methylimidazolium bromide,AAOWgA,NCC(=O)O,2-aminoacetic acid,AADYJk,O,water
