setid,"Temperature, K",Mole fraction of 1-butyl-1-methylpyrrolidinium trifluoromethanesulfonate,"Pressure, kPa","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
JekJb,278.15,0,101,805.1,Vercher et al. (2018),Density,Liquid,ABEBwg,CCCC[N+]1(C)CCCC1.O=S(=O)([O-])C(F)(F)F,1-butyl-1-methylpyrrolidinium trifluoromethanesulfonate,AAGIBL,CO,methanol,,,
JekJb,278.15,0.0501,101,918.3,Vercher et al. (2018),Density,Liquid,ABEBwg,CCCC[N+]1(C)CCCC1.O=S(=O)([O-])C(F)(F)F,1-butyl-1-methylpyrrolidinium trifluoromethanesulfonate,AAGIBL,CO,methanol,,,
JekJb,278.15,0.1004,101,992.5,Vercher et al. (2018),Density,Liquid,ABEBwg,CCCC[N+]1(C)CCCC1.O=S(=O)([O-])C(F)(F)F,1-butyl-1-methylpyrrolidinium trifluoromethanesulfonate,AAGIBL,CO,methanol,,,
JekJb,278.15,0.1503,101,1045,Vercher et al. (2018),Density,Liquid,ABEBwg,CCCC[N+]1(C)CCCC1.O=S(=O)([O-])C(F)(F)F,1-butyl-1-methylpyrrolidinium trifluoromethanesulfonate,AAGIBL,CO,methanol,,,
JekJb,278.15,0.2002,101,1084.2,Vercher et al. (2018),Density,Liquid,ABEBwg,CCCC[N+]1(C)CCCC1.O=S(=O)([O-])C(F)(F)F,1-butyl-1-methylpyrrolidinium trifluoromethanesulfonate,AAGIBL,CO,methanol,,,
JekJb,278.15,0.3002,101,1138.8,Vercher et al. (2018),Density,Liquid,ABEBwg,CCCC[N+]1(C)CCCC1.O=S(=O)([O-])C(F)(F)F,1-butyl-1-methylpyrrolidinium trifluoromethanesulfonate,AAGIBL,CO,methanol,,,
JekJb,278.15,0.3996,101,1175.4,Vercher et al. (2018),Density,Liquid,ABEBwg,CCCC[N+]1(C)CCCC1.O=S(=O)([O-])C(F)(F)F,1-butyl-1-methylpyrrolidinium trifluoromethanesulfonate,AAGIBL,CO,methanol,,,
JekJb,278.15,0.4998,101,1201.5,Vercher et al. (2018),Density,Liquid,ABEBwg,CCCC[N+]1(C)CCCC1.O=S(=O)([O-])C(F)(F)F,1-butyl-1-methylpyrrolidinium trifluoromethanesulfonate,AAGIBL,CO,methanol,,,
JekJb,278.15,0.6006,101,1221.3,Vercher et al. (2018),Density,Liquid,ABEBwg,CCCC[N+]1(C)CCCC1.O=S(=O)([O-])C(F)(F)F,1-butyl-1-methylpyrrolidinium trifluoromethanesulfonate,AAGIBL,CO,methanol,,,
JekJb,278.15,0.7015,101,1236.3,Vercher et al. (2018),Density,Liquid,ABEBwg,CCCC[N+]1(C)CCCC1.O=S(=O)([O-])C(F)(F)F,1-butyl-1-methylpyrrolidinium trifluoromethanesulfonate,AAGIBL,CO,methanol,,,
JekJb,278.15,0.8013,101,1248.6,Vercher et al. (2018),Density,Liquid,ABEBwg,CCCC[N+]1(C)CCCC1.O=S(=O)([O-])C(F)(F)F,1-butyl-1-methylpyrrolidinium trifluoromethanesulfonate,AAGIBL,CO,methanol,,,
JekJb,278.15,0.8427,101,1253,Vercher et al. (2018),Density,Liquid,ABEBwg,CCCC[N+]1(C)CCCC1.O=S(=O)([O-])C(F)(F)F,1-butyl-1-methylpyrrolidinium trifluoromethanesulfonate,AAGIBL,CO,methanol,,,
JekJb,278.15,0.9008,101,1258.5,Vercher et al. (2018),Density,Liquid,ABEBwg,CCCC[N+]1(C)CCCC1.O=S(=O)([O-])C(F)(F)F,1-butyl-1-methylpyrrolidinium trifluoromethanesulfonate,AAGIBL,CO,methanol,,,
JekJb,278.15,0.9514,101,1262.9,Vercher et al. (2018),Density,Liquid,ABEBwg,CCCC[N+]1(C)CCCC1.O=S(=O)([O-])C(F)(F)F,1-butyl-1-methylpyrrolidinium trifluoromethanesulfonate,AAGIBL,CO,methanol,,,
JekJb,278.15,1,101,1267.1,Vercher et al. (2018),Density,Liquid,ABEBwg,CCCC[N+]1(C)CCCC1.O=S(=O)([O-])C(F)(F)F,1-butyl-1-methylpyrrolidinium trifluoromethanesulfonate,AAGIBL,CO,methanol,,,
JekJb,288.15,0,101,795.7,Vercher et al. (2018),Density,Liquid,ABEBwg,CCCC[N+]1(C)CCCC1.O=S(=O)([O-])C(F)(F)F,1-butyl-1-methylpyrrolidinium trifluoromethanesulfonate,AAGIBL,CO,methanol,,,
