setid,"Temperature, K",Mole fraction of 3-ethyl-1-methylimidazolium butyl sulfate,"Pressure, kPa","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
cXqwO,288.15,0.0498,101,864.5,Rilo et al. (2012b),Density,Liquid,AAIsrh,CCO,ethanol,AAyrXy,CCCCOS(=O)(=O)[O-].CCn1cc[n+](C)c1,3-ethyl-1-methylimidazolium butyl sulfate,,,
cXqwO,288.15,0.0989,101,915.1,Rilo et al. (2012b),Density,Liquid,AAIsrh,CCO,ethanol,AAyrXy,CCCCOS(=O)(=O)[O-].CCn1cc[n+](C)c1,3-ethyl-1-methylimidazolium butyl sulfate,,,
cXqwO,288.15,0.1938,101,987,Rilo et al. (2012b),Density,Liquid,AAIsrh,CCO,ethanol,AAyrXy,CCCCOS(=O)(=O)[O-].CCn1cc[n+](C)c1,3-ethyl-1-methylimidazolium butyl sulfate,,,
cXqwO,288.15,0.2904,101,1037.4,Rilo et al. (2012b),Density,Liquid,AAIsrh,CCO,ethanol,AAyrXy,CCCCOS(=O)(=O)[O-].CCn1cc[n+](C)c1,3-ethyl-1-methylimidazolium butyl sulfate,,,
cXqwO,288.15,0.3812,101,1072.1,Rilo et al. (2012b),Density,Liquid,AAIsrh,CCO,ethanol,AAyrXy,CCCCOS(=O)(=O)[O-].CCn1cc[n+](C)c1,3-ethyl-1-methylimidazolium butyl sulfate,,,
cXqwO,288.15,0.4691,101,1098.2,Rilo et al. (2012b),Density,Liquid,AAIsrh,CCO,ethanol,AAyrXy,CCCCOS(=O)(=O)[O-].CCn1cc[n+](C)c1,3-ethyl-1-methylimidazolium butyl sulfate,,,
cXqwO,288.15,0.4993,101,1105.9,Rilo et al. (2012b),Density,Liquid,AAIsrh,CCO,ethanol,AAyrXy,CCCCOS(=O)(=O)[O-].CCn1cc[n+](C)c1,3-ethyl-1-methylimidazolium butyl sulfate,,,
cXqwO,288.15,0.5699,101,1122,Rilo et al. (2012b),Density,Liquid,AAIsrh,CCO,ethanol,AAyrXy,CCCCOS(=O)(=O)[O-].CCn1cc[n+](C)c1,3-ethyl-1-methylimidazolium butyl sulfate,,,
cXqwO,288.15,0.6866,101,1143.7,Rilo et al. (2012b),Density,Liquid,AAIsrh,CCO,ethanol,AAyrXy,CCCCOS(=O)(=O)[O-].CCn1cc[n+](C)c1,3-ethyl-1-methylimidazolium butyl sulfate,,,
cXqwO,288.15,0.7858,101,1158.4,Rilo et al. (2012b),Density,Liquid,AAIsrh,CCO,ethanol,AAyrXy,CCCCOS(=O)(=O)[O-].CCn1cc[n+](C)c1,3-ethyl-1-methylimidazolium butyl sulfate,,,
