setid,Solvent: Mole fraction of aluminum bromide,Weight fraction of water,"Pressure, kPa","Temperature, K","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
vcDGV,0.35,0,101.3,298.15,1626,Vila et al. (2006b),Density,Liquid,AAkIgT,CC[n+]1ccccc1.[Br-],1-ethylpyridinium bromide,AAzOMU,Br[Al](Br)Br,aluminum bromide,AADYJk,O,water
vcDGV,0.35,0.05,101.3,298.15,1579,Vila et al. (2006b),Density,Liquid,AAkIgT,CC[n+]1ccccc1.[Br-],1-ethylpyridinium bromide,AAzOMU,Br[Al](Br)Br,aluminum bromide,AADYJk,O,water
vcDGV,0.35,0.1,101.3,298.15,1533,Vila et al. (2006b),Density,Liquid,AAkIgT,CC[n+]1ccccc1.[Br-],1-ethylpyridinium bromide,AAzOMU,Br[Al](Br)Br,aluminum bromide,AADYJk,O,water
vcDGV,0.35,0.15,101.3,298.15,1489,Vila et al. (2006b),Density,Liquid,AAkIgT,CC[n+]1ccccc1.[Br-],1-ethylpyridinium bromide,AAzOMU,Br[Al](Br)Br,aluminum bromide,AADYJk,O,water
vcDGV,0.35,0.2,101.3,298.15,1447,Vila et al. (2006b),Density,Liquid,AAkIgT,CC[n+]1ccccc1.[Br-],1-ethylpyridinium bromide,AAzOMU,Br[Al](Br)Br,aluminum bromide,AADYJk,O,water
vcDGV,0.35,0.25,101.3,298.15,1407,Vila et al. (2006b),Density,Liquid,AAkIgT,CC[n+]1ccccc1.[Br-],1-ethylpyridinium bromide,AAzOMU,Br[Al](Br)Br,aluminum bromide,AADYJk,O,water
vcDGV,0.35,0.3,101.3,298.15,1368,Vila et al. (2006b),Density,Liquid,AAkIgT,CC[n+]1ccccc1.[Br-],1-ethylpyridinium bromide,AAzOMU,Br[Al](Br)Br,aluminum bromide,AADYJk,O,water
vcDGV,0.35,0.35,101.3,298.15,1330,Vila et al. (2006b),Density,Liquid,AAkIgT,CC[n+]1ccccc1.[Br-],1-ethylpyridinium bromide,AAzOMU,Br[Al](Br)Br,aluminum bromide,AADYJk,O,water
vcDGV,0.35,0.4,101.3,298.15,1295,Vila et al. (2006b),Density,Liquid,AAkIgT,CC[n+]1ccccc1.[Br-],1-ethylpyridinium bromide,AAzOMU,Br[Al](Br)Br,aluminum bromide,AADYJk,O,water
vcDGV,0.35,0.45,101.3,298.15,1261,Vila et al. (2006b),Density,Liquid,AAkIgT,CC[n+]1ccccc1.[Br-],1-ethylpyridinium bromide,AAzOMU,Br[Al](Br)Br,aluminum bromide,AADYJk,O,water
vcDGV,0.35,0.5,101.3,298.15,1228,Vila et al. (2006b),Density,Liquid,AAkIgT,CC[n+]1ccccc1.[Br-],1-ethylpyridinium bromide,AAzOMU,Br[Al](Br)Br,aluminum bromide,AADYJk,O,water
vcDGV,0.35,0.55,101.3,298.15,1198,Vila et al. (2006b),Density,Liquid,AAkIgT,CC[n+]1ccccc1.[Br-],1-ethylpyridinium bromide,AAzOMU,Br[Al](Br)Br,aluminum bromide,AADYJk,O,water
vcDGV,0.35,0.6,101.3,298.15,1169,Vila et al. (2006b),Density,Liquid,AAkIgT,CC[n+]1ccccc1.[Br-],1-ethylpyridinium bromide,AAzOMU,Br[Al](Br)Br,aluminum bromide,AADYJk,O,water
vcDGV,0.35,0.65,101.3,298.15,1141,Vila et al. (2006b),Density,Liquid,AAkIgT,CC[n+]1ccccc1.[Br-],1-ethylpyridinium bromide,AAzOMU,Br[Al](Br)Br,aluminum bromide,AADYJk,O,water
vcDGV,0.35,0.7,101.3,298.15,1116,Vila et al. (2006b),Density,Liquid,AAkIgT,CC[n+]1ccccc1.[Br-],1-ethylpyridinium bromide,AAzOMU,Br[Al](Br)Br,aluminum bromide,AADYJk,O,water
vcDGV,0.35,0.75,101.3,298.15,1092,Vila et al. (2006b),Density,Liquid,AAkIgT,CC[n+]1ccccc1.[Br-],1-ethylpyridinium bromide,AAzOMU,Br[Al](Br)Br,aluminum bromide,AADYJk,O,water
vcDGV,0.35,0.8,101.3,298.15,1069,Vila et al. (2006b),Density,Liquid,AAkIgT,CC[n+]1ccccc1.[Br-],1-ethylpyridinium bromide,AAzOMU,Br[Al](Br)Br,aluminum bromide,AADYJk,O,water
vcDGV,0.35,0.85,101.3,298.15,1048,Vila et al. (2006b),Density,Liquid,AAkIgT,CC[n+]1ccccc1.[Br-],1-ethylpyridinium bromide,AAzOMU,Br[Al](Br)Br,aluminum bromide,AADYJk,O,water
vcDGV,0.35,0.9,101.3,298.15,1029,Vila et al. (2006b),Density,Liquid,AAkIgT,CC[n+]1ccccc1.[Br-],1-ethylpyridinium bromide,AAzOMU,Br[Al](Br)Br,aluminum bromide,AADYJk,O,water
vcDGV,0.35,0.95,101.3,298.15,1012,Vila et al. (2006b),Density,Liquid,AAkIgT,CC[n+]1ccccc1.[Br-],1-ethylpyridinium bromide,AAzOMU,Br[Al](Br)Br,aluminum bromide,AADYJk,O,water
