setid,"Temperature, K","MolaLity of 1-butyl-3-methylimidazolium glycinate, mol/kg","Pressure, kPa","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
evUqp,293.15,0,100,998.206,Dagade et al. (2014),Density,Liquid,AADYJk,O,water,AApAci,CCCC[n+]1ccn(C)c1.NCC(=O)[O-],1-butyl-3-methylimidazolium glycinate,,,
evUqp,293.15,0.03911,100,999.516,Dagade et al. (2014),Density,Liquid,AADYJk,O,water,AApAci,CCCC[n+]1ccn(C)c1.NCC(=O)[O-],1-butyl-3-methylimidazolium glycinate,,,
evUqp,293.15,0.05766,100,1000.13,Dagade et al. (2014),Density,Liquid,AADYJk,O,water,AApAci,CCCC[n+]1ccn(C)c1.NCC(=O)[O-],1-butyl-3-methylimidazolium glycinate,,,
evUqp,293.15,0.07571,100,1000.71,Dagade et al. (2014),Density,Liquid,AADYJk,O,water,AApAci,CCCC[n+]1ccn(C)c1.NCC(=O)[O-],1-butyl-3-methylimidazolium glycinate,,,
evUqp,293.15,0.09405,100,1001.28,Dagade et al. (2014),Density,Liquid,AADYJk,O,water,AApAci,CCCC[n+]1ccn(C)c1.NCC(=O)[O-],1-butyl-3-methylimidazolium glycinate,,,
evUqp,293.15,0.11772,100,1002.03,Dagade et al. (2014),Density,Liquid,AADYJk,O,water,AApAci,CCCC[n+]1ccn(C)c1.NCC(=O)[O-],1-butyl-3-methylimidazolium glycinate,,,
evUqp,293.15,0.16344,100,1003.42,Dagade et al. (2014),Density,Liquid,AADYJk,O,water,AApAci,CCCC[n+]1ccn(C)c1.NCC(=O)[O-],1-butyl-3-methylimidazolium glycinate,,,
evUqp,293.15,0.20133,100,1004.58,Dagade et al. (2014),Density,Liquid,AADYJk,O,water,AApAci,CCCC[n+]1ccn(C)c1.NCC(=O)[O-],1-butyl-3-methylimidazolium glycinate,,,
evUqp,293.15,0.25353,100,1006.13,Dagade et al. (2014),Density,Liquid,AADYJk,O,water,AApAci,CCCC[n+]1ccn(C)c1.NCC(=O)[O-],1-butyl-3-methylimidazolium glycinate,,,
evUqp,293.15,0.29048,100,1007.2,Dagade et al. (2014),Density,Liquid,AADYJk,O,water,AApAci,CCCC[n+]1ccn(C)c1.NCC(=O)[O-],1-butyl-3-methylimidazolium glycinate,,,
evUqp,293.15,0.34958,100,1008.89,Dagade et al. (2014),Density,Liquid,AADYJk,O,water,AApAci,CCCC[n+]1ccn(C)c1.NCC(=O)[O-],1-butyl-3-methylimidazolium glycinate,,,
evUqp,293.15,0.40893,100,1010.57,Dagade et al. (2014),Density,Liquid,AADYJk,O,water,AApAci,CCCC[n+]1ccn(C)c1.NCC(=O)[O-],1-butyl-3-methylimidazolium glycinate,,,
evUqp,293.15,0.46066,100,1012,Dagade et al. (2014),Density,Liquid,AADYJk,O,water,AApAci,CCCC[n+]1ccn(C)c1.NCC(=O)[O-],1-butyl-3-methylimidazolium glycinate,,,
evUqp,293.15,0.51877,100,1013.58,Dagade et al. (2014),Density,Liquid,AADYJk,O,water,AApAci,CCCC[n+]1ccn(C)c1.NCC(=O)[O-],1-butyl-3-methylimidazolium glycinate,,,
evUqp,298.15,0,100,997.047,Dagade et al. (2014),Density,Liquid,AADYJk,O,water,AApAci,CCCC[n+]1ccn(C)c1.NCC(=O)[O-],1-butyl-3-methylimidazolium glycinate,,,
evUqp,298.15,0.03911,100,998.332,Dagade et al. (2014),Density,Liquid,AADYJk,O,water,AApAci,CCCC[n+]1ccn(C)c1.NCC(=O)[O-],1-butyl-3-methylimidazolium glycinate,,,
evUqp,298.15,0.05766,100,998.92,Dagade et al. (2014),Density,Liquid,AADYJk,O,water,AApAci,CCCC[n+]1ccn(C)c1.NCC(=O)[O-],1-butyl-3-methylimidazolium glycinate,,,
evUqp,298.15,0.07571,100,999.491,Dagade et al. (2014),Density,Liquid,AADYJk,O,water,AApAci,CCCC[n+]1ccn(C)c1.NCC(=O)[O-],1-butyl-3-methylimidazolium glycinate,,,
evUqp,298.15,0.09405,100,1000.03,Dagade et al. (2014),Density,Liquid,AADYJk,O,water,AApAci,CCCC[n+]1ccn(C)c1.NCC(=O)[O-],1-butyl-3-methylimidazolium glycinate,,,
evUqp,298.15,0.11772,100,1000.77,Dagade et al. (2014),Density,Liquid,AADYJk,O,water,AApAci,CCCC[n+]1ccn(C)c1.NCC(=O)[O-],1-butyl-3-methylimidazolium glycinate,,,
evUqp,298.15,0.16344,100,1002.14,Dagade et al. (2014),Density,Liquid,AADYJk,O,water,AApAci,CCCC[n+]1ccn(C)c1.NCC(=O)[O-],1-butyl-3-methylimidazolium glycinate,,,
evUqp,298.15,0.20133,100,1003.25,Dagade et al. (2014),Density,Liquid,AADYJk,O,water,AApAci,CCCC[n+]1ccn(C)c1.NCC(=O)[O-],1-butyl-3-methylimidazolium glycinate,,,
evUqp,298.15,0.25353,100,1004.78,Dagade et al. (2014),Density,Liquid,AADYJk,O,water,AApAci,CCCC[n+]1ccn(C)c1.NCC(=O)[O-],1-butyl-3-methylimidazolium glycinate,,,
evUqp,298.15,0.29048,100,1005.83,Dagade et al. (2014),Density,Liquid,AADYJk,O,water,AApAci,CCCC[n+]1ccn(C)c1.NCC(=O)[O-],1-butyl-3-methylimidazolium glycinate,,,
evUqp,298.15,0.34958,100,1007.53,Dagade et al. (2014),Density,Liquid,AADYJk,O,water,AApAci,CCCC[n+]1ccn(C)c1.NCC(=O)[O-],1-butyl-3-methylimidazolium glycinate,,,
evUqp,298.15,0.40893,100,1009.11,Dagade et al. (2014),Density,Liquid,AADYJk,O,water,AApAci,CCCC[n+]1ccn(C)c1.NCC(=O)[O-],1-butyl-3-methylimidazolium glycinate,,,
evUqp,298.15,0.46066,100,1010.51,Dagade et al. (2014),Density,Liquid,AADYJk,O,water,AApAci,CCCC[n+]1ccn(C)c1.NCC(=O)[O-],1-butyl-3-methylimidazolium glycinate,,,
evUqp,298.15,0.51877,100,1012.11,Dagade et al. (2014),Density,Liquid,AADYJk,O,water,AApAci,CCCC[n+]1ccn(C)c1.NCC(=O)[O-],1-butyl-3-methylimidazolium glycinate,,,
evUqp,303.15,0,100,995.65,Dagade et al. (2014),Density,Liquid,AADYJk,O,water,AApAci,CCCC[n+]1ccn(C)c1.NCC(=O)[O-],1-butyl-3-methylimidazolium glycinate,,,
evUqp,303.15,0.03911,100,996.915,Dagade et al. (2014),Density,Liquid,AADYJk,O,water,AApAci,CCCC[n+]1ccn(C)c1.NCC(=O)[O-],1-butyl-3-methylimidazolium glycinate,,,
evUqp,303.15,0.05766,100,997.485,Dagade et al. (2014),Density,Liquid,AADYJk,O,water,AApAci,CCCC[n+]1ccn(C)c1.NCC(=O)[O-],1-butyl-3-methylimidazolium glycinate,,,
evUqp,303.15,0.07571,100,998.049,Dagade et al. (2014),Density,Liquid,AADYJk,O,water,AApAci,CCCC[n+]1ccn(C)c1.NCC(=O)[O-],1-butyl-3-methylimidazolium glycinate,,,
evUqp,303.15,0.09405,100,998.596,Dagade et al. (2014),Density,Liquid,AADYJk,O,water,AApAci,CCCC[n+]1ccn(C)c1.NCC(=O)[O-],1-butyl-3-methylimidazolium glycinate,,,
evUqp,303.15,0.11772,100,999.306,Dagade et al. (2014),Density,Liquid,AADYJk,O,water,AApAci,CCCC[n+]1ccn(C)c1.NCC(=O)[O-],1-butyl-3-methylimidazolium glycinate,,,
evUqp,303.15,0.16344,100,1000.64,Dagade et al. (2014),Density,Liquid,AADYJk,O,water,AApAci,CCCC[n+]1ccn(C)c1.NCC(=O)[O-],1-butyl-3-methylimidazolium glycinate,,,
evUqp,303.15,0.20133,100,1001.73,Dagade et al. (2014),Density,Liquid,AADYJk,O,water,AApAci,CCCC[n+]1ccn(C)c1.NCC(=O)[O-],1-butyl-3-methylimidazolium glycinate,,,
evUqp,303.15,0.25353,100,1003.2,Dagade et al. (2014),Density,Liquid,AADYJk,O,water,AApAci,CCCC[n+]1ccn(C)c1.NCC(=O)[O-],1-butyl-3-methylimidazolium glycinate,,,
evUqp,303.15,0.29048,100,1004.25,Dagade et al. (2014),Density,Liquid,AADYJk,O,water,AApAci,CCCC[n+]1ccn(C)c1.NCC(=O)[O-],1-butyl-3-methylimidazolium glycinate,,,
evUqp,303.15,0.34958,100,1005.87,Dagade et al. (2014),Density,Liquid,AADYJk,O,water,AApAci,CCCC[n+]1ccn(C)c1.NCC(=O)[O-],1-butyl-3-methylimidazolium glycinate,,,
evUqp,303.15,0.40893,100,1007.48,Dagade et al. (2014),Density,Liquid,AADYJk,O,water,AApAci,CCCC[n+]1ccn(C)c1.NCC(=O)[O-],1-butyl-3-methylimidazolium glycinate,,,
