setid,"Mole fraction of propan-1,3-diol","Temperature, K","Pressure, kPa","Moles per mass of solution: 1-butyl-3-methylimidazolium bromide, mol/kg","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
nTmjk,0.0387,298.15,101,0.1,1013.4,Checoni (2010),Density,Liquid,AAOgLD,OCCCO,"propan-1,3-diol",AADYJk,O,water,AAqHiH,CCCC[n+]1ccn(C)c1.[Br-],1-butyl-3-methylimidazolium bromide
nTmjk,0.0803,298.15,101,0.1,1022.8,Checoni (2010),Density,Liquid,AAOgLD,OCCCO,"propan-1,3-diol",AADYJk,O,water,AAqHiH,CCCC[n+]1ccn(C)c1.[Br-],1-butyl-3-methylimidazolium bromide
nTmjk,0.1246,298.15,101,0.1,1030.8,Checoni (2010),Density,Liquid,AAOgLD,OCCCO,"propan-1,3-diol",AADYJk,O,water,AAqHiH,CCCC[n+]1ccn(C)c1.[Br-],1-butyl-3-methylimidazolium bromide
nTmjk,0.1713,298.15,101,0.1,1037.5,Checoni (2010),Density,Liquid,AAOgLD,OCCCO,"propan-1,3-diol",AADYJk,O,water,AAqHiH,CCCC[n+]1ccn(C)c1.[Br-],1-butyl-3-methylimidazolium bromide
nTmjk,0.2199,298.15,101,0.1,1042.5,Checoni (2010),Density,Liquid,AAOgLD,OCCCO,"propan-1,3-diol",AADYJk,O,water,AAqHiH,CCCC[n+]1ccn(C)c1.[Br-],1-butyl-3-methylimidazolium bromide
nTmjk,0.27,298.15,101,0.1,1046.6,Checoni (2010),Density,Liquid,AAOgLD,OCCCO,"propan-1,3-diol",AADYJk,O,water,AAqHiH,CCCC[n+]1ccn(C)c1.[Br-],1-butyl-3-methylimidazolium bromide
nTmjk,0.3209,298.15,101,0.1,1049.7,Checoni (2010),Density,Liquid,AAOgLD,OCCCO,"propan-1,3-diol",AADYJk,O,water,AAqHiH,CCCC[n+]1ccn(C)c1.[Br-],1-butyl-3-methylimidazolium bromide
nTmjk,0.3721,298.15,101,0.1,1051.7,Checoni (2010),Density,Liquid,AAOgLD,OCCCO,"propan-1,3-diol",AADYJk,O,water,AAqHiH,CCCC[n+]1ccn(C)c1.[Br-],1-butyl-3-methylimidazolium bromide
nTmjk,0.4229,298.15,101,0.1,1053.1,Checoni (2010),Density,Liquid,AAOgLD,OCCCO,"propan-1,3-diol",AADYJk,O,water,AAqHiH,CCCC[n+]1ccn(C)c1.[Br-],1-butyl-3-methylimidazolium bromide
nTmjk,0.4727,298.15,101,0.1,1054.1,Checoni (2010),Density,Liquid,AAOgLD,OCCCO,"propan-1,3-diol",AADYJk,O,water,AAqHiH,CCCC[n+]1ccn(C)c1.[Br-],1-butyl-3-methylimidazolium bromide
nTmjk,0.521,298.15,101,0.1,1054.6,Checoni (2010),Density,Liquid,AAOgLD,OCCCO,"propan-1,3-diol",AADYJk,O,water,AAqHiH,CCCC[n+]1ccn(C)c1.[Br-],1-butyl-3-methylimidazolium bromide
nTmjk,0.5672,298.15,101,0.1,1055,Checoni (2010),Density,Liquid,AAOgLD,OCCCO,"propan-1,3-diol",AADYJk,O,water,AAqHiH,CCCC[n+]1ccn(C)c1.[Br-],1-butyl-3-methylimidazolium bromide
nTmjk,0.611,298.15,101,0.1,1055.2,Checoni (2010),Density,Liquid,AAOgLD,OCCCO,"propan-1,3-diol",AADYJk,O,water,AAqHiH,CCCC[n+]1ccn(C)c1.[Br-],1-butyl-3-methylimidazolium bromide
nTmjk,0.652,298.15,101,0.1,1055.3,Checoni (2010),Density,Liquid,AAOgLD,OCCCO,"propan-1,3-diol",AADYJk,O,water,AAqHiH,CCCC[n+]1ccn(C)c1.[Br-],1-butyl-3-methylimidazolium bromide
nTmjk,0.69,298.15,101,0.1,1055.4,Checoni (2010),Density,Liquid,AAOgLD,OCCCO,"propan-1,3-diol",AADYJk,O,water,AAqHiH,CCCC[n+]1ccn(C)c1.[Br-],1-butyl-3-methylimidazolium bromide
nTmjk,0.725,298.15,101,0.1,1055.5,Checoni (2010),Density,Liquid,AAOgLD,OCCCO,"propan-1,3-diol",AADYJk,O,water,AAqHiH,CCCC[n+]1ccn(C)c1.[Br-],1-butyl-3-methylimidazolium bromide
nTmjk,0.7569,298.15,101,0.1,1055.5,Checoni (2010),Density,Liquid,AAOgLD,OCCCO,"propan-1,3-diol",AADYJk,O,water,AAqHiH,CCCC[n+]1ccn(C)c1.[Br-],1-butyl-3-methylimidazolium bromide
nTmjk,0.7857,298.15,101,0.1,1055.4,Checoni (2010),Density,Liquid,AAOgLD,OCCCO,"propan-1,3-diol",AADYJk,O,water,AAqHiH,CCCC[n+]1ccn(C)c1.[Br-],1-butyl-3-methylimidazolium bromide
nTmjk,0.8116,298.15,101,0.1,1055.3,Checoni (2010),Density,Liquid,AAOgLD,OCCCO,"propan-1,3-diol",AADYJk,O,water,AAqHiH,CCCC[n+]1ccn(C)c1.[Br-],1-butyl-3-methylimidazolium bromide
nTmjk,0.8348,298.15,101,0.1,1055.3,Checoni (2010),Density,Liquid,AAOgLD,OCCCO,"propan-1,3-diol",AADYJk,O,water,AAqHiH,CCCC[n+]1ccn(C)c1.[Br-],1-butyl-3-methylimidazolium bromide
nTmjk,0.8553,298.15,101,0.1,1055.2,Checoni (2010),Density,Liquid,AAOgLD,OCCCO,"propan-1,3-diol",AADYJk,O,water,AAqHiH,CCCC[n+]1ccn(C)c1.[Br-],1-butyl-3-methylimidazolium bromide
