setid,"Temperature, K","MolaLity of N-butyl-N-methylmorpholinium N-acetyl-L-leucinate, mol/kg","Pressure, kPa","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
NNqgU,293.15,0,101.3,998.205,Warminska and Kloskowski (2023),Density,Liquid,ABLccO,CC(=O)N[C@@H](CC(C)C)C(=O)[O-].CCCC[N+]1(C)CCOCC1,N-butyl-N-methylmorpholinium N-acetyl-L-leucinate,AADYJk,O,water,,,
NNqgU,293.15,0.016,101.3,998.734,Warminska and Kloskowski (2023),Density,Liquid,ABLccO,CC(=O)N[C@@H](CC(C)C)C(=O)[O-].CCCC[N+]1(C)CCOCC1,N-butyl-N-methylmorpholinium N-acetyl-L-leucinate,AADYJk,O,water,,,
NNqgU,293.15,0.024,101.3,998.997,Warminska and Kloskowski (2023),Density,Liquid,ABLccO,CC(=O)N[C@@H](CC(C)C)C(=O)[O-].CCCC[N+]1(C)CCOCC1,N-butyl-N-methylmorpholinium N-acetyl-L-leucinate,AADYJk,O,water,,,
NNqgU,293.15,0.0386,101.3,999.476,Warminska and Kloskowski (2023),Density,Liquid,ABLccO,CC(=O)N[C@@H](CC(C)C)C(=O)[O-].CCCC[N+]1(C)CCOCC1,N-butyl-N-methylmorpholinium N-acetyl-L-leucinate,AADYJk,O,water,,,
NNqgU,293.15,0.056,101.3,1000.04,Warminska and Kloskowski (2023),Density,Liquid,ABLccO,CC(=O)N[C@@H](CC(C)C)C(=O)[O-].CCCC[N+]1(C)CCOCC1,N-butyl-N-methylmorpholinium N-acetyl-L-leucinate,AADYJk,O,water,,,
NNqgU,293.15,0.0762,101.3,1000.69,Warminska and Kloskowski (2023),Density,Liquid,ABLccO,CC(=O)N[C@@H](CC(C)C)C(=O)[O-].CCCC[N+]1(C)CCOCC1,N-butyl-N-methylmorpholinium N-acetyl-L-leucinate,AADYJk,O,water,,,
NNqgU,293.15,0.1085,101.3,1001.73,Warminska and Kloskowski (2023),Density,Liquid,ABLccO,CC(=O)N[C@@H](CC(C)C)C(=O)[O-].CCCC[N+]1(C)CCOCC1,N-butyl-N-methylmorpholinium N-acetyl-L-leucinate,AADYJk,O,water,,,
NNqgU,293.15,0.1302,101.3,1002.42,Warminska and Kloskowski (2023),Density,Liquid,ABLccO,CC(=O)N[C@@H](CC(C)C)C(=O)[O-].CCCC[N+]1(C)CCOCC1,N-butyl-N-methylmorpholinium N-acetyl-L-leucinate,AADYJk,O,water,,,
NNqgU,293.15,0.1609,101.3,1003.4,Warminska and Kloskowski (2023),Density,Liquid,ABLccO,CC(=O)N[C@@H](CC(C)C)C(=O)[O-].CCCC[N+]1(C)CCOCC1,N-butyl-N-methylmorpholinium N-acetyl-L-leucinate,AADYJk,O,water,,,
NNqgU,293.15,0.1948,101.3,1004.47,Warminska and Kloskowski (2023),Density,Liquid,ABLccO,CC(=O)N[C@@H](CC(C)C)C(=O)[O-].CCCC[N+]1(C)CCOCC1,N-butyl-N-methylmorpholinium N-acetyl-L-leucinate,AADYJk,O,water,,,
NNqgU,293.15,0.246,101.3,1006.07,Warminska and Kloskowski (2023),Density,Liquid,ABLccO,CC(=O)N[C@@H](CC(C)C)C(=O)[O-].CCCC[N+]1(C)CCOCC1,N-butyl-N-methylmorpholinium N-acetyl-L-leucinate,AADYJk,O,water,,,
NNqgU,298.15,0,101.3,997.046,Warminska and Kloskowski (2023),Density,Liquid,ABLccO,CC(=O)N[C@@H](CC(C)C)C(=O)[O-].CCCC[N+]1(C)CCOCC1,N-butyl-N-methylmorpholinium N-acetyl-L-leucinate,AADYJk,O,water,,,
