setid,Solvent: Volume fraction of diethylammonium acetate,"Pressure, kPa","Temperature, K","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
TrUpx,0,101,298.15,1028.9,Vasantha et al. (2015),Density,Liquid,Crystal of pure component 1,,4,AAWvKW,C[C@@H](O)[C@H](N)C(=O)O,L-threonine,AADYJk,O,water
TrUpx,0.3,101,298.15,1022.8,Vasantha et al. (2015),Density,Liquid,Crystal of pure component 1,,4,AAWvKW,C[C@@H](O)[C@H](N)C(=O)O,L-threonine,AADYJk,O,water
TrUpx,0.5,101,298.15,1023,Vasantha et al. (2015),Density,Liquid,Crystal of pure component 1,,4,AAWvKW,C[C@@H](O)[C@H](N)C(=O)O,L-threonine,AADYJk,O,water
TrUpx,0.7,101,298.15,1021,Vasantha et al. (2015),Density,Liquid,Crystal of pure component 1,,4,AAWvKW,C[C@@H](O)[C@H](N)C(=O)O,L-threonine,AADYJk,O,water
