setid,"Temperature, K",Mole fraction of 1-(4-methoxybutyl)-3-methylimidazolium DL-alaninate,"Pressure, kPa","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
Qulhk,288.15,0,100,1105.2,Wang et al. (2022k),Density,Liquid,AAxZXm,NC(C)C(=O)[O-].COCCCCN1C=[N+](C=C1)C,1-(4-methoxybutyl)-3-methylimidazolium DL-alaninate,AAPByN,CS(C)=O,dimethyl sulfoxide,,,
Qulhk,288.15,0.1009,100,1139,Wang et al. (2022k),Density,Liquid,AAxZXm,NC(C)C(=O)[O-].COCCCCN1C=[N+](C=C1)C,1-(4-methoxybutyl)-3-methylimidazolium DL-alaninate,AAPByN,CS(C)=O,dimethyl sulfoxide,,,
Qulhk,288.15,0.1996,100,1147.2,Wang et al. (2022k),Density,Liquid,AAxZXm,NC(C)C(=O)[O-].COCCCCN1C=[N+](C=C1)C,1-(4-methoxybutyl)-3-methylimidazolium DL-alaninate,AAPByN,CS(C)=O,dimethyl sulfoxide,,,
Qulhk,288.15,0.3012,100,1148.7,Wang et al. (2022k),Density,Liquid,AAxZXm,NC(C)C(=O)[O-].COCCCCN1C=[N+](C=C1)C,1-(4-methoxybutyl)-3-methylimidazolium DL-alaninate,AAPByN,CS(C)=O,dimethyl sulfoxide,,,
Qulhk,288.15,0.3985,100,1149.2,Wang et al. (2022k),Density,Liquid,AAxZXm,NC(C)C(=O)[O-].COCCCCN1C=[N+](C=C1)C,1-(4-methoxybutyl)-3-methylimidazolium DL-alaninate,AAPByN,CS(C)=O,dimethyl sulfoxide,,,
Qulhk,288.15,0.4922,100,1150.6,Wang et al. (2022k),Density,Liquid,AAxZXm,NC(C)C(=O)[O-].COCCCCN1C=[N+](C=C1)C,1-(4-methoxybutyl)-3-methylimidazolium DL-alaninate,AAPByN,CS(C)=O,dimethyl sulfoxide,,,
Qulhk,288.15,0.5996,100,1152.7,Wang et al. (2022k),Density,Liquid,AAxZXm,NC(C)C(=O)[O-].COCCCCN1C=[N+](C=C1)C,1-(4-methoxybutyl)-3-methylimidazolium DL-alaninate,AAPByN,CS(C)=O,dimethyl sulfoxide,,,
Qulhk,288.15,0.6966,100,1154.5,Wang et al. (2022k),Density,Liquid,AAxZXm,NC(C)C(=O)[O-].COCCCCN1C=[N+](C=C1)C,1-(4-methoxybutyl)-3-methylimidazolium DL-alaninate,AAPByN,CS(C)=O,dimethyl sulfoxide,,,
Qulhk,288.15,0.7973,100,1156.1,Wang et al. (2022k),Density,Liquid,AAxZXm,NC(C)C(=O)[O-].COCCCCN1C=[N+](C=C1)C,1-(4-methoxybutyl)-3-methylimidazolium DL-alaninate,AAPByN,CS(C)=O,dimethyl sulfoxide,,,
Qulhk,288.15,0.8997,100,1158.2,Wang et al. (2022k),Density,Liquid,AAxZXm,NC(C)C(=O)[O-].COCCCCN1C=[N+](C=C1)C,1-(4-methoxybutyl)-3-methylimidazolium DL-alaninate,AAPByN,CS(C)=O,dimethyl sulfoxide,,,
Qulhk,288.15,1,100,1162.7,Wang et al. (2022k),Density,Liquid,AAxZXm,NC(C)C(=O)[O-].COCCCCN1C=[N+](C=C1)C,1-(4-methoxybutyl)-3-methylimidazolium DL-alaninate,AAPByN,CS(C)=O,dimethyl sulfoxide,,,
Qulhk,293.15,0,100,1100.3,Wang et al. (2022k),Density,Liquid,AAxZXm,NC(C)C(=O)[O-].COCCCCN1C=[N+](C=C1)C,1-(4-methoxybutyl)-3-methylimidazolium DL-alaninate,AAPByN,CS(C)=O,dimethyl sulfoxide,,,
Qulhk,293.15,0.1009,100,1134.2,Wang et al. (2022k),Density,Liquid,AAxZXm,NC(C)C(=O)[O-].COCCCCN1C=[N+](C=C1)C,1-(4-methoxybutyl)-3-methylimidazolium DL-alaninate,AAPByN,CS(C)=O,dimethyl sulfoxide,,,
Qulhk,293.15,0.1996,100,1143.1,Wang et al. (2022k),Density,Liquid,AAxZXm,NC(C)C(=O)[O-].COCCCCN1C=[N+](C=C1)C,1-(4-methoxybutyl)-3-methylimidazolium DL-alaninate,AAPByN,CS(C)=O,dimethyl sulfoxide,,,
Qulhk,293.15,0.3012,100,1144.6,Wang et al. (2022k),Density,Liquid,AAxZXm,NC(C)C(=O)[O-].COCCCCN1C=[N+](C=C1)C,1-(4-methoxybutyl)-3-methylimidazolium DL-alaninate,AAPByN,CS(C)=O,dimethyl sulfoxide,,,
Qulhk,293.15,0.3985,100,1145.6,Wang et al. (2022k),Density,Liquid,AAxZXm,NC(C)C(=O)[O-].COCCCCN1C=[N+](C=C1)C,1-(4-methoxybutyl)-3-methylimidazolium DL-alaninate,AAPByN,CS(C)=O,dimethyl sulfoxide,,,
