setid,"Temperature, K","Solvent: MolaLity of N-dodecyl-N,N-dimethylbenzenemethanaminium chloride, mol/kg","MolaLity of glycyl-L-leucine, mol/kg","Pressure, kPa","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
WzWKy,293.15,0.04,0,101,1002,Yan et al. (2019),Density,Liquid,AAkKNJ,CC(C)C[C@H](NC(=O)CN)C(=O)O,glycyl-L-leucine,ABNTxQ,CCCCCCCCCCCC[N+](C)(C)CC1=CC=CC=C1.[Cl-],"N-dodecyl-N,N-dimethylbenzenemethanaminium chloride",AADYJk,O,water
WzWKy,293.15,0.04,0.02002,101,1003,Yan et al. (2019),Density,Liquid,AAkKNJ,CC(C)C[C@H](NC(=O)CN)C(=O)O,glycyl-L-leucine,ABNTxQ,CCCCCCCCCCCC[N+](C)(C)CC1=CC=CC=C1.[Cl-],"N-dodecyl-N,N-dimethylbenzenemethanaminium chloride",AADYJk,O,water
WzWKy,293.15,0.04,0.03942,101,1004,Yan et al. (2019),Density,Liquid,AAkKNJ,CC(C)C[C@H](NC(=O)CN)C(=O)O,glycyl-L-leucine,ABNTxQ,CCCCCCCCCCCC[N+](C)(C)CC1=CC=CC=C1.[Cl-],"N-dodecyl-N,N-dimethylbenzenemethanaminium chloride",AADYJk,O,water
WzWKy,293.15,0.04,0.0591,101,1004.9,Yan et al. (2019),Density,Liquid,AAkKNJ,CC(C)C[C@H](NC(=O)CN)C(=O)O,glycyl-L-leucine,ABNTxQ,CCCCCCCCCCCC[N+](C)(C)CC1=CC=CC=C1.[Cl-],"N-dodecyl-N,N-dimethylbenzenemethanaminium chloride",AADYJk,O,water
WzWKy,293.15,0.04,0.079,101,1005.9,Yan et al. (2019),Density,Liquid,AAkKNJ,CC(C)C[C@H](NC(=O)CN)C(=O)O,glycyl-L-leucine,ABNTxQ,CCCCCCCCCCCC[N+](C)(C)CC1=CC=CC=C1.[Cl-],"N-dodecyl-N,N-dimethylbenzenemethanaminium chloride",AADYJk,O,water
WzWKy,293.15,0.04,0.0984,101,1006.8,Yan et al. (2019),Density,Liquid,AAkKNJ,CC(C)C[C@H](NC(=O)CN)C(=O)O,glycyl-L-leucine,ABNTxQ,CCCCCCCCCCCC[N+](C)(C)CC1=CC=CC=C1.[Cl-],"N-dodecyl-N,N-dimethylbenzenemethanaminium chloride",AADYJk,O,water
WzWKy,293.15,0.04,0.1178,101,1007.8,Yan et al. (2019),Density,Liquid,AAkKNJ,CC(C)C[C@H](NC(=O)CN)C(=O)O,glycyl-L-leucine,ABNTxQ,CCCCCCCCCCCC[N+](C)(C)CC1=CC=CC=C1.[Cl-],"N-dodecyl-N,N-dimethylbenzenemethanaminium chloride",AADYJk,O,water
WzWKy,293.15,0.04,0.1385,101,1008.8,Yan et al. (2019),Density,Liquid,AAkKNJ,CC(C)C[C@H](NC(=O)CN)C(=O)O,glycyl-L-leucine,ABNTxQ,CCCCCCCCCCCC[N+](C)(C)CC1=CC=CC=C1.[Cl-],"N-dodecyl-N,N-dimethylbenzenemethanaminium chloride",AADYJk,O,water
WzWKy,293.15,0.04,0.1581,101,1009.8,Yan et al. (2019),Density,Liquid,AAkKNJ,CC(C)C[C@H](NC(=O)CN)C(=O)O,glycyl-L-leucine,ABNTxQ,CCCCCCCCCCCC[N+](C)(C)CC1=CC=CC=C1.[Cl-],"N-dodecyl-N,N-dimethylbenzenemethanaminium chloride",AADYJk,O,water
WzWKy,293.15,0.04,0.1781,101,1010.8,Yan et al. (2019),Density,Liquid,AAkKNJ,CC(C)C[C@H](NC(=O)CN)C(=O)O,glycyl-L-leucine,ABNTxQ,CCCCCCCCCCCC[N+](C)(C)CC1=CC=CC=C1.[Cl-],"N-dodecyl-N,N-dimethylbenzenemethanaminium chloride",AADYJk,O,water
WzWKy,293.15,0.04,0.1996,101,1011.7,Yan et al. (2019),Density,Liquid,AAkKNJ,CC(C)C[C@H](NC(=O)CN)C(=O)O,glycyl-L-leucine,ABNTxQ,CCCCCCCCCCCC[N+](C)(C)CC1=CC=CC=C1.[Cl-],"N-dodecyl-N,N-dimethylbenzenemethanaminium chloride",AADYJk,O,water
WzWKy,293.15,0.08,0,101,1001.8,Yan et al. (2019),Density,Liquid,AAkKNJ,CC(C)C[C@H](NC(=O)CN)C(=O)O,glycyl-L-leucine,ABNTxQ,CCCCCCCCCCCC[N+](C)(C)CC1=CC=CC=C1.[Cl-],"N-dodecyl-N,N-dimethylbenzenemethanaminium chloride",AADYJk,O,water
WzWKy,293.15,0.08,0.01999,101,1002.7,Yan et al. (2019),Density,Liquid,AAkKNJ,CC(C)C[C@H](NC(=O)CN)C(=O)O,glycyl-L-leucine,ABNTxQ,CCCCCCCCCCCC[N+](C)(C)CC1=CC=CC=C1.[Cl-],"N-dodecyl-N,N-dimethylbenzenemethanaminium chloride",AADYJk,O,water
WzWKy,293.15,0.08,0.03865,101,1003.6,Yan et al. (2019),Density,Liquid,AAkKNJ,CC(C)C[C@H](NC(=O)CN)C(=O)O,glycyl-L-leucine,ABNTxQ,CCCCCCCCCCCC[N+](C)(C)CC1=CC=CC=C1.[Cl-],"N-dodecyl-N,N-dimethylbenzenemethanaminium chloride",AADYJk,O,water
WzWKy,293.15,0.08,0.0582,101,1004.5,Yan et al. (2019),Density,Liquid,AAkKNJ,CC(C)C[C@H](NC(=O)CN)C(=O)O,glycyl-L-leucine,ABNTxQ,CCCCCCCCCCCC[N+](C)(C)CC1=CC=CC=C1.[Cl-],"N-dodecyl-N,N-dimethylbenzenemethanaminium chloride",AADYJk,O,water
WzWKy,293.15,0.08,0.079,101,1005.5,Yan et al. (2019),Density,Liquid,AAkKNJ,CC(C)C[C@H](NC(=O)CN)C(=O)O,glycyl-L-leucine,ABNTxQ,CCCCCCCCCCCC[N+](C)(C)CC1=CC=CC=C1.[Cl-],"N-dodecyl-N,N-dimethylbenzenemethanaminium chloride",AADYJk,O,water
WzWKy,293.15,0.08,0.098,101,1006.5,Yan et al. (2019),Density,Liquid,AAkKNJ,CC(C)C[C@H](NC(=O)CN)C(=O)O,glycyl-L-leucine,ABNTxQ,CCCCCCCCCCCC[N+](C)(C)CC1=CC=CC=C1.[Cl-],"N-dodecyl-N,N-dimethylbenzenemethanaminium chloride",AADYJk,O,water
