setid,Mole fraction of 1-butylpyridinium dicyanamide,"Temperature, K","Pressure, kPa","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
mPzyf,0,288.15,101,1210,Zhang et al. (2018h),Density,Liquid,AAmufZ,CCCC[n+]1ccccc1.N#C[N-]C#N,1-butylpyridinium dicyanamide,AATgdC,CC1COC(=O)O1,propylene carbonate,,,
mPzyf,0,293.15,101,1204,Zhang et al. (2018h),Density,Liquid,AAmufZ,CCCC[n+]1ccccc1.N#C[N-]C#N,1-butylpyridinium dicyanamide,AATgdC,CC1COC(=O)O1,propylene carbonate,,,
mPzyf,0,298.15,101,1199,Zhang et al. (2018h),Density,Liquid,AAmufZ,CCCC[n+]1ccccc1.N#C[N-]C#N,1-butylpyridinium dicyanamide,AATgdC,CC1COC(=O)O1,propylene carbonate,,,
mPzyf,0,303.15,101,1194,Zhang et al. (2018h),Density,Liquid,AAmufZ,CCCC[n+]1ccccc1.N#C[N-]C#N,1-butylpyridinium dicyanamide,AATgdC,CC1COC(=O)O1,propylene carbonate,,,
mPzyf,0,308.15,101,1189,Zhang et al. (2018h),Density,Liquid,AAmufZ,CCCC[n+]1ccccc1.N#C[N-]C#N,1-butylpyridinium dicyanamide,AATgdC,CC1COC(=O)O1,propylene carbonate,,,
mPzyf,0,313.15,101,1183,Zhang et al. (2018h),Density,Liquid,AAmufZ,CCCC[n+]1ccccc1.N#C[N-]C#N,1-butylpyridinium dicyanamide,AATgdC,CC1COC(=O)O1,propylene carbonate,,,
mPzyf,0,318.15,101,1178,Zhang et al. (2018h),Density,Liquid,AAmufZ,CCCC[n+]1ccccc1.N#C[N-]C#N,1-butylpyridinium dicyanamide,AATgdC,CC1COC(=O)O1,propylene carbonate,,,
mPzyf,0,323.15,101,1173,Zhang et al. (2018h),Density,Liquid,AAmufZ,CCCC[n+]1ccccc1.N#C[N-]C#N,1-butylpyridinium dicyanamide,AATgdC,CC1COC(=O)O1,propylene carbonate,,,
mPzyf,0,328.15,101,1167,Zhang et al. (2018h),Density,Liquid,AAmufZ,CCCC[n+]1ccccc1.N#C[N-]C#N,1-butylpyridinium dicyanamide,AATgdC,CC1COC(=O)O1,propylene carbonate,,,
mPzyf,0,333.15,101,1162,Zhang et al. (2018h),Density,Liquid,AAmufZ,CCCC[n+]1ccccc1.N#C[N-]C#N,1-butylpyridinium dicyanamide,AATgdC,CC1COC(=O)O1,propylene carbonate,,,
mPzyf,0,338.15,101,1157,Zhang et al. (2018h),Density,Liquid,AAmufZ,CCCC[n+]1ccccc1.N#C[N-]C#N,1-butylpyridinium dicyanamide,AATgdC,CC1COC(=O)O1,propylene carbonate,,,
mPzyf,0,343.15,101,1151,Zhang et al. (2018h),Density,Liquid,AAmufZ,CCCC[n+]1ccccc1.N#C[N-]C#N,1-butylpyridinium dicyanamide,AATgdC,CC1COC(=O)O1,propylene carbonate,,,
mPzyf,0,348.15,101,1146,Zhang et al. (2018h),Density,Liquid,AAmufZ,CCCC[n+]1ccccc1.N#C[N-]C#N,1-butylpyridinium dicyanamide,AATgdC,CC1COC(=O)O1,propylene carbonate,,,
mPzyf,0,353.15,101,1141,Zhang et al. (2018h),Density,Liquid,AAmufZ,CCCC[n+]1ccccc1.N#C[N-]C#N,1-butylpyridinium dicyanamide,AATgdC,CC1COC(=O)O1,propylene carbonate,,,
mPzyf,0.1003,288.15,101,1186,Zhang et al. (2018h),Density,Liquid,AAmufZ,CCCC[n+]1ccccc1.N#C[N-]C#N,1-butylpyridinium dicyanamide,AATgdC,CC1COC(=O)O1,propylene carbonate,,,
mPzyf,0.1003,293.15,101,1181,Zhang et al. (2018h),Density,Liquid,AAmufZ,CCCC[n+]1ccccc1.N#C[N-]C#N,1-butylpyridinium dicyanamide,AATgdC,CC1COC(=O)O1,propylene carbonate,,,
mPzyf,0.1003,298.15,101,1177,Zhang et al. (2018h),Density,Liquid,AAmufZ,CCCC[n+]1ccccc1.N#C[N-]C#N,1-butylpyridinium dicyanamide,AATgdC,CC1COC(=O)O1,propylene carbonate,,,
mPzyf,0.1003,303.15,101,1172,Zhang et al. (2018h),Density,Liquid,AAmufZ,CCCC[n+]1ccccc1.N#C[N-]C#N,1-butylpyridinium dicyanamide,AATgdC,CC1COC(=O)O1,propylene carbonate,,,
mPzyf,0.1003,308.15,101,1167,Zhang et al. (2018h),Density,Liquid,AAmufZ,CCCC[n+]1ccccc1.N#C[N-]C#N,1-butylpyridinium dicyanamide,AATgdC,CC1COC(=O)O1,propylene carbonate,,,
mPzyf,0.1003,313.15,101,1162,Zhang et al. (2018h),Density,Liquid,AAmufZ,CCCC[n+]1ccccc1.N#C[N-]C#N,1-butylpyridinium dicyanamide,AATgdC,CC1COC(=O)O1,propylene carbonate,,,
mPzyf,0.1003,318.15,101,1158,Zhang et al. (2018h),Density,Liquid,AAmufZ,CCCC[n+]1ccccc1.N#C[N-]C#N,1-butylpyridinium dicyanamide,AATgdC,CC1COC(=O)O1,propylene carbonate,,,
mPzyf,0.1003,323.15,101,1153,Zhang et al. (2018h),Density,Liquid,AAmufZ,CCCC[n+]1ccccc1.N#C[N-]C#N,1-butylpyridinium dicyanamide,AATgdC,CC1COC(=O)O1,propylene carbonate,,,
mPzyf,0.1003,328.15,101,1148,Zhang et al. (2018h),Density,Liquid,AAmufZ,CCCC[n+]1ccccc1.N#C[N-]C#N,1-butylpyridinium dicyanamide,AATgdC,CC1COC(=O)O1,propylene carbonate,,,
mPzyf,0.1003,333.15,101,1144,Zhang et al. (2018h),Density,Liquid,AAmufZ,CCCC[n+]1ccccc1.N#C[N-]C#N,1-butylpyridinium dicyanamide,AATgdC,CC1COC(=O)O1,propylene carbonate,,,
mPzyf,0.1003,338.15,101,1139,Zhang et al. (2018h),Density,Liquid,AAmufZ,CCCC[n+]1ccccc1.N#C[N-]C#N,1-butylpyridinium dicyanamide,AATgdC,CC1COC(=O)O1,propylene carbonate,,,
mPzyf,0.1003,343.15,101,1134,Zhang et al. (2018h),Density,Liquid,AAmufZ,CCCC[n+]1ccccc1.N#C[N-]C#N,1-butylpyridinium dicyanamide,AATgdC,CC1COC(=O)O1,propylene carbonate,,,
mPzyf,0.1003,348.15,101,1130,Zhang et al. (2018h),Density,Liquid,AAmufZ,CCCC[n+]1ccccc1.N#C[N-]C#N,1-butylpyridinium dicyanamide,AATgdC,CC1COC(=O)O1,propylene carbonate,,,
mPzyf,0.1003,353.15,101,1125,Zhang et al. (2018h),Density,Liquid,AAmufZ,CCCC[n+]1ccccc1.N#C[N-]C#N,1-butylpyridinium dicyanamide,AATgdC,CC1COC(=O)O1,propylene carbonate,,,
mPzyf,0.197,288.15,101,1166,Zhang et al. (2018h),Density,Liquid,AAmufZ,CCCC[n+]1ccccc1.N#C[N-]C#N,1-butylpyridinium dicyanamide,AATgdC,CC1COC(=O)O1,propylene carbonate,,,
mPzyf,0.197,293.15,101,1162,Zhang et al. (2018h),Density,Liquid,AAmufZ,CCCC[n+]1ccccc1.N#C[N-]C#N,1-butylpyridinium dicyanamide,AATgdC,CC1COC(=O)O1,propylene carbonate,,,
mPzyf,0.197,298.15,101,1157,Zhang et al. (2018h),Density,Liquid,AAmufZ,CCCC[n+]1ccccc1.N#C[N-]C#N,1-butylpyridinium dicyanamide,AATgdC,CC1COC(=O)O1,propylene carbonate,,,
mPzyf,0.197,303.15,101,1153,Zhang et al. (2018h),Density,Liquid,AAmufZ,CCCC[n+]1ccccc1.N#C[N-]C#N,1-butylpyridinium dicyanamide,AATgdC,CC1COC(=O)O1,propylene carbonate,,,
mPzyf,0.197,308.15,101,1149,Zhang et al. (2018h),Density,Liquid,AAmufZ,CCCC[n+]1ccccc1.N#C[N-]C#N,1-butylpyridinium dicyanamide,AATgdC,CC1COC(=O)O1,propylene carbonate,,,
mPzyf,0.197,313.15,101,1144,Zhang et al. (2018h),Density,Liquid,AAmufZ,CCCC[n+]1ccccc1.N#C[N-]C#N,1-butylpyridinium dicyanamide,AATgdC,CC1COC(=O)O1,propylene carbonate,,,
mPzyf,0.197,318.15,101,1140,Zhang et al. (2018h),Density,Liquid,AAmufZ,CCCC[n+]1ccccc1.N#C[N-]C#N,1-butylpyridinium dicyanamide,AATgdC,CC1COC(=O)O1,propylene carbonate,,,
mPzyf,0.197,323.15,101,1136,Zhang et al. (2018h),Density,Liquid,AAmufZ,CCCC[n+]1ccccc1.N#C[N-]C#N,1-butylpyridinium dicyanamide,AATgdC,CC1COC(=O)O1,propylene carbonate,,,
mPzyf,0.197,328.15,101,1131,Zhang et al. (2018h),Density,Liquid,AAmufZ,CCCC[n+]1ccccc1.N#C[N-]C#N,1-butylpyridinium dicyanamide,AATgdC,CC1COC(=O)O1,propylene carbonate,,,
mPzyf,0.197,333.15,101,1127,Zhang et al. (2018h),Density,Liquid,AAmufZ,CCCC[n+]1ccccc1.N#C[N-]C#N,1-butylpyridinium dicyanamide,AATgdC,CC1COC(=O)O1,propylene carbonate,,,
mPzyf,0.197,338.15,101,1123,Zhang et al. (2018h),Density,Liquid,AAmufZ,CCCC[n+]1ccccc1.N#C[N-]C#N,1-butylpyridinium dicyanamide,AATgdC,CC1COC(=O)O1,propylene carbonate,,,
mPzyf,0.197,343.15,101,1119,Zhang et al. (2018h),Density,Liquid,AAmufZ,CCCC[n+]1ccccc1.N#C[N-]C#N,1-butylpyridinium dicyanamide,AATgdC,CC1COC(=O)O1,propylene carbonate,,,
mPzyf,0.197,348.15,101,1114,Zhang et al. (2018h),Density,Liquid,AAmufZ,CCCC[n+]1ccccc1.N#C[N-]C#N,1-butylpyridinium dicyanamide,AATgdC,CC1COC(=O)O1,propylene carbonate,,,
mPzyf,0.197,353.15,101,1110,Zhang et al. (2018h),Density,Liquid,AAmufZ,CCCC[n+]1ccccc1.N#C[N-]C#N,1-butylpyridinium dicyanamide,AATgdC,CC1COC(=O)O1,propylene carbonate,,,
mPzyf,0.3005,288.15,101,1148,Zhang et al. (2018h),Density,Liquid,AAmufZ,CCCC[n+]1ccccc1.N#C[N-]C#N,1-butylpyridinium dicyanamide,AATgdC,CC1COC(=O)O1,propylene carbonate,,,
mPzyf,0.3005,293.15,101,1144,Zhang et al. (2018h),Density,Liquid,AAmufZ,CCCC[n+]1ccccc1.N#C[N-]C#N,1-butylpyridinium dicyanamide,AATgdC,CC1COC(=O)O1,propylene carbonate,,,
mPzyf,0.3005,298.15,101,1140,Zhang et al. (2018h),Density,Liquid,AAmufZ,CCCC[n+]1ccccc1.N#C[N-]C#N,1-butylpyridinium dicyanamide,AATgdC,CC1COC(=O)O1,propylene carbonate,,,
mPzyf,0.3005,303.15,101,1136,Zhang et al. (2018h),Density,Liquid,AAmufZ,CCCC[n+]1ccccc1.N#C[N-]C#N,1-butylpyridinium dicyanamide,AATgdC,CC1COC(=O)O1,propylene carbonate,,,
mPzyf,0.3005,308.15,101,1132,Zhang et al. (2018h),Density,Liquid,AAmufZ,CCCC[n+]1ccccc1.N#C[N-]C#N,1-butylpyridinium dicyanamide,AATgdC,CC1COC(=O)O1,propylene carbonate,,,
mPzyf,0.3005,313.15,101,1128,Zhang et al. (2018h),Density,Liquid,AAmufZ,CCCC[n+]1ccccc1.N#C[N-]C#N,1-butylpyridinium dicyanamide,AATgdC,CC1COC(=O)O1,propylene carbonate,,,
mPzyf,0.3005,318.15,101,1124,Zhang et al. (2018h),Density,Liquid,AAmufZ,CCCC[n+]1ccccc1.N#C[N-]C#N,1-butylpyridinium dicyanamide,AATgdC,CC1COC(=O)O1,propylene carbonate,,,
mPzyf,0.3005,323.15,101,1120,Zhang et al. (2018h),Density,Liquid,AAmufZ,CCCC[n+]1ccccc1.N#C[N-]C#N,1-butylpyridinium dicyanamide,AATgdC,CC1COC(=O)O1,propylene carbonate,,,
mPzyf,0.3005,328.15,101,1116,Zhang et al. (2018h),Density,Liquid,AAmufZ,CCCC[n+]1ccccc1.N#C[N-]C#N,1-butylpyridinium dicyanamide,AATgdC,CC1COC(=O)O1,propylene carbonate,,,
mPzyf,0.3005,333.15,101,1112,Zhang et al. (2018h),Density,Liquid,AAmufZ,CCCC[n+]1ccccc1.N#C[N-]C#N,1-butylpyridinium dicyanamide,AATgdC,CC1COC(=O)O1,propylene carbonate,,,
mPzyf,0.3005,338.15,101,1108,Zhang et al. (2018h),Density,Liquid,AAmufZ,CCCC[n+]1ccccc1.N#C[N-]C#N,1-butylpyridinium dicyanamide,AATgdC,CC1COC(=O)O1,propylene carbonate,,,
mPzyf,0.3005,343.15,101,1104,Zhang et al. (2018h),Density,Liquid,AAmufZ,CCCC[n+]1ccccc1.N#C[N-]C#N,1-butylpyridinium dicyanamide,AATgdC,CC1COC(=O)O1,propylene carbonate,,,
mPzyf,0.3005,348.15,101,1100,Zhang et al. (2018h),Density,Liquid,AAmufZ,CCCC[n+]1ccccc1.N#C[N-]C#N,1-butylpyridinium dicyanamide,AATgdC,CC1COC(=O)O1,propylene carbonate,,,
mPzyf,0.3005,353.15,101,1096,Zhang et al. (2018h),Density,Liquid,AAmufZ,CCCC[n+]1ccccc1.N#C[N-]C#N,1-butylpyridinium dicyanamide,AATgdC,CC1COC(=O)O1,propylene carbonate,,,
mPzyf,0.4003,288.15,101,1133,Zhang et al. (2018h),Density,Liquid,AAmufZ,CCCC[n+]1ccccc1.N#C[N-]C#N,1-butylpyridinium dicyanamide,AATgdC,CC1COC(=O)O1,propylene carbonate,,,
mPzyf,0.4003,293.15,101,1129,Zhang et al. (2018h),Density,Liquid,AAmufZ,CCCC[n+]1ccccc1.N#C[N-]C#N,1-butylpyridinium dicyanamide,AATgdC,CC1COC(=O)O1,propylene carbonate,,,
mPzyf,0.4003,298.15,101,1126,Zhang et al. (2018h),Density,Liquid,AAmufZ,CCCC[n+]1ccccc1.N#C[N-]C#N,1-butylpyridinium dicyanamide,AATgdC,CC1COC(=O)O1,propylene carbonate,,,
mPzyf,0.4003,303.15,101,1122,Zhang et al. (2018h),Density,Liquid,AAmufZ,CCCC[n+]1ccccc1.N#C[N-]C#N,1-butylpyridinium dicyanamide,AATgdC,CC1COC(=O)O1,propylene carbonate,,,
mPzyf,0.4003,308.15,101,1118,Zhang et al. (2018h),Density,Liquid,AAmufZ,CCCC[n+]1ccccc1.N#C[N-]C#N,1-butylpyridinium dicyanamide,AATgdC,CC1COC(=O)O1,propylene carbonate,,,
mPzyf,0.4003,313.15,101,1114,Zhang et al. (2018h),Density,Liquid,AAmufZ,CCCC[n+]1ccccc1.N#C[N-]C#N,1-butylpyridinium dicyanamide,AATgdC,CC1COC(=O)O1,propylene carbonate,,,
