setid,Mole fraction of cyclohexene,Mole fraction of toluene,"Pressure, kPa","Temperature, K","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
JAVNH,0,0.328,101,298.15,1153.4,Dominguez et al. (2011a),Density,Liquid,AARlpN,Cc1ccccc1,toluene,AAPpAQ,C1=CCCCC1,cyclohexene,AAwHNg,CCCC[n+]1ccn(C)c1.COS(=O)(=O)[O-],1-butyl-3-methylimidazolium methyl sulfate
JAVNH,0.007,0.292,101,298.15,1160,Dominguez et al. (2011a),Density,Liquid,AARlpN,Cc1ccccc1,toluene,AAPpAQ,C1=CCCCC1,cyclohexene,AAwHNg,CCCC[n+]1ccn(C)c1.COS(=O)(=O)[O-],1-butyl-3-methylimidazolium methyl sulfate
JAVNH,0.011,0.272,101,298.15,1163,Dominguez et al. (2011a),Density,Liquid,AARlpN,Cc1ccccc1,toluene,AAPpAQ,C1=CCCCC1,cyclohexene,AAwHNg,CCCC[n+]1ccn(C)c1.COS(=O)(=O)[O-],1-butyl-3-methylimidazolium methyl sulfate
JAVNH,0.019,0.239,101,298.15,1167.8,Dominguez et al. (2011a),Density,Liquid,AARlpN,Cc1ccccc1,toluene,AAPpAQ,C1=CCCCC1,cyclohexene,AAwHNg,CCCC[n+]1ccn(C)c1.COS(=O)(=O)[O-],1-butyl-3-methylimidazolium methyl sulfate
JAVNH,0.033,0.171,101,298.15,1179.9,Dominguez et al. (2011a),Density,Liquid,AARlpN,Cc1ccccc1,toluene,AAPpAQ,C1=CCCCC1,cyclohexene,AAwHNg,CCCC[n+]1ccn(C)c1.COS(=O)(=O)[O-],1-butyl-3-methylimidazolium methyl sulfate
JAVNH,0.035,0.188,101,298.15,1175.5,Dominguez et al. (2011a),Density,Liquid,AARlpN,Cc1ccccc1,toluene,AAPpAQ,C1=CCCCC1,cyclohexene,AAwHNg,CCCC[n+]1ccn(C)c1.COS(=O)(=O)[O-],1-butyl-3-methylimidazolium methyl sulfate
JAVNH,0.042,0.137,101,298.15,1183.8,Dominguez et al. (2011a),Density,Liquid,AARlpN,Cc1ccccc1,toluene,AAPpAQ,C1=CCCCC1,cyclohexene,AAwHNg,CCCC[n+]1ccn(C)c1.COS(=O)(=O)[O-],1-butyl-3-methylimidazolium methyl sulfate
JAVNH,0.053,0.093,101,298.15,1191.2,Dominguez et al. (2011a),Density,Liquid,AARlpN,Cc1ccccc1,toluene,AAPpAQ,C1=CCCCC1,cyclohexene,AAwHNg,CCCC[n+]1ccn(C)c1.COS(=O)(=O)[O-],1-butyl-3-methylimidazolium methyl sulfate
JAVNH,0.055,0.05,101,298.15,1196.5,Dominguez et al. (2011a),Density,Liquid,AARlpN,Cc1ccccc1,toluene,AAPpAQ,C1=CCCCC1,cyclohexene,AAwHNg,CCCC[n+]1ccn(C)c1.COS(=O)(=O)[O-],1-butyl-3-methylimidazolium methyl sulfate
JAVNH,0.055,0.076,101,298.15,1192.3,Dominguez et al. (2011a),Density,Liquid,AARlpN,Cc1ccccc1,toluene,AAPpAQ,C1=CCCCC1,cyclohexene,AAwHNg,CCCC[n+]1ccn(C)c1.COS(=O)(=O)[O-],1-butyl-3-methylimidazolium methyl sulfate
JAVNH,0.071,0,101,298.15,1201.8,Dominguez et al. (2011a),Density,Liquid,AARlpN,Cc1ccccc1,toluene,AAPpAQ,C1=CCCCC1,cyclohexene,AAwHNg,CCCC[n+]1ccn(C)c1.COS(=O)(=O)[O-],1-butyl-3-methylimidazolium methyl sulfate
