setid,"Pressure, kPa","Temperature, K","MolaLity of N,N,N-trimethyl-1-decanaminium bromide, mol/kg","Specific density<SUP>*</SUP>, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
rbkgW,2000,298.15,0.010258,0.24,De Giacomo et al. (1999),Density,Liquid,ABBuyO,CCCCCCCCCC[N+](C)(C)C.[Br-],"N,N,N-trimethyl-1-decanaminium bromide",AADYJk,O,water,,,
rbkgW,2000,298.15,0.020399,0.48,De Giacomo et al. (1999),Density,Liquid,ABBuyO,CCCCCCCCCC[N+](C)(C)C.[Br-],"N,N,N-trimethyl-1-decanaminium bromide",AADYJk,O,water,,,
rbkgW,2000,298.15,0.039817,0.93,De Giacomo et al. (1999),Density,Liquid,ABBuyO,CCCCCCCCCC[N+](C)(C)C.[Br-],"N,N,N-trimethyl-1-decanaminium bromide",AADYJk,O,water,,,
rbkgW,2000,298.15,0.051222,1.2,De Giacomo et al. (1999),Density,Liquid,ABBuyO,CCCCCCCCCC[N+](C)(C)C.[Br-],"N,N,N-trimethyl-1-decanaminium bromide",AADYJk,O,water,,,
rbkgW,2000,298.15,0.061093,1.4,De Giacomo et al. (1999),Density,Liquid,ABBuyO,CCCCCCCCCC[N+](C)(C)C.[Br-],"N,N,N-trimethyl-1-decanaminium bromide",AADYJk,O,water,,,
rbkgW,2000,298.15,0.078318,1.8,De Giacomo et al. (1999),Density,Liquid,ABBuyO,CCCCCCCCCC[N+](C)(C)C.[Br-],"N,N,N-trimethyl-1-decanaminium bromide",AADYJk,O,water,,,
rbkgW,2000,298.15,0.10419,2.2,De Giacomo et al. (1999),Density,Liquid,ABBuyO,CCCCCCCCCC[N+](C)(C)C.[Br-],"N,N,N-trimethyl-1-decanaminium bromide",AADYJk,O,water,,,
rbkgW,2000,298.15,0.12286,2.6,De Giacomo et al. (1999),Density,Liquid,ABBuyO,CCCCCCCCCC[N+](C)(C)C.[Br-],"N,N,N-trimethyl-1-decanaminium bromide",AADYJk,O,water,,,
rbkgW,2000,298.15,0.1388,2.9,De Giacomo et al. (1999),Density,Liquid,ABBuyO,CCCCCCCCCC[N+](C)(C)C.[Br-],"N,N,N-trimethyl-1-decanaminium bromide",AADYJk,O,water,,,
rbkgW,2000,298.15,0.17906,3.5,De Giacomo et al. (1999),Density,Liquid,ABBuyO,CCCCCCCCCC[N+](C)(C)C.[Br-],"N,N,N-trimethyl-1-decanaminium bromide",AADYJk,O,water,,,
