setid,"Temperature, K","MolaLity of 1,3-dimethylimidazolium chloride, mol/kg","Pressure, kPa","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
QZmgT,278.15,0.00479,100,1000.1,Tomas et al. (2018),Density,Liquid,AAZZTL,Cn1cc[n+](C)c1.[Cl-],"1,3-dimethylimidazolium chloride",AADYJk,O,water,,,
QZmgT,278.15,0.01126,100,1000.2,Tomas et al. (2018),Density,Liquid,AAZZTL,Cn1cc[n+](C)c1.[Cl-],"1,3-dimethylimidazolium chloride",AADYJk,O,water,,,
QZmgT,278.15,0.01948,100,1000.4,Tomas et al. (2018),Density,Liquid,AAZZTL,Cn1cc[n+](C)c1.[Cl-],"1,3-dimethylimidazolium chloride",AADYJk,O,water,,,
QZmgT,278.15,0.02981,100,1000.6,Tomas et al. (2018),Density,Liquid,AAZZTL,Cn1cc[n+](C)c1.[Cl-],"1,3-dimethylimidazolium chloride",AADYJk,O,water,,,
QZmgT,278.15,0.04013,100,1000.9,Tomas et al. (2018),Density,Liquid,AAZZTL,Cn1cc[n+](C)c1.[Cl-],"1,3-dimethylimidazolium chloride",AADYJk,O,water,,,
QZmgT,278.15,0.04958,100,1001.1,Tomas et al. (2018),Density,Liquid,AAZZTL,Cn1cc[n+](C)c1.[Cl-],"1,3-dimethylimidazolium chloride",AADYJk,O,water,,,
QZmgT,278.15,0.05904,100,1001.3,Tomas et al. (2018),Density,Liquid,AAZZTL,Cn1cc[n+](C)c1.[Cl-],"1,3-dimethylimidazolium chloride",AADYJk,O,water,,,
QZmgT,278.15,0.07496,100,1001.6,Tomas et al. (2018),Density,Liquid,AAZZTL,Cn1cc[n+](C)c1.[Cl-],"1,3-dimethylimidazolium chloride",AADYJk,O,water,,,
QZmgT,278.15,0.09549,100,1002.1,Tomas et al. (2018),Density,Liquid,AAZZTL,Cn1cc[n+](C)c1.[Cl-],"1,3-dimethylimidazolium chloride",AADYJk,O,water,,,
QZmgT,283.15,0.00479,100,999.8,Tomas et al. (2018),Density,Liquid,AAZZTL,Cn1cc[n+](C)c1.[Cl-],"1,3-dimethylimidazolium chloride",AADYJk,O,water,,,
