setid,"Temperature, K","MolaLity of 1-hexyl-3-methylimidazolium chloride, mol/kg","Pressure, kPa","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
asIVX,278.15,0.00546,101.3,1123.6,Toma et al. (2022),Density,Liquid,AAmzKp,CCCCCC[n+]1ccn(C)c1.[Cl-],1-hexyl-3-methylimidazolium chloride,AALwIY,OCCO,"1,2-ethanediol",,,
asIVX,278.15,0.01156,101.3,1123.3,Toma et al. (2022),Density,Liquid,AAmzKp,CCCCCC[n+]1ccn(C)c1.[Cl-],1-hexyl-3-methylimidazolium chloride,AALwIY,OCCO,"1,2-ethanediol",,,
asIVX,278.15,0.02108,101.3,1122.8,Toma et al. (2022),Density,Liquid,AAmzKp,CCCCCC[n+]1ccn(C)c1.[Cl-],1-hexyl-3-methylimidazolium chloride,AALwIY,OCCO,"1,2-ethanediol",,,
asIVX,278.15,0.03149,101.3,1122.3,Toma et al. (2022),Density,Liquid,AAmzKp,CCCCCC[n+]1ccn(C)c1.[Cl-],1-hexyl-3-methylimidazolium chloride,AALwIY,OCCO,"1,2-ethanediol",,,
asIVX,278.15,0.04061,101.3,1121.9,Toma et al. (2022),Density,Liquid,AAmzKp,CCCCCC[n+]1ccn(C)c1.[Cl-],1-hexyl-3-methylimidazolium chloride,AALwIY,OCCO,"1,2-ethanediol",,,
asIVX,278.15,0.05003,101.3,1121.4,Toma et al. (2022),Density,Liquid,AAmzKp,CCCCCC[n+]1ccn(C)c1.[Cl-],1-hexyl-3-methylimidazolium chloride,AALwIY,OCCO,"1,2-ethanediol",,,
asIVX,278.15,0.05685,101.3,1121.1,Toma et al. (2022),Density,Liquid,AAmzKp,CCCCCC[n+]1ccn(C)c1.[Cl-],1-hexyl-3-methylimidazolium chloride,AALwIY,OCCO,"1,2-ethanediol",,,
asIVX,278.15,0.07686,101.3,1120.1,Toma et al. (2022),Density,Liquid,AAmzKp,CCCCCC[n+]1ccn(C)c1.[Cl-],1-hexyl-3-methylimidazolium chloride,AALwIY,OCCO,"1,2-ethanediol",,,
asIVX,278.15,0.09995,101.3,1119.1,Toma et al. (2022),Density,Liquid,AAmzKp,CCCCCC[n+]1ccn(C)c1.[Cl-],1-hexyl-3-methylimidazolium chloride,AALwIY,OCCO,"1,2-ethanediol",,,
asIVX,283.15,0.00546,101.3,1120.2,Toma et al. (2022),Density,Liquid,AAmzKp,CCCCCC[n+]1ccn(C)c1.[Cl-],1-hexyl-3-methylimidazolium chloride,AALwIY,OCCO,"1,2-ethanediol",,,
