setid,"Temperature, K",Mole fraction of tetrabutylammonium picrate,"Pressure, kPa","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
vwaLB,298.15,0,101,803.76,Sonawane and Kumar (2004),Density,Liquid,AAONVE,CCCCO,butan-1-ol,ABmZtW,CCCC[N+](CCCC)(CCCC)CCCC.C1=C(C=C(C(=C1[N+](=O)[O-])[O-])[N+](=O)[O-])[N+](=O)[O-],tetrabutylammonium picrate,,,
vwaLB,298.15,0.1041,101,808.12,Sonawane and Kumar (2004),Density,Liquid,AAONVE,CCCCO,butan-1-ol,ABmZtW,CCCC[N+](CCCC)(CCCC)CCCC.C1=C(C=C(C(=C1[N+](=O)[O-])[O-])[N+](=O)[O-])[N+](=O)[O-],tetrabutylammonium picrate,,,
vwaLB,298.15,0.2043,101,809.35,Sonawane and Kumar (2004),Density,Liquid,AAONVE,CCCCO,butan-1-ol,ABmZtW,CCCC[N+](CCCC)(CCCC)CCCC.C1=C(C=C(C(=C1[N+](=O)[O-])[O-])[N+](=O)[O-])[N+](=O)[O-],tetrabutylammonium picrate,,,
vwaLB,298.15,0.3121,101,808.73,Sonawane and Kumar (2004),Density,Liquid,AAONVE,CCCCO,butan-1-ol,ABmZtW,CCCC[N+](CCCC)(CCCC)CCCC.C1=C(C=C(C(=C1[N+](=O)[O-])[O-])[N+](=O)[O-])[N+](=O)[O-],tetrabutylammonium picrate,,,
vwaLB,313.15,0,101,795.23,Sonawane and Kumar (2004),Density,Liquid,AAONVE,CCCCO,butan-1-ol,ABmZtW,CCCC[N+](CCCC)(CCCC)CCCC.C1=C(C=C(C(=C1[N+](=O)[O-])[O-])[N+](=O)[O-])[N+](=O)[O-],tetrabutylammonium picrate,,,
vwaLB,313.15,0.0835,101,798.3,Sonawane and Kumar (2004),Density,Liquid,AAONVE,CCCCO,butan-1-ol,ABmZtW,CCCC[N+](CCCC)(CCCC)CCCC.C1=C(C=C(C(=C1[N+](=O)[O-])[O-])[N+](=O)[O-])[N+](=O)[O-],tetrabutylammonium picrate,,,
vwaLB,313.15,0.1635,101,799.53,Sonawane and Kumar (2004),Density,Liquid,AAONVE,CCCCO,butan-1-ol,ABmZtW,CCCC[N+](CCCC)(CCCC)CCCC.C1=C(C=C(C(=C1[N+](=O)[O-])[O-])[N+](=O)[O-])[N+](=O)[O-],tetrabutylammonium picrate,,,
vwaLB,313.15,0.2538,101,799.22,Sonawane and Kumar (2004),Density,Liquid,AAONVE,CCCCO,butan-1-ol,ABmZtW,CCCC[N+](CCCC)(CCCC)CCCC.C1=C(C=C(C(=C1[N+](=O)[O-])[O-])[N+](=O)[O-])[N+](=O)[O-],tetrabutylammonium picrate,,,
vwaLB,323.15,0,101,787.54,Sonawane and Kumar (2004),Density,Liquid,AAONVE,CCCCO,butan-1-ol,ABmZtW,CCCC[N+](CCCC)(CCCC)CCCC.C1=C(C=C(C(=C1[N+](=O)[O-])[O-])[N+](=O)[O-])[N+](=O)[O-],tetrabutylammonium picrate,,,
vwaLB,323.15,0.0522,101,789.68,Sonawane and Kumar (2004),Density,Liquid,AAONVE,CCCCO,butan-1-ol,ABmZtW,CCCC[N+](CCCC)(CCCC)CCCC.C1=C(C=C(C(=C1[N+](=O)[O-])[O-])[N+](=O)[O-])[N+](=O)[O-],tetrabutylammonium picrate,,,
