setid,"Temperature, K",Mole fraction of n-butylammonium nitrate,"Pressure, kPa","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
fSzxG,293.15,0,101,809.76,Xu et al. (2013a),Density,Liquid,AAONVE,CCCCO,butan-1-ol,AAaJgU,CCCC[NH3+].O=[N+]([O-])[O-],n-butylammonium nitrate,,,
fSzxG,293.15,0.1004,101,851.35,Xu et al. (2013a),Density,Liquid,AAONVE,CCCCO,butan-1-ol,AAaJgU,CCCC[NH3+].O=[N+]([O-])[O-],n-butylammonium nitrate,,,
fSzxG,293.15,0.1999,101,888.16,Xu et al. (2013a),Density,Liquid,AAONVE,CCCCO,butan-1-ol,AAaJgU,CCCC[NH3+].O=[N+]([O-])[O-],n-butylammonium nitrate,,,
fSzxG,293.15,0.2993,101,922.05,Xu et al. (2013a),Density,Liquid,AAONVE,CCCCO,butan-1-ol,AAaJgU,CCCC[NH3+].O=[N+]([O-])[O-],n-butylammonium nitrate,,,
fSzxG,293.15,0.3992,101,953.58,Xu et al. (2013a),Density,Liquid,AAONVE,CCCCO,butan-1-ol,AAaJgU,CCCC[NH3+].O=[N+]([O-])[O-],n-butylammonium nitrate,,,
fSzxG,293.15,0.4955,101,982.1,Xu et al. (2013a),Density,Liquid,AAONVE,CCCCO,butan-1-ol,AAaJgU,CCCC[NH3+].O=[N+]([O-])[O-],n-butylammonium nitrate,,,
fSzxG,293.15,0.6508,101,1024.4,Xu et al. (2013a),Density,Liquid,AAONVE,CCCCO,butan-1-ol,AAaJgU,CCCC[NH3+].O=[N+]([O-])[O-],n-butylammonium nitrate,,,
fSzxG,293.15,0.801,101,1061.1,Xu et al. (2013a),Density,Liquid,AAONVE,CCCCO,butan-1-ol,AAaJgU,CCCC[NH3+].O=[N+]([O-])[O-],n-butylammonium nitrate,,,
fSzxG,293.15,0.8998,101,1083.7,Xu et al. (2013a),Density,Liquid,AAONVE,CCCCO,butan-1-ol,AAaJgU,CCCC[NH3+].O=[N+]([O-])[O-],n-butylammonium nitrate,,,
fSzxG,293.15,1,101,1104.7,Xu et al. (2013a),Density,Liquid,AAONVE,CCCCO,butan-1-ol,AAaJgU,CCCC[NH3+].O=[N+]([O-])[O-],n-butylammonium nitrate,,,
fSzxG,298.15,0,101,805.94,Xu et al. (2013a),Density,Liquid,AAONVE,CCCCO,butan-1-ol,AAaJgU,CCCC[NH3+].O=[N+]([O-])[O-],n-butylammonium nitrate,,,
fSzxG,298.15,0.1004,101,847.7,Xu et al. (2013a),Density,Liquid,AAONVE,CCCCO,butan-1-ol,AAaJgU,CCCC[NH3+].O=[N+]([O-])[O-],n-butylammonium nitrate,,,
fSzxG,298.15,0.1999,101,884.59,Xu et al. (2013a),Density,Liquid,AAONVE,CCCCO,butan-1-ol,AAaJgU,CCCC[NH3+].O=[N+]([O-])[O-],n-butylammonium nitrate,,,
fSzxG,298.15,0.2993,101,918.6,Xu et al. (2013a),Density,Liquid,AAONVE,CCCCO,butan-1-ol,AAaJgU,CCCC[NH3+].O=[N+]([O-])[O-],n-butylammonium nitrate,,,
fSzxG,298.15,0.3992,101,950.14,Xu et al. (2013a),Density,Liquid,AAONVE,CCCCO,butan-1-ol,AAaJgU,CCCC[NH3+].O=[N+]([O-])[O-],n-butylammonium nitrate,,,
fSzxG,298.15,0.4955,101,978.7,Xu et al. (2013a),Density,Liquid,AAONVE,CCCCO,butan-1-ol,AAaJgU,CCCC[NH3+].O=[N+]([O-])[O-],n-butylammonium nitrate,,,
fSzxG,298.15,0.6508,101,1021.1,Xu et al. (2013a),Density,Liquid,AAONVE,CCCCO,butan-1-ol,AAaJgU,CCCC[NH3+].O=[N+]([O-])[O-],n-butylammonium nitrate,,,
fSzxG,298.15,0.801,101,1057.9,Xu et al. (2013a),Density,Liquid,AAONVE,CCCCO,butan-1-ol,AAaJgU,CCCC[NH3+].O=[N+]([O-])[O-],n-butylammonium nitrate,,,
fSzxG,298.15,0.8998,101,1080.5,Xu et al. (2013a),Density,Liquid,AAONVE,CCCCO,butan-1-ol,AAaJgU,CCCC[NH3+].O=[N+]([O-])[O-],n-butylammonium nitrate,,,
