setid,"Temperature, K",Solvent: Weight fraction of (+)-galactose,"MolaLity of 1-butyl-3-methylimidazolium tetrafluoroborate, mol/kg","Pressure, kPa","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
Ovkwl,293.15,0.05,0,83,1018.1,Frouzesh and Rafiee (2021),Density,Liquid,AArYBF,CCCC[n+]1ccn(C)c1.F[B-](F)(F)F,1-butyl-3-methylimidazolium tetrafluoroborate,AAihzw,O=C[C@H](O)[C@@H](O)[C@@H](O)[C@H](O)CO,(+)-galactose,AADYJk,O,water
Ovkwl,293.15,0.05,0.051,83,1020.2,Frouzesh and Rafiee (2021),Density,Liquid,AArYBF,CCCC[n+]1ccn(C)c1.F[B-](F)(F)F,1-butyl-3-methylimidazolium tetrafluoroborate,AAihzw,O=C[C@H](O)[C@@H](O)[C@@H](O)[C@H](O)CO,(+)-galactose,AADYJk,O,water
Ovkwl,293.15,0.05,0.1,83,1022.1,Frouzesh and Rafiee (2021),Density,Liquid,AArYBF,CCCC[n+]1ccn(C)c1.F[B-](F)(F)F,1-butyl-3-methylimidazolium tetrafluoroborate,AAihzw,O=C[C@H](O)[C@@H](O)[C@@H](O)[C@H](O)CO,(+)-galactose,AADYJk,O,water
Ovkwl,293.15,0.05,0.154,83,1024.1,Frouzesh and Rafiee (2021),Density,Liquid,AArYBF,CCCC[n+]1ccn(C)c1.F[B-](F)(F)F,1-butyl-3-methylimidazolium tetrafluoroborate,AAihzw,O=C[C@H](O)[C@@H](O)[C@@H](O)[C@H](O)CO,(+)-galactose,AADYJk,O,water
Ovkwl,293.15,0.05,0.2009,83,1025.9,Frouzesh and Rafiee (2021),Density,Liquid,AArYBF,CCCC[n+]1ccn(C)c1.F[B-](F)(F)F,1-butyl-3-methylimidazolium tetrafluoroborate,AAihzw,O=C[C@H](O)[C@@H](O)[C@@H](O)[C@H](O)CO,(+)-galactose,AADYJk,O,water
Ovkwl,293.15,0.05,0.2502,83,1027.6,Frouzesh and Rafiee (2021),Density,Liquid,AArYBF,CCCC[n+]1ccn(C)c1.F[B-](F)(F)F,1-butyl-3-methylimidazolium tetrafluoroborate,AAihzw,O=C[C@H](O)[C@@H](O)[C@@H](O)[C@H](O)CO,(+)-galactose,AADYJk,O,water
Ovkwl,293.15,0.05,0.3063,83,1029.6,Frouzesh and Rafiee (2021),Density,Liquid,AArYBF,CCCC[n+]1ccn(C)c1.F[B-](F)(F)F,1-butyl-3-methylimidazolium tetrafluoroborate,AAihzw,O=C[C@H](O)[C@@H](O)[C@@H](O)[C@H](O)CO,(+)-galactose,AADYJk,O,water
Ovkwl,293.15,0.05,0.355,83,1031.2,Frouzesh and Rafiee (2021),Density,Liquid,AArYBF,CCCC[n+]1ccn(C)c1.F[B-](F)(F)F,1-butyl-3-methylimidazolium tetrafluoroborate,AAihzw,O=C[C@H](O)[C@@H](O)[C@@H](O)[C@H](O)CO,(+)-galactose,AADYJk,O,water
Ovkwl,293.15,0.05,0.408,83,1033,Frouzesh and Rafiee (2021),Density,Liquid,AArYBF,CCCC[n+]1ccn(C)c1.F[B-](F)(F)F,1-butyl-3-methylimidazolium tetrafluoroborate,AAihzw,O=C[C@H](O)[C@@H](O)[C@@H](O)[C@H](O)CO,(+)-galactose,AADYJk,O,water
Ovkwl,293.15,0.05,0.455,83,1034.5,Frouzesh and Rafiee (2021),Density,Liquid,AArYBF,CCCC[n+]1ccn(C)c1.F[B-](F)(F)F,1-butyl-3-methylimidazolium tetrafluoroborate,AAihzw,O=C[C@H](O)[C@@H](O)[C@@H](O)[C@H](O)CO,(+)-galactose,AADYJk,O,water
