setid,"Temperature, K",Mole fraction of 1-ethyl-3-methylimidazolium hydrogen sulfate,"Pressure, kPa",Solvent: Mole ratio of acetic acid to other component of binary solvent,"Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
TfwkE,293.15,0,100,2,1096.4,Christabel et al. (2020),Density,Liquid,AAasxG,C[N+](C)(C)CCO.[Cl-],choline chloride,AALcAl,CC(=O)O,acetic acid,AAoChY,CC[n+]1ccn(C)c1.O=S(=O)([O-])O,1-ethyl-3-methylimidazolium hydrogen sulfate
TfwkE,293.15,0.1,100,2,1137.3,Christabel et al. (2020),Density,Liquid,AAasxG,C[N+](C)(C)CCO.[Cl-],choline chloride,AALcAl,CC(=O)O,acetic acid,AAoChY,CC[n+]1ccn(C)c1.O=S(=O)([O-])O,1-ethyl-3-methylimidazolium hydrogen sulfate
TfwkE,293.15,0.2,100,2,1159.5,Christabel et al. (2020),Density,Liquid,AAasxG,C[N+](C)(C)CCO.[Cl-],choline chloride,AALcAl,CC(=O)O,acetic acid,AAoChY,CC[n+]1ccn(C)c1.O=S(=O)([O-])O,1-ethyl-3-methylimidazolium hydrogen sulfate
TfwkE,293.15,0.3,100,2,1180.7,Christabel et al. (2020),Density,Liquid,AAasxG,C[N+](C)(C)CCO.[Cl-],choline chloride,AALcAl,CC(=O)O,acetic acid,AAoChY,CC[n+]1ccn(C)c1.O=S(=O)([O-])O,1-ethyl-3-methylimidazolium hydrogen sulfate
TfwkE,293.15,0.4,100,2,1212.7,Christabel et al. (2020),Density,Liquid,AAasxG,C[N+](C)(C)CCO.[Cl-],choline chloride,AALcAl,CC(=O)O,acetic acid,AAoChY,CC[n+]1ccn(C)c1.O=S(=O)([O-])O,1-ethyl-3-methylimidazolium hydrogen sulfate
TfwkE,293.15,0.5,100,2,1236.8,Christabel et al. (2020),Density,Liquid,AAasxG,C[N+](C)(C)CCO.[Cl-],choline chloride,AALcAl,CC(=O)O,acetic acid,AAoChY,CC[n+]1ccn(C)c1.O=S(=O)([O-])O,1-ethyl-3-methylimidazolium hydrogen sulfate
TfwkE,293.15,0.6,100,2,1259.9,Christabel et al. (2020),Density,Liquid,AAasxG,C[N+](C)(C)CCO.[Cl-],choline chloride,AALcAl,CC(=O)O,acetic acid,AAoChY,CC[n+]1ccn(C)c1.O=S(=O)([O-])O,1-ethyl-3-methylimidazolium hydrogen sulfate
TfwkE,293.15,0.7,100,2,1289,Christabel et al. (2020),Density,Liquid,AAasxG,C[N+](C)(C)CCO.[Cl-],choline chloride,AALcAl,CC(=O)O,acetic acid,AAoChY,CC[n+]1ccn(C)c1.O=S(=O)([O-])O,1-ethyl-3-methylimidazolium hydrogen sulfate
TfwkE,293.15,0.8,100,2,1310.1,Christabel et al. (2020),Density,Liquid,AAasxG,C[N+](C)(C)CCO.[Cl-],choline chloride,AALcAl,CC(=O)O,acetic acid,AAoChY,CC[n+]1ccn(C)c1.O=S(=O)([O-])O,1-ethyl-3-methylimidazolium hydrogen sulfate
TfwkE,293.15,0.9,100,2,1335.1,Christabel et al. (2020),Density,Liquid,AAasxG,C[N+](C)(C)CCO.[Cl-],choline chloride,AALcAl,CC(=O)O,acetic acid,AAoChY,CC[n+]1ccn(C)c1.O=S(=O)([O-])O,1-ethyl-3-methylimidazolium hydrogen sulfate
TfwkE,293.15,1,100,2,1369.1,Christabel et al. (2020),Density,Liquid,AAasxG,C[N+](C)(C)CCO.[Cl-],choline chloride,AALcAl,CC(=O)O,acetic acid,AAoChY,CC[n+]1ccn(C)c1.O=S(=O)([O-])O,1-ethyl-3-methylimidazolium hydrogen sulfate
TfwkE,298.15,0,100,2,1092.5,Christabel et al. (2020),Density,Liquid,AAasxG,C[N+](C)(C)CCO.[Cl-],choline chloride,AALcAl,CC(=O)O,acetic acid,AAoChY,CC[n+]1ccn(C)c1.O=S(=O)([O-])O,1-ethyl-3-methylimidazolium hydrogen sulfate
TfwkE,298.15,0.1,100,2,1133.5,Christabel et al. (2020),Density,Liquid,AAasxG,C[N+](C)(C)CCO.[Cl-],choline chloride,AALcAl,CC(=O)O,acetic acid,AAoChY,CC[n+]1ccn(C)c1.O=S(=O)([O-])O,1-ethyl-3-methylimidazolium hydrogen sulfate
TfwkE,298.15,0.2,100,2,1155.8,Christabel et al. (2020),Density,Liquid,AAasxG,C[N+](C)(C)CCO.[Cl-],choline chloride,AALcAl,CC(=O)O,acetic acid,AAoChY,CC[n+]1ccn(C)c1.O=S(=O)([O-])O,1-ethyl-3-methylimidazolium hydrogen sulfate
