setid,Solvent: Weight fraction of lithium bromide,"Temperature, K","MolaLity of 1-ethyl-3-methylimidazolium chloride, mol/kg","Pressure, kPa","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
jTTVq,0,298.15,0.1031,101,998.29,Rafiee and Frouzesh (2015b),Density,Liquid,AAQklV,[Br-].[Li+],lithium bromide,AADYJk,O,water,AAcKZa,CC[n+]1ccn(C)c1.[Cl-],1-ethyl-3-methylimidazolium chloride
jTTVq,0,298.15,0.3601,101,1001.17,Rafiee and Frouzesh (2015b),Density,Liquid,AAQklV,[Br-].[Li+],lithium bromide,AADYJk,O,water,AAcKZa,CC[n+]1ccn(C)c1.[Cl-],1-ethyl-3-methylimidazolium chloride
jTTVq,0,298.15,0.54,101,1003.12,Rafiee and Frouzesh (2015b),Density,Liquid,AAQklV,[Br-].[Li+],lithium bromide,AADYJk,O,water,AAcKZa,CC[n+]1ccn(C)c1.[Cl-],1-ethyl-3-methylimidazolium chloride
jTTVq,0,298.15,0.732,101,1005.14,Rafiee and Frouzesh (2015b),Density,Liquid,AAQklV,[Br-].[Li+],lithium bromide,AADYJk,O,water,AAcKZa,CC[n+]1ccn(C)c1.[Cl-],1-ethyl-3-methylimidazolium chloride
jTTVq,0,298.15,0.922,101,1007.06,Rafiee and Frouzesh (2015b),Density,Liquid,AAQklV,[Br-].[Li+],lithium bromide,AADYJk,O,water,AAcKZa,CC[n+]1ccn(C)c1.[Cl-],1-ethyl-3-methylimidazolium chloride
jTTVq,0,298.15,1.0244,101,1008.08,Rafiee and Frouzesh (2015b),Density,Liquid,AAQklV,[Br-].[Li+],lithium bromide,AADYJk,O,water,AAcKZa,CC[n+]1ccn(C)c1.[Cl-],1-ethyl-3-methylimidazolium chloride
jTTVq,0,298.15,1.2087,101,1009.85,Rafiee and Frouzesh (2015b),Density,Liquid,AAQklV,[Br-].[Li+],lithium bromide,AADYJk,O,water,AAcKZa,CC[n+]1ccn(C)c1.[Cl-],1-ethyl-3-methylimidazolium chloride
jTTVq,0,298.15,1.3605,101,1011.27,Rafiee and Frouzesh (2015b),Density,Liquid,AAQklV,[Br-].[Li+],lithium bromide,AADYJk,O,water,AAcKZa,CC[n+]1ccn(C)c1.[Cl-],1-ethyl-3-methylimidazolium chloride
jTTVq,0,303.15,0.1031,101,996.88,Rafiee and Frouzesh (2015b),Density,Liquid,AAQklV,[Br-].[Li+],lithium bromide,AADYJk,O,water,AAcKZa,CC[n+]1ccn(C)c1.[Cl-],1-ethyl-3-methylimidazolium chloride
jTTVq,0,303.15,0.3601,101,999.71,Rafiee and Frouzesh (2015b),Density,Liquid,AAQklV,[Br-].[Li+],lithium bromide,AADYJk,O,water,AAcKZa,CC[n+]1ccn(C)c1.[Cl-],1-ethyl-3-methylimidazolium chloride
