setid,"MolaLity of DL-2-aminopropanoic acid, mol/kg","Pressure, kPa","Temperature, K","Solvent: MolaRity of dodecyltrimethylammonium bromide, mol/dm3","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
vaXsR,0,101,298.15,0.1,998.599,Talele and Kishore (2014),Density,Liquid,AARGzi,CC(N)C(=O)O,DL-2-aminopropanoic acid,ABHPBX,CCCCCCCCCCCC[N+](C)(C)C.[Br-],dodecyltrimethylammonium bromide,AADYJk,O,water
vaXsR,0.05149,101,298.15,0.1,1000.06,Talele and Kishore (2014),Density,Liquid,AARGzi,CC(N)C(=O)O,DL-2-aminopropanoic acid,ABHPBX,CCCCCCCCCCCC[N+](C)(C)C.[Br-],dodecyltrimethylammonium bromide,AADYJk,O,water
vaXsR,0.102639,101,298.15,0.1,1001.53,Talele and Kishore (2014),Density,Liquid,AARGzi,CC(N)C(=O)O,DL-2-aminopropanoic acid,ABHPBX,CCCCCCCCCCCC[N+](C)(C)C.[Br-],dodecyltrimethylammonium bromide,AADYJk,O,water
vaXsR,0.148375,101,298.15,0.1,1002.82,Talele and Kishore (2014),Density,Liquid,AARGzi,CC(N)C(=O)O,DL-2-aminopropanoic acid,ABHPBX,CCCCCCCCCCCC[N+](C)(C)C.[Br-],dodecyltrimethylammonium bromide,AADYJk,O,water
vaXsR,0.188264,101,298.15,0.1,1003.91,Talele and Kishore (2014),Density,Liquid,AARGzi,CC(N)C(=O)O,DL-2-aminopropanoic acid,ABHPBX,CCCCCCCCCCCC[N+](C)(C)C.[Br-],dodecyltrimethylammonium bromide,AADYJk,O,water
vaXsR,0.238364,101,298.15,0.1,1005.36,Talele and Kishore (2014),Density,Liquid,AARGzi,CC(N)C(=O)O,DL-2-aminopropanoic acid,ABHPBX,CCCCCCCCCCCC[N+](C)(C)C.[Br-],dodecyltrimethylammonium bromide,AADYJk,O,water
vaXsR,0.266292,101,298.15,0.1,1006.09,Talele and Kishore (2014),Density,Liquid,AARGzi,CC(N)C(=O)O,DL-2-aminopropanoic acid,ABHPBX,CCCCCCCCCCCC[N+](C)(C)C.[Br-],dodecyltrimethylammonium bromide,AADYJk,O,water
vaXsR,0.331613,101,298.15,0.1,1007.88,Talele and Kishore (2014),Density,Liquid,AARGzi,CC(N)C(=O)O,DL-2-aminopropanoic acid,ABHPBX,CCCCCCCCCCCC[N+](C)(C)C.[Br-],dodecyltrimethylammonium bromide,AADYJk,O,water
vaXsR,0.384148,101,298.15,0.1,1009.3,Talele and Kishore (2014),Density,Liquid,AARGzi,CC(N)C(=O)O,DL-2-aminopropanoic acid,ABHPBX,CCCCCCCCCCCC[N+](C)(C)C.[Br-],dodecyltrimethylammonium bromide,AADYJk,O,water
