setid,"Temperature, K","Moles per mass of solution: tetrapropylammonium perchlorate, mol/kg","Pressure, kPa","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
eadTK,283.15,0,101,958.067,Placzek et al. (2006),Density,Liquid,AAOCWD,CN(C)C=O,dimethylformamide,ABCyFb,CCC[N+](CCC)(CCC)CCC.[O-]Cl(=O)(=O)=O,tetrapropylammonium perchlorate,,,
eadTK,283.15,0.01826,101,958.921,Placzek et al. (2006),Density,Liquid,AAOCWD,CN(C)C=O,dimethylformamide,ABCyFb,CCC[N+](CCC)(CCC)CCC.[O-]Cl(=O)(=O)=O,tetrapropylammonium perchlorate,,,
eadTK,283.15,0.02772,101,959.359,Placzek et al. (2006),Density,Liquid,AAOCWD,CN(C)C=O,dimethylformamide,ABCyFb,CCC[N+](CCC)(CCC)CCC.[O-]Cl(=O)(=O)=O,tetrapropylammonium perchlorate,,,
eadTK,283.15,0.03739,101,959.804,Placzek et al. (2006),Density,Liquid,AAOCWD,CN(C)C=O,dimethylformamide,ABCyFb,CCC[N+](CCC)(CCC)CCC.[O-]Cl(=O)(=O)=O,tetrapropylammonium perchlorate,,,
eadTK,283.15,0.05602,101,960.652,Placzek et al. (2006),Density,Liquid,AAOCWD,CN(C)C=O,dimethylformamide,ABCyFb,CCC[N+](CCC)(CCC)CCC.[O-]Cl(=O)(=O)=O,tetrapropylammonium perchlorate,,,
eadTK,283.15,0.07557,101,961.532,Placzek et al. (2006),Density,Liquid,AAOCWD,CN(C)C=O,dimethylformamide,ABCyFb,CCC[N+](CCC)(CCC)CCC.[O-]Cl(=O)(=O)=O,tetrapropylammonium perchlorate,,,
eadTK,283.15,0.105,101,962.853,Placzek et al. (2006),Density,Liquid,AAOCWD,CN(C)C=O,dimethylformamide,ABCyFb,CCC[N+](CCC)(CCC)CCC.[O-]Cl(=O)(=O)=O,tetrapropylammonium perchlorate,,,
eadTK,283.15,0.1323,101,964.068,Placzek et al. (2006),Density,Liquid,AAOCWD,CN(C)C=O,dimethylformamide,ABCyFb,CCC[N+](CCC)(CCC)CCC.[O-]Cl(=O)(=O)=O,tetrapropylammonium perchlorate,,,
eadTK,283.15,0.1595,101,965.279,Placzek et al. (2006),Density,Liquid,AAOCWD,CN(C)C=O,dimethylformamide,ABCyFb,CCC[N+](CCC)(CCC)CCC.[O-]Cl(=O)(=O)=O,tetrapropylammonium perchlorate,,,
eadTK,283.15,0.1889,101,966.57,Placzek et al. (2006),Density,Liquid,AAOCWD,CN(C)C=O,dimethylformamide,ABCyFb,CCC[N+](CCC)(CCC)CCC.[O-]Cl(=O)(=O)=O,tetrapropylammonium perchlorate,,,
