setid,"Temperature, K","Solvent: MolaLity of 1-butyl-3-methylimidazolium hexafluorophosphate, mol/kg","MolaLity of 2-aminoacetic acid, mol/kg","Pressure, kPa","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
VAkgV,293.15,0,0,101,998.2,Sajid et al. (2021),Density,Liquid,AAOWgA,NCC(=O)O,2-aminoacetic acid,ABChJv,CCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-butyl-3-methylimidazolium hexafluorophosphate,AADYJk,O,water
VAkgV,293.15,0,0.052,101,999.9,Sajid et al. (2021),Density,Liquid,AAOWgA,NCC(=O)O,2-aminoacetic acid,ABChJv,CCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-butyl-3-methylimidazolium hexafluorophosphate,AADYJk,O,water
VAkgV,293.15,0,0.1032,101,1001.6,Sajid et al. (2021),Density,Liquid,AAOWgA,NCC(=O)O,2-aminoacetic acid,ABChJv,CCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-butyl-3-methylimidazolium hexafluorophosphate,AADYJk,O,water
VAkgV,293.15,0,0.2038,101,1004.8,Sajid et al. (2021),Density,Liquid,AAOWgA,NCC(=O)O,2-aminoacetic acid,ABChJv,CCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-butyl-3-methylimidazolium hexafluorophosphate,AADYJk,O,water
VAkgV,293.15,0,0.3064,101,1008,Sajid et al. (2021),Density,Liquid,AAOWgA,NCC(=O)O,2-aminoacetic acid,ABChJv,CCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-butyl-3-methylimidazolium hexafluorophosphate,AADYJk,O,water
VAkgV,293.15,0,0.4123,101,1011.3,Sajid et al. (2021),Density,Liquid,AAOWgA,NCC(=O)O,2-aminoacetic acid,ABChJv,CCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-butyl-3-methylimidazolium hexafluorophosphate,AADYJk,O,water
VAkgV,293.15,0,0.5029,101,1014.1,Sajid et al. (2021),Density,Liquid,AAOWgA,NCC(=O)O,2-aminoacetic acid,ABChJv,CCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-butyl-3-methylimidazolium hexafluorophosphate,AADYJk,O,water
VAkgV,293.15,0,0.6054,101,1017.3,Sajid et al. (2021),Density,Liquid,AAOWgA,NCC(=O)O,2-aminoacetic acid,ABChJv,CCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-butyl-3-methylimidazolium hexafluorophosphate,AADYJk,O,water
VAkgV,293.15,0,0.6827,101,1019.6,Sajid et al. (2021),Density,Liquid,AAOWgA,NCC(=O)O,2-aminoacetic acid,ABChJv,CCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-butyl-3-methylimidazolium hexafluorophosphate,AADYJk,O,water
VAkgV,293.15,0,0.7426,101,1021.4,Sajid et al. (2021),Density,Liquid,AAOWgA,NCC(=O)O,2-aminoacetic acid,ABChJv,CCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-butyl-3-methylimidazolium hexafluorophosphate,AADYJk,O,water
VAkgV,293.15,0,0.8199,101,1023.7,Sajid et al. (2021),Density,Liquid,AAOWgA,NCC(=O)O,2-aminoacetic acid,ABChJv,CCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-butyl-3-methylimidazolium hexafluorophosphate,AADYJk,O,water
