setid,"Temperature, K","MolaLity of 1-butyl-3-methylimidazolium tetrafluoroborate, mol/kg","Pressure, kPa","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
qubKv,298.15,0,101,999.526,Kiselev et al. (2012),Density,Liquid,AALSTB,CNC=O,N-methylformamide,AArYBF,CCCC[n+]1ccn(C)c1.F[B-](F)(F)F,1-butyl-3-methylimidazolium tetrafluoroborate,,,
qubKv,298.15,0.010013,101,999.913,Kiselev et al. (2012),Density,Liquid,AALSTB,CNC=O,N-methylformamide,AArYBF,CCCC[n+]1ccn(C)c1.F[B-](F)(F)F,1-butyl-3-methylimidazolium tetrafluoroborate,,,
qubKv,298.15,0.014963,101,1000.1,Kiselev et al. (2012),Density,Liquid,AALSTB,CNC=O,N-methylformamide,AArYBF,CCCC[n+]1ccn(C)c1.F[B-](F)(F)F,1-butyl-3-methylimidazolium tetrafluoroborate,,,
qubKv,298.15,0.020153,101,1000.3,Kiselev et al. (2012),Density,Liquid,AALSTB,CNC=O,N-methylformamide,AArYBF,CCCC[n+]1ccn(C)c1.F[B-](F)(F)F,1-butyl-3-methylimidazolium tetrafluoroborate,,,
