setid,Mole fraction of hexane,Mole fraction of toluene,"Temperature, K","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
yuPMo,0.003,0.182,298.15,1202.8,Gonzalez et al. (2011b),Density,Liquid mixture 1,Liquid mixture 2,,3,AARlpN,Cc1ccccc1,toluene,AAQdzy,CCCCCC,hexane
yuPMo,0.006,0.136,298.15,1211.3,Gonzalez et al. (2011b),Density,Liquid mixture 1,Liquid mixture 2,,3,AARlpN,Cc1ccccc1,toluene,AAQdzy,CCCCCC,hexane
yuPMo,0.009,0.085,298.15,1220.6,Gonzalez et al. (2011b),Density,Liquid mixture 1,Liquid mixture 2,,3,AARlpN,Cc1ccccc1,toluene,AAQdzy,CCCCCC,hexane
