setid,"Temperature, K","MolaLity of 1-methyl-3-pentylimidazolium glycinate, mol/kg","Pressure, kPa","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
skHEX,288.15,0.0512,100,1000.7,Meng et al. (2022b),Density,Liquid,AArljU,NCC(=O)[O-].CN1C=[N+](C=C1)CCCCC,1-methyl-3-pentylimidazolium glycinate,AADYJk,O,water,,,
skHEX,288.15,0.0591,100,1001,Meng et al. (2022b),Density,Liquid,AArljU,NCC(=O)[O-].CN1C=[N+](C=C1)CCCCC,1-methyl-3-pentylimidazolium glycinate,AADYJk,O,water,,,
skHEX,288.15,0.0713,100,1001.4,Meng et al. (2022b),Density,Liquid,AArljU,NCC(=O)[O-].CN1C=[N+](C=C1)CCCCC,1-methyl-3-pentylimidazolium glycinate,AADYJk,O,water,,,
skHEX,288.15,0.0786,100,1001.6,Meng et al. (2022b),Density,Liquid,AArljU,NCC(=O)[O-].CN1C=[N+](C=C1)CCCCC,1-methyl-3-pentylimidazolium glycinate,AADYJk,O,water,,,
skHEX,288.15,0.0902,100,1002,Meng et al. (2022b),Density,Liquid,AArljU,NCC(=O)[O-].CN1C=[N+](C=C1)CCCCC,1-methyl-3-pentylimidazolium glycinate,AADYJk,O,water,,,
skHEX,288.15,0.0997,100,1002.3,Meng et al. (2022b),Density,Liquid,AArljU,NCC(=O)[O-].CN1C=[N+](C=C1)CCCCC,1-methyl-3-pentylimidazolium glycinate,AADYJk,O,water,,,
skHEX,288.15,0.2004,100,1005.3,Meng et al. (2022b),Density,Liquid,AArljU,NCC(=O)[O-].CN1C=[N+](C=C1)CCCCC,1-methyl-3-pentylimidazolium glycinate,AADYJk,O,water,,,
skHEX,288.15,0.2996,100,1008.2,Meng et al. (2022b),Density,Liquid,AArljU,NCC(=O)[O-].CN1C=[N+](C=C1)CCCCC,1-methyl-3-pentylimidazolium glycinate,AADYJk,O,water,,,
skHEX,288.15,0.4001,100,1011,Meng et al. (2022b),Density,Liquid,AArljU,NCC(=O)[O-].CN1C=[N+](C=C1)CCCCC,1-methyl-3-pentylimidazolium glycinate,AADYJk,O,water,,,
skHEX,288.15,0.5002,100,1013.7,Meng et al. (2022b),Density,Liquid,AArljU,NCC(=O)[O-].CN1C=[N+](C=C1)CCCCC,1-methyl-3-pentylimidazolium glycinate,AADYJk,O,water,,,
skHEX,293.15,0.0512,100,999.8,Meng et al. (2022b),Density,Liquid,AArljU,NCC(=O)[O-].CN1C=[N+](C=C1)CCCCC,1-methyl-3-pentylimidazolium glycinate,AADYJk,O,water,,,
skHEX,293.15,0.0591,100,1000,Meng et al. (2022b),Density,Liquid,AArljU,NCC(=O)[O-].CN1C=[N+](C=C1)CCCCC,1-methyl-3-pentylimidazolium glycinate,AADYJk,O,water,,,
skHEX,293.15,0.0713,100,1000.4,Meng et al. (2022b),Density,Liquid,AArljU,NCC(=O)[O-].CN1C=[N+](C=C1)CCCCC,1-methyl-3-pentylimidazolium glycinate,AADYJk,O,water,,,
skHEX,293.15,0.0786,100,1000.6,Meng et al. (2022b),Density,Liquid,AArljU,NCC(=O)[O-].CN1C=[N+](C=C1)CCCCC,1-methyl-3-pentylimidazolium glycinate,AADYJk,O,water,,,
skHEX,293.15,0.0902,100,1001,Meng et al. (2022b),Density,Liquid,AArljU,NCC(=O)[O-].CN1C=[N+](C=C1)CCCCC,1-methyl-3-pentylimidazolium glycinate,AADYJk,O,water,,,
skHEX,293.15,0.0997,100,1001.3,Meng et al. (2022b),Density,Liquid,AArljU,NCC(=O)[O-].CN1C=[N+](C=C1)CCCCC,1-methyl-3-pentylimidazolium glycinate,AADYJk,O,water,,,
skHEX,293.15,0.2004,100,1004.2,Meng et al. (2022b),Density,Liquid,AArljU,NCC(=O)[O-].CN1C=[N+](C=C1)CCCCC,1-methyl-3-pentylimidazolium glycinate,AADYJk,O,water,,,
skHEX,293.15,0.2996,100,1007,Meng et al. (2022b),Density,Liquid,AArljU,NCC(=O)[O-].CN1C=[N+](C=C1)CCCCC,1-methyl-3-pentylimidazolium glycinate,AADYJk,O,water,,,
skHEX,293.15,0.4001,100,1009.7,Meng et al. (2022b),Density,Liquid,AArljU,NCC(=O)[O-].CN1C=[N+](C=C1)CCCCC,1-methyl-3-pentylimidazolium glycinate,AADYJk,O,water,,,
skHEX,293.15,0.5002,100,1012.3,Meng et al. (2022b),Density,Liquid,AArljU,NCC(=O)[O-].CN1C=[N+](C=C1)CCCCC,1-methyl-3-pentylimidazolium glycinate,AADYJk,O,water,,,
skHEX,298.15,0.0512,100,998.6,Meng et al. (2022b),Density,Liquid,AArljU,NCC(=O)[O-].CN1C=[N+](C=C1)CCCCC,1-methyl-3-pentylimidazolium glycinate,AADYJk,O,water,,,
skHEX,298.15,0.0591,100,998.8,Meng et al. (2022b),Density,Liquid,AArljU,NCC(=O)[O-].CN1C=[N+](C=C1)CCCCC,1-methyl-3-pentylimidazolium glycinate,AADYJk,O,water,,,
skHEX,298.15,0.0713,100,999.2,Meng et al. (2022b),Density,Liquid,AArljU,NCC(=O)[O-].CN1C=[N+](C=C1)CCCCC,1-methyl-3-pentylimidazolium glycinate,AADYJk,O,water,,,
skHEX,298.15,0.0786,100,999.4,Meng et al. (2022b),Density,Liquid,AArljU,NCC(=O)[O-].CN1C=[N+](C=C1)CCCCC,1-methyl-3-pentylimidazolium glycinate,AADYJk,O,water,,,
skHEX,298.15,0.0902,100,999.7,Meng et al. (2022b),Density,Liquid,AArljU,NCC(=O)[O-].CN1C=[N+](C=C1)CCCCC,1-methyl-3-pentylimidazolium glycinate,AADYJk,O,water,,,
skHEX,298.15,0.0997,100,1000,Meng et al. (2022b),Density,Liquid,AArljU,NCC(=O)[O-].CN1C=[N+](C=C1)CCCCC,1-methyl-3-pentylimidazolium glycinate,AADYJk,O,water,,,
skHEX,298.15,0.2004,100,1002.9,Meng et al. (2022b),Density,Liquid,AArljU,NCC(=O)[O-].CN1C=[N+](C=C1)CCCCC,1-methyl-3-pentylimidazolium glycinate,AADYJk,O,water,,,
skHEX,298.15,0.2996,100,1005.6,Meng et al. (2022b),Density,Liquid,AArljU,NCC(=O)[O-].CN1C=[N+](C=C1)CCCCC,1-methyl-3-pentylimidazolium glycinate,AADYJk,O,water,,,
skHEX,298.15,0.4001,100,1008.2,Meng et al. (2022b),Density,Liquid,AArljU,NCC(=O)[O-].CN1C=[N+](C=C1)CCCCC,1-methyl-3-pentylimidazolium glycinate,AADYJk,O,water,,,
skHEX,298.15,0.5002,100,1010.7,Meng et al. (2022b),Density,Liquid,AArljU,NCC(=O)[O-].CN1C=[N+](C=C1)CCCCC,1-methyl-3-pentylimidazolium glycinate,AADYJk,O,water,,,
skHEX,303.15,0.0512,100,997.2,Meng et al. (2022b),Density,Liquid,AArljU,NCC(=O)[O-].CN1C=[N+](C=C1)CCCCC,1-methyl-3-pentylimidazolium glycinate,AADYJk,O,water,,,
skHEX,303.15,0.0591,100,997.4,Meng et al. (2022b),Density,Liquid,AArljU,NCC(=O)[O-].CN1C=[N+](C=C1)CCCCC,1-methyl-3-pentylimidazolium glycinate,AADYJk,O,water,,,
skHEX,303.15,0.0713,100,997.7,Meng et al. (2022b),Density,Liquid,AArljU,NCC(=O)[O-].CN1C=[N+](C=C1)CCCCC,1-methyl-3-pentylimidazolium glycinate,AADYJk,O,water,,,
skHEX,303.15,0.0786,100,997.9,Meng et al. (2022b),Density,Liquid,AArljU,NCC(=O)[O-].CN1C=[N+](C=C1)CCCCC,1-methyl-3-pentylimidazolium glycinate,AADYJk,O,water,,,
skHEX,303.15,0.0902,100,998.3,Meng et al. (2022b),Density,Liquid,AArljU,NCC(=O)[O-].CN1C=[N+](C=C1)CCCCC,1-methyl-3-pentylimidazolium glycinate,AADYJk,O,water,,,
skHEX,303.15,0.0997,100,998.5,Meng et al. (2022b),Density,Liquid,AArljU,NCC(=O)[O-].CN1C=[N+](C=C1)CCCCC,1-methyl-3-pentylimidazolium glycinate,AADYJk,O,water,,,
skHEX,303.15,0.2004,100,1001.3,Meng et al. (2022b),Density,Liquid,AArljU,NCC(=O)[O-].CN1C=[N+](C=C1)CCCCC,1-methyl-3-pentylimidazolium glycinate,AADYJk,O,water,,,
