setid,"Temperature, K",Mole fraction of propanal,"Pressure, kPa","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
Wtsnf,288.14,1,96,807.26,Alvarez et al. (2011),Density,Liquid,AALIno,CCC=O,propanal,AAtWDT,CCOS(=O)(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium ethyl sulfate,,,
Wtsnf,288.143,0.1702,96,1216,Alvarez et al. (2011),Density,Liquid,AALIno,CCC=O,propanal,AAtWDT,CCOS(=O)(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium ethyl sulfate,,,
Wtsnf,288.144,0.4184,96,1170.5,Alvarez et al. (2011),Density,Liquid,AALIno,CCC=O,propanal,AAtWDT,CCOS(=O)(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium ethyl sulfate,,,
Wtsnf,288.148,0.8104,96,1012.95,Alvarez et al. (2011),Density,Liquid,AALIno,CCC=O,propanal,AAtWDT,CCOS(=O)(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium ethyl sulfate,,,
Wtsnf,288.149,0.2146,96,1209,Alvarez et al. (2011),Density,Liquid,AALIno,CCC=O,propanal,AAtWDT,CCOS(=O)(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium ethyl sulfate,,,
Wtsnf,288.149,0.9022,96,936.5,Alvarez et al. (2011),Density,Liquid,AALIno,CCC=O,propanal,AAtWDT,CCOS(=O)(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium ethyl sulfate,,,
Wtsnf,288.152,0.5246,96,1139.5,Alvarez et al. (2011),Density,Liquid,AALIno,CCC=O,propanal,AAtWDT,CCOS(=O)(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium ethyl sulfate,,,
Wtsnf,288.153,0.616,96,1108.79,Alvarez et al. (2011),Density,Liquid,AALIno,CCC=O,propanal,AAtWDT,CCOS(=O)(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium ethyl sulfate,,,
Wtsnf,288.154,0.3671,96,1182.8,Alvarez et al. (2011),Density,Liquid,AALIno,CCC=O,propanal,AAtWDT,CCOS(=O)(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium ethyl sulfate,,,
Wtsnf,288.154,0.7074,96,1069.7,Alvarez et al. (2011),Density,Liquid,AALIno,CCC=O,propanal,AAtWDT,CCOS(=O)(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium ethyl sulfate,,,
Wtsnf,288.155,0.9521,96,876.3,Alvarez et al. (2011),Density,Liquid,AALIno,CCC=O,propanal,AAtWDT,CCOS(=O)(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium ethyl sulfate,,,
Wtsnf,288.157,0,96,1243.7,Alvarez et al. (2011),Density,Liquid,AALIno,CCC=O,propanal,AAtWDT,CCOS(=O)(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium ethyl sulfate,,,
Wtsnf,288.157,0.077,96,1227.9,Alvarez et al. (2011),Density,Liquid,AALIno,CCC=O,propanal,AAtWDT,CCOS(=O)(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium ethyl sulfate,,,
Wtsnf,293.148,0.077,96,1224.4,Alvarez et al. (2011),Density,Liquid,AALIno,CCC=O,propanal,AAtWDT,CCOS(=O)(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium ethyl sulfate,,,
Wtsnf,293.149,0.5246,96,1136.2,Alvarez et al. (2011),Density,Liquid,AALIno,CCC=O,propanal,AAtWDT,CCOS(=O)(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium ethyl sulfate,,,
