setid,"MolaLity of 1-ethyl-3-methyl-1H-imidazol-3-ium (2R,3S,4R,5R)-2,3,4,5,6-pentahydroxyhexanoate, mol/kg","Pressure, kPa","Temperature, K","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
jndUS,0,101,298.15,801.548,Chen et al. (2016b),Density,Liquid,AALcLI,CCCO,propan-1-ol,ABGvTR,CCn1cc[n+](C)c1.O=C([O-])[C@H](O)[C@@H](O)[C@H](O)[C@H](O)CO,"1-ethyl-3-methyl-1H-imidazol-3-ium (2R,3S,4R,5R)-2,3,4,5,6-pentahydroxyhexanoate",,,
jndUS,0.0625,101,298.15,807.656,Chen et al. (2016b),Density,Liquid,AALcLI,CCCO,propan-1-ol,ABGvTR,CCn1cc[n+](C)c1.O=C([O-])[C@H](O)[C@@H](O)[C@H](O)[C@H](O)CO,"1-ethyl-3-methyl-1H-imidazol-3-ium (2R,3S,4R,5R)-2,3,4,5,6-pentahydroxyhexanoate",,,
jndUS,0.0845,101,298.15,809.746,Chen et al. (2016b),Density,Liquid,AALcLI,CCCO,propan-1-ol,ABGvTR,CCn1cc[n+](C)c1.O=C([O-])[C@H](O)[C@@H](O)[C@H](O)[C@H](O)CO,"1-ethyl-3-methyl-1H-imidazol-3-ium (2R,3S,4R,5R)-2,3,4,5,6-pentahydroxyhexanoate",,,
jndUS,0.1075,101,298.15,811.959,Chen et al. (2016b),Density,Liquid,AALcLI,CCCO,propan-1-ol,ABGvTR,CCn1cc[n+](C)c1.O=C([O-])[C@H](O)[C@@H](O)[C@H](O)[C@H](O)CO,"1-ethyl-3-methyl-1H-imidazol-3-ium (2R,3S,4R,5R)-2,3,4,5,6-pentahydroxyhexanoate",,,
jndUS,0.127,101,298.15,813.851,Chen et al. (2016b),Density,Liquid,AALcLI,CCCO,propan-1-ol,ABGvTR,CCn1cc[n+](C)c1.O=C([O-])[C@H](O)[C@@H](O)[C@H](O)[C@H](O)CO,"1-ethyl-3-methyl-1H-imidazol-3-ium (2R,3S,4R,5R)-2,3,4,5,6-pentahydroxyhexanoate",,,
jndUS,0.1661,101,298.15,817.6,Chen et al. (2016b),Density,Liquid,AALcLI,CCCO,propan-1-ol,ABGvTR,CCn1cc[n+](C)c1.O=C([O-])[C@H](O)[C@@H](O)[C@H](O)[C@H](O)CO,"1-ethyl-3-methyl-1H-imidazol-3-ium (2R,3S,4R,5R)-2,3,4,5,6-pentahydroxyhexanoate",,,
