setid,Weight fraction of propanoic acid,"Temperature, K","Pressure, kPa","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
WRlLD,0.000234,298.15,100,997,Martak et al. (2021),Density,Liquid mixture 2,Liquid mixture 1,,15,AAOMRa,CCC(=O)O,propanoic acid,ACskOY,CC(CC(C)(C)C)CP(=O)([O-])CC(C)CC(C)(C)C.CCCCCCCCCCCCCC[P+](CCCCCC)(CCCCCC)CCCCCC,"trihexyltetradecylphosphonium bis(2,4,4-trimethylpentyl)phosphinate"
WRlLD,0.000242,298.15,100,997,Martak et al. (2021),Density,Liquid mixture 2,Liquid mixture 1,,15,AAOMRa,CCC(=O)O,propanoic acid,ACskOY,CC(CC(C)(C)C)CP(=O)([O-])CC(C)CC(C)(C)C.CCCCCCCCCCCCCC[P+](CCCCCC)(CCCCCC)CCCCCC,"trihexyltetradecylphosphonium bis(2,4,4-trimethylpentyl)phosphinate"
WRlLD,0.000465,298.15,100,997,Martak et al. (2021),Density,Liquid mixture 2,Liquid mixture 1,,15,AAOMRa,CCC(=O)O,propanoic acid,ACskOY,CC(CC(C)(C)C)CP(=O)([O-])CC(C)CC(C)(C)C.CCCCCCCCCCCCCC[P+](CCCCCC)(CCCCCC)CCCCCC,"trihexyltetradecylphosphonium bis(2,4,4-trimethylpentyl)phosphinate"
WRlLD,0.00141,298.15,100,997,Martak et al. (2021),Density,Liquid mixture 2,Liquid mixture 1,,15,AAOMRa,CCC(=O)O,propanoic acid,ACskOY,CC(CC(C)(C)C)CP(=O)([O-])CC(C)CC(C)(C)C.CCCCCCCCCCCCCC[P+](CCCCCC)(CCCCCC)CCCCCC,"trihexyltetradecylphosphonium bis(2,4,4-trimethylpentyl)phosphinate"
WRlLD,0.00321,298.15,100,997,Martak et al. (2021),Density,Liquid mixture 2,Liquid mixture 1,,15,AAOMRa,CCC(=O)O,propanoic acid,ACskOY,CC(CC(C)(C)C)CP(=O)([O-])CC(C)CC(C)(C)C.CCCCCCCCCCCCCC[P+](CCCCCC)(CCCCCC)CCCCCC,"trihexyltetradecylphosphonium bis(2,4,4-trimethylpentyl)phosphinate"
WRlLD,0.00598,298.15,100,998,Martak et al. (2021),Density,Liquid mixture 2,Liquid mixture 1,,15,AAOMRa,CCC(=O)O,propanoic acid,ACskOY,CC(CC(C)(C)C)CP(=O)([O-])CC(C)CC(C)(C)C.CCCCCCCCCCCCCC[P+](CCCCCC)(CCCCCC)CCCCCC,"trihexyltetradecylphosphonium bis(2,4,4-trimethylpentyl)phosphinate"
WRlLD,0.0204,298.15,100,999,Martak et al. (2021),Density,Liquid mixture 2,Liquid mixture 1,,15,AAOMRa,CCC(=O)O,propanoic acid,ACskOY,CC(CC(C)(C)C)CP(=O)([O-])CC(C)CC(C)(C)C.CCCCCCCCCCCCCC[P+](CCCCCC)(CCCCCC)CCCCCC,"trihexyltetradecylphosphonium bis(2,4,4-trimethylpentyl)phosphinate"
WRlLD,0.033,298.15,100,1001,Martak et al. (2021),Density,Liquid mixture 2,Liquid mixture 1,,15,AAOMRa,CCC(=O)O,propanoic acid,ACskOY,CC(CC(C)(C)C)CP(=O)([O-])CC(C)CC(C)(C)C.CCCCCCCCCCCCCC[P+](CCCCCC)(CCCCCC)CCCCCC,"trihexyltetradecylphosphonium bis(2,4,4-trimethylpentyl)phosphinate"
WRlLD,0.0367,298.15,100,1000,Martak et al. (2021),Density,Liquid mixture 2,Liquid mixture 1,,15,AAOMRa,CCC(=O)O,propanoic acid,ACskOY,CC(CC(C)(C)C)CP(=O)([O-])CC(C)CC(C)(C)C.CCCCCCCCCCCCCC[P+](CCCCCC)(CCCCCC)CCCCCC,"trihexyltetradecylphosphonium bis(2,4,4-trimethylpentyl)phosphinate"
WRlLD,0.0716,298.15,100,1003,Martak et al. (2021),Density,Liquid mixture 2,Liquid mixture 1,,15,AAOMRa,CCC(=O)O,propanoic acid,ACskOY,CC(CC(C)(C)C)CP(=O)([O-])CC(C)CC(C)(C)C.CCCCCCCCCCCCCC[P+](CCCCCC)(CCCCCC)CCCCCC,"trihexyltetradecylphosphonium bis(2,4,4-trimethylpentyl)phosphinate"
WRlLD,0.109,298.15,100,1005,Martak et al. (2021),Density,Liquid mixture 2,Liquid mixture 1,,15,AAOMRa,CCC(=O)O,propanoic acid,ACskOY,CC(CC(C)(C)C)CP(=O)([O-])CC(C)CC(C)(C)C.CCCCCCCCCCCCCC[P+](CCCCCC)(CCCCCC)CCCCCC,"trihexyltetradecylphosphonium bis(2,4,4-trimethylpentyl)phosphinate"
WRlLD,0.11,298.15,100,1007,Martak et al. (2021),Density,Liquid mixture 2,Liquid mixture 1,,15,AAOMRa,CCC(=O)O,propanoic acid,ACskOY,CC(CC(C)(C)C)CP(=O)([O-])CC(C)CC(C)(C)C.CCCCCCCCCCCCCC[P+](CCCCCC)(CCCCCC)CCCCCC,"trihexyltetradecylphosphonium bis(2,4,4-trimethylpentyl)phosphinate"
WRlLD,0.164,298.15,100,1011,Martak et al. (2021),Density,Liquid mixture 2,Liquid mixture 1,,15,AAOMRa,CCC(=O)O,propanoic acid,ACskOY,CC(CC(C)(C)C)CP(=O)([O-])CC(C)CC(C)(C)C.CCCCCCCCCCCCCC[P+](CCCCCC)(CCCCCC)CCCCCC,"trihexyltetradecylphosphonium bis(2,4,4-trimethylpentyl)phosphinate"
WRlLD,0.164,298.15,100,1011,Martak et al. (2021),Density,Liquid mixture 2,Liquid mixture 1,,15,AAOMRa,CCC(=O)O,propanoic acid,ACskOY,CC(CC(C)(C)C)CP(=O)([O-])CC(C)CC(C)(C)C.CCCCCCCCCCCCCC[P+](CCCCCC)(CCCCCC)CCCCCC,"trihexyltetradecylphosphonium bis(2,4,4-trimethylpentyl)phosphinate"
WRlLD,0.214,298.15,100,1014,Martak et al. (2021),Density,Liquid mixture 2,Liquid mixture 1,,15,AAOMRa,CCC(=O)O,propanoic acid,ACskOY,CC(CC(C)(C)C)CP(=O)([O-])CC(C)CC(C)(C)C.CCCCCCCCCCCCCC[P+](CCCCCC)(CCCCCC)CCCCCC,"trihexyltetradecylphosphonium bis(2,4,4-trimethylpentyl)phosphinate"
