setid,"Temperature, K","Pressure, kPa","MolaLity of tetrapropylammonium bromide, mol/kg","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
aWeje,293.15,100,0.01,998.618,Kaur and Chauhan (2020),Density,Liquid,AAzKlv,CCC[N+](CCC)(CCC)CCC.[Br-],tetrapropylammonium bromide,AADYJk,O,water,,,
aWeje,298.15,100,0.01,997.487,Kaur and Chauhan (2020),Density,Liquid,AAzKlv,CCC[N+](CCC)(CCC)CCC.[Br-],tetrapropylammonium bromide,AADYJk,O,water,,,
aWeje,303.15,100,0.01,996.005,Kaur and Chauhan (2020),Density,Liquid,AAzKlv,CCC[N+](CCC)(CCC)CCC.[Br-],tetrapropylammonium bromide,AADYJk,O,water,,,
aWeje,308.15,100,0.01,994.413,Kaur and Chauhan (2020),Density,Liquid,AAzKlv,CCC[N+](CCC)(CCC)CCC.[Br-],tetrapropylammonium bromide,AADYJk,O,water,,,
aWeje,313.15,100,0.01,992.608,Kaur and Chauhan (2020),Density,Liquid,AAzKlv,CCC[N+](CCC)(CCC)CCC.[Br-],tetrapropylammonium bromide,AADYJk,O,water,,,
aWeje,318.15,100,0.01,990.528,Kaur and Chauhan (2020),Density,Liquid,AAzKlv,CCC[N+](CCC)(CCC)CCC.[Br-],tetrapropylammonium bromide,AADYJk,O,water,,,
