setid,"Temperature, K","Solvent: MolaLity of 1-ethyl-3-methylimidazolium tetrafluoroborate, mol/kg","MolaLity of lithium perchlorate, mol/kg","Pressure, kPa","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
NvEjF,298.15,0.01,0,100,997.725,Rana et al. (2023),Density,Liquid,AAUXsj,[Li+].[O-]Cl(=O)(=O)=O,lithium perchlorate,AAmDom,CC[n+]1ccn(C)c1.F[B-](F)(F)F,1-ethyl-3-methylimidazolium tetrafluoroborate,AADYJk,O,water
NvEjF,298.15,0.01,0.001,100,997.799,Rana et al. (2023),Density,Liquid,AAUXsj,[Li+].[O-]Cl(=O)(=O)=O,lithium perchlorate,AAmDom,CC[n+]1ccn(C)c1.F[B-](F)(F)F,1-ethyl-3-methylimidazolium tetrafluoroborate,AADYJk,O,water
NvEjF,298.15,0.01,0.003,100,997.946,Rana et al. (2023),Density,Liquid,AAUXsj,[Li+].[O-]Cl(=O)(=O)=O,lithium perchlorate,AAmDom,CC[n+]1ccn(C)c1.F[B-](F)(F)F,1-ethyl-3-methylimidazolium tetrafluoroborate,AADYJk,O,water
NvEjF,298.15,0.01,0.005,100,998.094,Rana et al. (2023),Density,Liquid,AAUXsj,[Li+].[O-]Cl(=O)(=O)=O,lithium perchlorate,AAmDom,CC[n+]1ccn(C)c1.F[B-](F)(F)F,1-ethyl-3-methylimidazolium tetrafluoroborate,AADYJk,O,water
NvEjF,298.15,0.01,0.007,100,998.242,Rana et al. (2023),Density,Liquid,AAUXsj,[Li+].[O-]Cl(=O)(=O)=O,lithium perchlorate,AAmDom,CC[n+]1ccn(C)c1.F[B-](F)(F)F,1-ethyl-3-methylimidazolium tetrafluoroborate,AADYJk,O,water
NvEjF,298.15,0.01,0.009,100,998.389,Rana et al. (2023),Density,Liquid,AAUXsj,[Li+].[O-]Cl(=O)(=O)=O,lithium perchlorate,AAmDom,CC[n+]1ccn(C)c1.F[B-](F)(F)F,1-ethyl-3-methylimidazolium tetrafluoroborate,AADYJk,O,water
NvEjF,298.15,0.01,0.011,100,998.537,Rana et al. (2023),Density,Liquid,AAUXsj,[Li+].[O-]Cl(=O)(=O)=O,lithium perchlorate,AAmDom,CC[n+]1ccn(C)c1.F[B-](F)(F)F,1-ethyl-3-methylimidazolium tetrafluoroborate,AADYJk,O,water
NvEjF,298.15,0.03,0,100,998.37,Rana et al. (2023),Density,Liquid,AAUXsj,[Li+].[O-]Cl(=O)(=O)=O,lithium perchlorate,AAmDom,CC[n+]1ccn(C)c1.F[B-](F)(F)F,1-ethyl-3-methylimidazolium tetrafluoroborate,AADYJk,O,water
NvEjF,298.15,0.03,0.001,100,998.443,Rana et al. (2023),Density,Liquid,AAUXsj,[Li+].[O-]Cl(=O)(=O)=O,lithium perchlorate,AAmDom,CC[n+]1ccn(C)c1.F[B-](F)(F)F,1-ethyl-3-methylimidazolium tetrafluoroborate,AADYJk,O,water
NvEjF,298.15,0.03,0.003,100,998.588,Rana et al. (2023),Density,Liquid,AAUXsj,[Li+].[O-]Cl(=O)(=O)=O,lithium perchlorate,AAmDom,CC[n+]1ccn(C)c1.F[B-](F)(F)F,1-ethyl-3-methylimidazolium tetrafluoroborate,AADYJk,O,water
