setid,"MolaLity of dodecyltrimethylammonium bromide, mol/kg","Pressure, kPa","Temperature, K","Solvent: MolaLity of propan-1-ol, mol/kg","Specific density<SUP>*</SUP>, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
PFpzm,0.009808,101,298,0.02,0.233,De Lisi et al. (1990c),Density,Liquid,AALcLI,CCCO,propan-1-ol,ABHPBX,CCCCCCCCCCCC[N+](C)(C)C.[Br-],dodecyltrimethylammonium bromide,AADYJk,O,water
PFpzm,0.02879,101,298,0.02,0.511,De Lisi et al. (1990c),Density,Liquid,AALcLI,CCCO,propan-1-ol,ABHPBX,CCCCCCCCCCCC[N+](C)(C)C.[Br-],dodecyltrimethylammonium bromide,AADYJk,O,water
PFpzm,0.06659,101,298,0.02,1.049,De Lisi et al. (1990c),Density,Liquid,AALcLI,CCCO,propan-1-ol,ABHPBX,CCCCCCCCCCCC[N+](C)(C)C.[Br-],dodecyltrimethylammonium bromide,AADYJk,O,water
PFpzm,0.07648,101,298,0.02,1.153,De Lisi et al. (1990c),Density,Liquid,AALcLI,CCCO,propan-1-ol,ABHPBX,CCCCCCCCCCCC[N+](C)(C)C.[Br-],dodecyltrimethylammonium bromide,AADYJk,O,water
PFpzm,0.08216,101,298,0.02,1.222,De Lisi et al. (1990c),Density,Liquid,AALcLI,CCCO,propan-1-ol,ABHPBX,CCCCCCCCCCCC[N+](C)(C)C.[Br-],dodecyltrimethylammonium bromide,AADYJk,O,water
PFpzm,0.1075,101,298,0.02,1.57,De Lisi et al. (1990c),Density,Liquid,AALcLI,CCCO,propan-1-ol,ABHPBX,CCCCCCCCCCCC[N+](C)(C)C.[Br-],dodecyltrimethylammonium bromide,AADYJk,O,water
PFpzm,0.1086,101,298,0.02,1.548,De Lisi et al. (1990c),Density,Liquid,AALcLI,CCCO,propan-1-ol,ABHPBX,CCCCCCCCCCCC[N+](C)(C)C.[Br-],dodecyltrimethylammonium bromide,AADYJk,O,water
PFpzm,0.127,101,298,0.02,1.813,De Lisi et al. (1990c),Density,Liquid,AALcLI,CCCO,propan-1-ol,ABHPBX,CCCCCCCCCCCC[N+](C)(C)C.[Br-],dodecyltrimethylammonium bromide,AADYJk,O,water
PFpzm,0.1446,101,298,0.02,2.015,De Lisi et al. (1990c),Density,Liquid,AALcLI,CCCO,propan-1-ol,ABHPBX,CCCCCCCCCCCC[N+](C)(C)C.[Br-],dodecyltrimethylammonium bromide,AADYJk,O,water
PFpzm,0.197,101,298,0.02,2.704,De Lisi et al. (1990c),Density,Liquid,AALcLI,CCCO,propan-1-ol,ABHPBX,CCCCCCCCCCCC[N+](C)(C)C.[Br-],dodecyltrimethylammonium bromide,AADYJk,O,water
PFpzm,0.2474,101,298,0.02,3.292,De Lisi et al. (1990c),Density,Liquid,AALcLI,CCCO,propan-1-ol,ABHPBX,CCCCCCCCCCCC[N+](C)(C)C.[Br-],dodecyltrimethylammonium bromide,AADYJk,O,water
PFpzm,0.3042,101,298,0.02,4.029,De Lisi et al. (1990c),Density,Liquid,AALcLI,CCCO,propan-1-ol,ABHPBX,CCCCCCCCCCCC[N+](C)(C)C.[Br-],dodecyltrimethylammonium bromide,AADYJk,O,water
PFpzm,0.373,101,298,0.02,4.864,De Lisi et al. (1990c),Density,Liquid,AALcLI,CCCO,propan-1-ol,ABHPBX,CCCCCCCCCCCC[N+](C)(C)C.[Br-],dodecyltrimethylammonium bromide,AADYJk,O,water
PFpzm,0.4744,101,298,0.02,5.925,De Lisi et al. (1990c),Density,Liquid,AALcLI,CCCO,propan-1-ol,ABHPBX,CCCCCCCCCCCC[N+](C)(C)C.[Br-],dodecyltrimethylammonium bromide,AADYJk,O,water
PFpzm,0.6015,101,298,0.02,7.305,De Lisi et al. (1990c),Density,Liquid,AALcLI,CCCO,propan-1-ol,ABHPBX,CCCCCCCCCCCC[N+](C)(C)C.[Br-],dodecyltrimethylammonium bromide,AADYJk,O,water
PFpzm,0.7396,101,298,0.02,8.655,De Lisi et al. (1990c),Density,Liquid,AALcLI,CCCO,propan-1-ol,ABHPBX,CCCCCCCCCCCC[N+](C)(C)C.[Br-],dodecyltrimethylammonium bromide,AADYJk,O,water
PFpzm,0.9516,101,298,0.02,10.64,De Lisi et al. (1990c),Density,Liquid,AALcLI,CCCO,propan-1-ol,ABHPBX,CCCCCCCCCCCC[N+](C)(C)C.[Br-],dodecyltrimethylammonium bromide,AADYJk,O,water
