setid,"Temperature, K","Mole fraction of 1,3-dimethylimidazolium dimethyl phosphate",Mole fraction of water,"Pressure, kPa","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
DaIxB,293.15,0.1,0.445,100,955,Normazlan et al. (2014),Density,Liquid,AALcwx,CC(C)O,propan-2-ol,AADYJk,O,water,AAqlaB,COP(=O)([O-])OC.Cn1cc[n+](C)c1,"1,3-dimethylimidazolium dimethyl phosphate"
DaIxB,293.15,0.2,0.403,100,975,Normazlan et al. (2014),Density,Liquid,AALcwx,CC(C)O,propan-2-ol,AADYJk,O,water,AAqlaB,COP(=O)([O-])OC.Cn1cc[n+](C)c1,"1,3-dimethylimidazolium dimethyl phosphate"
DaIxB,293.15,0.3005,0.3525,100,1003,Normazlan et al. (2014),Density,Liquid,AALcwx,CC(C)O,propan-2-ol,AADYJk,O,water,AAqlaB,COP(=O)([O-])OC.Cn1cc[n+](C)c1,"1,3-dimethylimidazolium dimethyl phosphate"
DaIxB,293.15,0.401,0.305,100,1038,Normazlan et al. (2014),Density,Liquid,AALcwx,CC(C)O,propan-2-ol,AADYJk,O,water,AAqlaB,COP(=O)([O-])OC.Cn1cc[n+](C)c1,"1,3-dimethylimidazolium dimethyl phosphate"
DaIxB,293.15,0.5013,0.2507,100,1069,Normazlan et al. (2014),Density,Liquid,AALcwx,CC(C)O,propan-2-ol,AADYJk,O,water,AAqlaB,COP(=O)([O-])OC.Cn1cc[n+](C)c1,"1,3-dimethylimidazolium dimethyl phosphate"
DaIxB,293.15,0.6002,0.1998,100,1108,Normazlan et al. (2014),Density,Liquid,AALcwx,CC(C)O,propan-2-ol,AADYJk,O,water,AAqlaB,COP(=O)([O-])OC.Cn1cc[n+](C)c1,"1,3-dimethylimidazolium dimethyl phosphate"
DaIxB,293.15,0.7002,0.1518,100,1142,Normazlan et al. (2014),Density,Liquid,AALcwx,CC(C)O,propan-2-ol,AADYJk,O,water,AAqlaB,COP(=O)([O-])OC.Cn1cc[n+](C)c1,"1,3-dimethylimidazolium dimethyl phosphate"
DaIxB,293.15,0.8012,0.0988,100,1176,Normazlan et al. (2014),Density,Liquid,AALcwx,CC(C)O,propan-2-ol,AADYJk,O,water,AAqlaB,COP(=O)([O-])OC.Cn1cc[n+](C)c1,"1,3-dimethylimidazolium dimethyl phosphate"
DaIxB,293.15,0.913,0.043,100,1215,Normazlan et al. (2014),Density,Liquid,AALcwx,CC(C)O,propan-2-ol,AADYJk,O,water,AAqlaB,COP(=O)([O-])OC.Cn1cc[n+](C)c1,"1,3-dimethylimidazolium dimethyl phosphate"
DaIxB,298.15,0.1,0.445,100,951,Normazlan et al. (2014),Density,Liquid,AALcwx,CC(C)O,propan-2-ol,AADYJk,O,water,AAqlaB,COP(=O)([O-])OC.Cn1cc[n+](C)c1,"1,3-dimethylimidazolium dimethyl phosphate"
DaIxB,298.15,0.2,0.403,100,971,Normazlan et al. (2014),Density,Liquid,AALcwx,CC(C)O,propan-2-ol,AADYJk,O,water,AAqlaB,COP(=O)([O-])OC.Cn1cc[n+](C)c1,"1,3-dimethylimidazolium dimethyl phosphate"
DaIxB,298.15,0.3005,0.3525,100,999,Normazlan et al. (2014),Density,Liquid,AALcwx,CC(C)O,propan-2-ol,AADYJk,O,water,AAqlaB,COP(=O)([O-])OC.Cn1cc[n+](C)c1,"1,3-dimethylimidazolium dimethyl phosphate"
DaIxB,298.15,0.401,0.305,100,1034,Normazlan et al. (2014),Density,Liquid,AALcwx,CC(C)O,propan-2-ol,AADYJk,O,water,AAqlaB,COP(=O)([O-])OC.Cn1cc[n+](C)c1,"1,3-dimethylimidazolium dimethyl phosphate"
DaIxB,298.15,0.5013,0.2507,100,1063,Normazlan et al. (2014),Density,Liquid,AALcwx,CC(C)O,propan-2-ol,AADYJk,O,water,AAqlaB,COP(=O)([O-])OC.Cn1cc[n+](C)c1,"1,3-dimethylimidazolium dimethyl phosphate"
DaIxB,298.15,0.6002,0.1998,100,1103,Normazlan et al. (2014),Density,Liquid,AALcwx,CC(C)O,propan-2-ol,AADYJk,O,water,AAqlaB,COP(=O)([O-])OC.Cn1cc[n+](C)c1,"1,3-dimethylimidazolium dimethyl phosphate"
