setid,Mole fraction of methyltriphenylphosphonium bromide,"Temperature, K","Pressure, kPa","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
NeqFe,0.1,293.15,100,1185,Park and Lee (2023),Density,Liquid,ABQkxU,C[P+](c1ccccc1)(c1ccccc1)c1ccccc1.[Br-],methyltriphenylphosphonium bromide,AALwIY,OCCO,"1,2-ethanediol",,,
NeqFe,0.1,298.15,100,1181,Park and Lee (2023),Density,Liquid,ABQkxU,C[P+](c1ccccc1)(c1ccccc1)c1ccccc1.[Br-],methyltriphenylphosphonium bromide,AALwIY,OCCO,"1,2-ethanediol",,,
NeqFe,0.1,303.15,100,1178,Park and Lee (2023),Density,Liquid,ABQkxU,C[P+](c1ccccc1)(c1ccccc1)c1ccccc1.[Br-],methyltriphenylphosphonium bromide,AALwIY,OCCO,"1,2-ethanediol",,,
NeqFe,0.1,308.15,100,1174,Park and Lee (2023),Density,Liquid,ABQkxU,C[P+](c1ccccc1)(c1ccccc1)c1ccccc1.[Br-],methyltriphenylphosphonium bromide,AALwIY,OCCO,"1,2-ethanediol",,,
NeqFe,0.1,313.15,100,1170,Park and Lee (2023),Density,Liquid,ABQkxU,C[P+](c1ccccc1)(c1ccccc1)c1ccccc1.[Br-],methyltriphenylphosphonium bromide,AALwIY,OCCO,"1,2-ethanediol",,,
NeqFe,0.1,318.15,100,1167,Park and Lee (2023),Density,Liquid,ABQkxU,C[P+](c1ccccc1)(c1ccccc1)c1ccccc1.[Br-],methyltriphenylphosphonium bromide,AALwIY,OCCO,"1,2-ethanediol",,,
NeqFe,0.1,323.15,100,1163,Park and Lee (2023),Density,Liquid,ABQkxU,C[P+](c1ccccc1)(c1ccccc1)c1ccccc1.[Br-],methyltriphenylphosphonium bromide,AALwIY,OCCO,"1,2-ethanediol",,,
NeqFe,0.13,293.15,100,1196,Park and Lee (2023),Density,Liquid,ABQkxU,C[P+](c1ccccc1)(c1ccccc1)c1ccccc1.[Br-],methyltriphenylphosphonium bromide,AALwIY,OCCO,"1,2-ethanediol",,,
NeqFe,0.13,298.15,100,1193,Park and Lee (2023),Density,Liquid,ABQkxU,C[P+](c1ccccc1)(c1ccccc1)c1ccccc1.[Br-],methyltriphenylphosphonium bromide,AALwIY,OCCO,"1,2-ethanediol",,,
NeqFe,0.13,303.15,100,1189,Park and Lee (2023),Density,Liquid,ABQkxU,C[P+](c1ccccc1)(c1ccccc1)c1ccccc1.[Br-],methyltriphenylphosphonium bromide,AALwIY,OCCO,"1,2-ethanediol",,,
