setid,"Temperature, K","Solvent: MolaLity of 1-ethyl-3-methylimidazolium tetrafluoroborate, mol/kg","MolaLity of lithium iodide, mol/kg","Pressure, kPa","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
LvaTm,298.15,0.01,0,100,997.725,Rana et al. (2023),Density,Liquid,AAZmvX,[I-].[Li+],lithium iodide,AAmDom,CC[n+]1ccn(C)c1.F[B-](F)(F)F,1-ethyl-3-methylimidazolium tetrafluoroborate,AADYJk,O,water
LvaTm,298.15,0.01,0.001,100,997.842,Rana et al. (2023),Density,Liquid,AAZmvX,[I-].[Li+],lithium iodide,AAmDom,CC[n+]1ccn(C)c1.F[B-](F)(F)F,1-ethyl-3-methylimidazolium tetrafluoroborate,AADYJk,O,water
LvaTm,298.15,0.01,0.003,100,998.075,Rana et al. (2023),Density,Liquid,AAZmvX,[I-].[Li+],lithium iodide,AAmDom,CC[n+]1ccn(C)c1.F[B-](F)(F)F,1-ethyl-3-methylimidazolium tetrafluoroborate,AADYJk,O,water
LvaTm,298.15,0.01,0.005,100,998.308,Rana et al. (2023),Density,Liquid,AAZmvX,[I-].[Li+],lithium iodide,AAmDom,CC[n+]1ccn(C)c1.F[B-](F)(F)F,1-ethyl-3-methylimidazolium tetrafluoroborate,AADYJk,O,water
LvaTm,298.15,0.01,0.007,100,998.541,Rana et al. (2023),Density,Liquid,AAZmvX,[I-].[Li+],lithium iodide,AAmDom,CC[n+]1ccn(C)c1.F[B-](F)(F)F,1-ethyl-3-methylimidazolium tetrafluoroborate,AADYJk,O,water
LvaTm,298.15,0.01,0.009,100,998.774,Rana et al. (2023),Density,Liquid,AAZmvX,[I-].[Li+],lithium iodide,AAmDom,CC[n+]1ccn(C)c1.F[B-](F)(F)F,1-ethyl-3-methylimidazolium tetrafluoroborate,AADYJk,O,water
LvaTm,298.15,0.01,0.011,100,999.008,Rana et al. (2023),Density,Liquid,AAZmvX,[I-].[Li+],lithium iodide,AAmDom,CC[n+]1ccn(C)c1.F[B-](F)(F)F,1-ethyl-3-methylimidazolium tetrafluoroborate,AADYJk,O,water
LvaTm,298.15,0.03,0,100,998.37,Rana et al. (2023),Density,Liquid,AAZmvX,[I-].[Li+],lithium iodide,AAmDom,CC[n+]1ccn(C)c1.F[B-](F)(F)F,1-ethyl-3-methylimidazolium tetrafluoroborate,AADYJk,O,water
LvaTm,298.15,0.03,0.001,100,998.485,Rana et al. (2023),Density,Liquid,AAZmvX,[I-].[Li+],lithium iodide,AAmDom,CC[n+]1ccn(C)c1.F[B-](F)(F)F,1-ethyl-3-methylimidazolium tetrafluoroborate,AADYJk,O,water
LvaTm,298.15,0.03,0.003,100,998.714,Rana et al. (2023),Density,Liquid,AAZmvX,[I-].[Li+],lithium iodide,AAmDom,CC[n+]1ccn(C)c1.F[B-](F)(F)F,1-ethyl-3-methylimidazolium tetrafluoroborate,AADYJk,O,water
LvaTm,298.15,0.03,0.005,100,998.944,Rana et al. (2023),Density,Liquid,AAZmvX,[I-].[Li+],lithium iodide,AAmDom,CC[n+]1ccn(C)c1.F[B-](F)(F)F,1-ethyl-3-methylimidazolium tetrafluoroborate,AADYJk,O,water
LvaTm,298.15,0.03,0.007,100,999.174,Rana et al. (2023),Density,Liquid,AAZmvX,[I-].[Li+],lithium iodide,AAmDom,CC[n+]1ccn(C)c1.F[B-](F)(F)F,1-ethyl-3-methylimidazolium tetrafluoroborate,AADYJk,O,water
LvaTm,298.15,0.03,0.009,100,999.403,Rana et al. (2023),Density,Liquid,AAZmvX,[I-].[Li+],lithium iodide,AAmDom,CC[n+]1ccn(C)c1.F[B-](F)(F)F,1-ethyl-3-methylimidazolium tetrafluoroborate,AADYJk,O,water
LvaTm,298.15,0.03,0.011,100,999.633,Rana et al. (2023),Density,Liquid,AAZmvX,[I-].[Li+],lithium iodide,AAmDom,CC[n+]1ccn(C)c1.F[B-](F)(F)F,1-ethyl-3-methylimidazolium tetrafluoroborate,AADYJk,O,water
LvaTm,298.15,0.05,0,100,999.09,Rana et al. (2023),Density,Liquid,AAZmvX,[I-].[Li+],lithium iodide,AAmDom,CC[n+]1ccn(C)c1.F[B-](F)(F)F,1-ethyl-3-methylimidazolium tetrafluoroborate,AADYJk,O,water
LvaTm,298.15,0.05,0.001,100,999.203,Rana et al. (2023),Density,Liquid,AAZmvX,[I-].[Li+],lithium iodide,AAmDom,CC[n+]1ccn(C)c1.F[B-](F)(F)F,1-ethyl-3-methylimidazolium tetrafluoroborate,AADYJk,O,water
LvaTm,298.15,0.05,0.003,100,999.428,Rana et al. (2023),Density,Liquid,AAZmvX,[I-].[Li+],lithium iodide,AAmDom,CC[n+]1ccn(C)c1.F[B-](F)(F)F,1-ethyl-3-methylimidazolium tetrafluoroborate,AADYJk,O,water
LvaTm,298.15,0.05,0.005,100,999.654,Rana et al. (2023),Density,Liquid,AAZmvX,[I-].[Li+],lithium iodide,AAmDom,CC[n+]1ccn(C)c1.F[B-](F)(F)F,1-ethyl-3-methylimidazolium tetrafluoroborate,AADYJk,O,water
LvaTm,298.15,0.05,0.007,100,999.88,Rana et al. (2023),Density,Liquid,AAZmvX,[I-].[Li+],lithium iodide,AAmDom,CC[n+]1ccn(C)c1.F[B-](F)(F)F,1-ethyl-3-methylimidazolium tetrafluoroborate,AADYJk,O,water
LvaTm,298.15,0.05,0.009,100,1000.11,Rana et al. (2023),Density,Liquid,AAZmvX,[I-].[Li+],lithium iodide,AAmDom,CC[n+]1ccn(C)c1.F[B-](F)(F)F,1-ethyl-3-methylimidazolium tetrafluoroborate,AADYJk,O,water
LvaTm,298.15,0.05,0.011,100,1000.33,Rana et al. (2023),Density,Liquid,AAZmvX,[I-].[Li+],lithium iodide,AAmDom,CC[n+]1ccn(C)c1.F[B-](F)(F)F,1-ethyl-3-methylimidazolium tetrafluoroborate,AADYJk,O,water
LvaTm,303.15,0.01,0,100,996.319,Rana et al. (2023),Density,Liquid,AAZmvX,[I-].[Li+],lithium iodide,AAmDom,CC[n+]1ccn(C)c1.F[B-](F)(F)F,1-ethyl-3-methylimidazolium tetrafluoroborate,AADYJk,O,water
LvaTm,303.15,0.01,0.001,100,996.433,Rana et al. (2023),Density,Liquid,AAZmvX,[I-].[Li+],lithium iodide,AAmDom,CC[n+]1ccn(C)c1.F[B-](F)(F)F,1-ethyl-3-methylimidazolium tetrafluoroborate,AADYJk,O,water
