setid,"Temperature, K","MolaLity of 1-ethyl-2,3-dimethylimidazolium terafluoroborate, mol/kg","Pressure, kPa","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
AUepV,293.15,0,101.3,790.6,Han et al. (2023),Density,Liquid,AAonFa,CC[n+]1ccn(C)c1C.F[B-](F)(F)F,"1-ethyl-2,3-dimethylimidazolium terafluoroborate",AALIPU,CC(C)=O,acetone,,,
AUepV,293.15,0.5243,101.3,829.6,Han et al. (2023),Density,Liquid,AAonFa,CC[n+]1ccn(C)c1C.F[B-](F)(F)F,"1-ethyl-2,3-dimethylimidazolium terafluoroborate",AALIPU,CC(C)=O,acetone,,,
AUepV,293.15,1.1779,101.3,867.3,Han et al. (2023),Density,Liquid,AAonFa,CC[n+]1ccn(C)c1C.F[B-](F)(F)F,"1-ethyl-2,3-dimethylimidazolium terafluoroborate",AALIPU,CC(C)=O,acetone,,,
AUepV,293.15,2.0214,101.3,907.8,Han et al. (2023),Density,Liquid,AAonFa,CC[n+]1ccn(C)c1C.F[B-](F)(F)F,"1-ethyl-2,3-dimethylimidazolium terafluoroborate",AALIPU,CC(C)=O,acetone,,,
AUepV,293.15,3.1447,101.3,951.1,Han et al. (2023),Density,Liquid,AAonFa,CC[n+]1ccn(C)c1C.F[B-](F)(F)F,"1-ethyl-2,3-dimethylimidazolium terafluoroborate",AALIPU,CC(C)=O,acetone,,,
AUepV,293.15,4.7151,101.3,997.9,Han et al. (2023),Density,Liquid,AAonFa,CC[n+]1ccn(C)c1C.F[B-](F)(F)F,"1-ethyl-2,3-dimethylimidazolium terafluoroborate",AALIPU,CC(C)=O,acetone,,,
AUepV,293.15,7.0752,101.3,1047.1,Han et al. (2023),Density,Liquid,AAonFa,CC[n+]1ccn(C)c1C.F[B-](F)(F)F,"1-ethyl-2,3-dimethylimidazolium terafluoroborate",AALIPU,CC(C)=O,acetone,,,
AUepV,293.15,10.951,101.3,1093.9,Han et al. (2023),Density,Liquid,AAonFa,CC[n+]1ccn(C)c1C.F[B-](F)(F)F,"1-ethyl-2,3-dimethylimidazolium terafluoroborate",AALIPU,CC(C)=O,acetone,,,
AUepV,293.15,18.652,101.3,1148.5,Han et al. (2023),Density,Liquid,AAonFa,CC[n+]1ccn(C)c1C.F[B-](F)(F)F,"1-ethyl-2,3-dimethylimidazolium terafluoroborate",AALIPU,CC(C)=O,acetone,,,
AUepV,298.15,0,101.3,784.9,Han et al. (2023),Density,Liquid,AAonFa,CC[n+]1ccn(C)c1C.F[B-](F)(F)F,"1-ethyl-2,3-dimethylimidazolium terafluoroborate",AALIPU,CC(C)=O,acetone,,,
