setid,"Temperature, K","Pressure, kPa","MolaLity of hydrogen sulfide, mol/kg","Molar volume, m<SUP>3</SUP>/mol",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
gZHwX,298.15,50.8,0.146,0.000151,Jalili et al. (2019),Density,Liquid,AAGcjK,S,hydrogen sulfide,AAmDom,CC[n+]1ccn(C)c1.F[B-](F)(F)F,1-ethyl-3-methylimidazolium tetrafluoroborate,,,
gZHwX,298.15,122.9,0.363,0.0001465,Jalili et al. (2019),Density,Liquid,AAGcjK,S,hydrogen sulfide,AAmDom,CC[n+]1ccn(C)c1.F[B-](F)(F)F,1-ethyl-3-methylimidazolium tetrafluoroborate,,,
gZHwX,298.15,217.1,0.666,0.0001409,Jalili et al. (2019),Density,Liquid,AAGcjK,S,hydrogen sulfide,AAmDom,CC[n+]1ccn(C)c1.F[B-](F)(F)F,1-ethyl-3-methylimidazolium tetrafluoroborate,,,
gZHwX,298.15,462.1,1.578,0.0001271,Jalili et al. (2019),Density,Liquid,AAGcjK,S,hydrogen sulfide,AAmDom,CC[n+]1ccn(C)c1.F[B-](F)(F)F,1-ethyl-3-methylimidazolium tetrafluoroborate,,,
gZHwX,298.15,583.9,2.105,0.0001207,Jalili et al. (2019),Density,Liquid,AAGcjK,S,hydrogen sulfide,AAmDom,CC[n+]1ccn(C)c1.F[B-](F)(F)F,1-ethyl-3-methylimidazolium tetrafluoroborate,,,
gZHwX,298.15,729.2,2.778,0.0001138,Jalili et al. (2019),Density,Liquid,AAGcjK,S,hydrogen sulfide,AAmDom,CC[n+]1ccn(C)c1.F[B-](F)(F)F,1-ethyl-3-methylimidazolium tetrafluoroborate,,,
gZHwX,298.15,893.2,3.631,0.0001066,Jalili et al. (2019),Density,Liquid,AAGcjK,S,hydrogen sulfide,AAmDom,CC[n+]1ccn(C)c1.F[B-](F)(F)F,1-ethyl-3-methylimidazolium tetrafluoroborate,,,
gZHwX,298.15,1090.8,4.846,9.85e-05,Jalili et al. (2019),Density,Liquid,AAGcjK,S,hydrogen sulfide,AAmDom,CC[n+]1ccn(C)c1.F[B-](F)(F)F,1-ethyl-3-methylimidazolium tetrafluoroborate,,,
gZHwX,298.15,1232.9,5.88,9.3e-05,Jalili et al. (2019),Density,Liquid,AAGcjK,S,hydrogen sulfide,AAmDom,CC[n+]1ccn(C)c1.F[B-](F)(F)F,1-ethyl-3-methylimidazolium tetrafluoroborate,,,
gZHwX,298.15,1404.6,7.389,8.67e-05,Jalili et al. (2019),Density,Liquid,AAGcjK,S,hydrogen sulfide,AAmDom,CC[n+]1ccn(C)c1.F[B-](F)(F)F,1-ethyl-3-methylimidazolium tetrafluoroborate,,,
gZHwX,303.15,53.6,0.137,0.0001516,Jalili et al. (2019),Density,Liquid,AAGcjK,S,hydrogen sulfide,AAmDom,CC[n+]1ccn(C)c1.F[B-](F)(F)F,1-ethyl-3-methylimidazolium tetrafluoroborate,,,
gZHwX,303.15,130.4,0.341,0.0001474,Jalili et al. (2019),Density,Liquid,AAGcjK,S,hydrogen sulfide,AAmDom,CC[n+]1ccn(C)c1.F[B-](F)(F)F,1-ethyl-3-methylimidazolium tetrafluoroborate,,,
gZHwX,303.15,234.2,0.637,0.0001419,Jalili et al. (2019),Density,Liquid,AAGcjK,S,hydrogen sulfide,AAmDom,CC[n+]1ccn(C)c1.F[B-](F)(F)F,1-ethyl-3-methylimidazolium tetrafluoroborate,,,
gZHwX,303.15,500,1.525,0.0001282,Jalili et al. (2019),Density,Liquid,AAGcjK,S,hydrogen sulfide,AAmDom,CC[n+]1ccn(C)c1.F[B-](F)(F)F,1-ethyl-3-methylimidazolium tetrafluoroborate,,,
gZHwX,303.15,793,2.657,0.0001154,Jalili et al. (2019),Density,Liquid,AAGcjK,S,hydrogen sulfide,AAmDom,CC[n+]1ccn(C)c1.F[B-](F)(F)F,1-ethyl-3-methylimidazolium tetrafluoroborate,,,
gZHwX,303.15,974,3.471,0.0001083,Jalili et al. (2019),Density,Liquid,AAGcjK,S,hydrogen sulfide,AAmDom,CC[n+]1ccn(C)c1.F[B-](F)(F)F,1-ethyl-3-methylimidazolium tetrafluoroborate,,,
gZHwX,303.15,1194.1,4.627,0.0001003,Jalili et al. (2019),Density,Liquid,AAGcjK,S,hydrogen sulfide,AAmDom,CC[n+]1ccn(C)c1.F[B-](F)(F)F,1-ethyl-3-methylimidazolium tetrafluoroborate,,,
gZHwX,303.15,1353.7,5.605,9.49e-05,Jalili et al. (2019),Density,Liquid,AAGcjK,S,hydrogen sulfide,AAmDom,CC[n+]1ccn(C)c1.F[B-](F)(F)F,1-ethyl-3-methylimidazolium tetrafluoroborate,,,
gZHwX,303.15,1548.4,7.023,8.86e-05,Jalili et al. (2019),Density,Liquid,AAGcjK,S,hydrogen sulfide,AAmDom,CC[n+]1ccn(C)c1.F[B-](F)(F)F,1-ethyl-3-methylimidazolium tetrafluoroborate,,,
gZHwX,313.15,62.4,0.128,0.0001528,Jalili et al. (2019),Density,Liquid,AAGcjK,S,hydrogen sulfide,AAmDom,CC[n+]1ccn(C)c1.F[B-](F)(F)F,1-ethyl-3-methylimidazolium tetrafluoroborate,,,
gZHwX,313.15,151.2,0.317,0.0001489,Jalili et al. (2019),Density,Liquid,AAGcjK,S,hydrogen sulfide,AAmDom,CC[n+]1ccn(C)c1.F[B-](F)(F)F,1-ethyl-3-methylimidazolium tetrafluoroborate,,,
gZHwX,313.15,268,0.58,0.0001439,Jalili et al. (2019),Density,Liquid,AAGcjK,S,hydrogen sulfide,AAmDom,CC[n+]1ccn(C)c1.F[B-](F)(F)F,1-ethyl-3-methylimidazolium tetrafluoroborate,,,
gZHwX,313.15,576.3,1.363,0.0001314,Jalili et al. (2019),Density,Liquid,AAGcjK,S,hydrogen sulfide,AAmDom,CC[n+]1ccn(C)c1.F[B-](F)(F)F,1-ethyl-3-methylimidazolium tetrafluoroborate,,,
gZHwX,313.15,924,2.406,0.0001189,Jalili et al. (2019),Density,Liquid,AAGcjK,S,hydrogen sulfide,AAmDom,CC[n+]1ccn(C)c1.F[B-](F)(F)F,1-ethyl-3-methylimidazolium tetrafluoroborate,,,
gZHwX,313.15,1138,3.145,0.000112,Jalili et al. (2019),Density,Liquid,AAGcjK,S,hydrogen sulfide,AAmDom,CC[n+]1ccn(C)c1.F[B-](F)(F)F,1-ethyl-3-methylimidazolium tetrafluoroborate,,,
gZHwX,313.15,1405.1,4.184,0.0001041,Jalili et al. (2019),Density,Liquid,AAGcjK,S,hydrogen sulfide,AAmDom,CC[n+]1ccn(C)c1.F[B-](F)(F)F,1-ethyl-3-methylimidazolium tetrafluoroborate,,,
gZHwX,313.15,1601.1,5.073,9.87e-05,Jalili et al. (2019),Density,Liquid,AAGcjK,S,hydrogen sulfide,AAmDom,CC[n+]1ccn(C)c1.F[B-](F)(F)F,1-ethyl-3-methylimidazolium tetrafluoroborate,,,
gZHwX,313.15,1844.4,6.368,9.23e-05,Jalili et al. (2019),Density,Liquid,AAGcjK,S,hydrogen sulfide,AAmDom,CC[n+]1ccn(C)c1.F[B-](F)(F)F,1-ethyl-3-methylimidazolium tetrafluoroborate,,,
gZHwX,323.15,69.9,0.118,0.000154,Jalili et al. (2019),Density,Liquid,AAGcjK,S,hydrogen sulfide,AAmDom,CC[n+]1ccn(C)c1.F[B-](F)(F)F,1-ethyl-3-methylimidazolium tetrafluoroborate,,,
gZHwX,323.15,169.7,0.294,0.0001504,Jalili et al. (2019),Density,Liquid,AAGcjK,S,hydrogen sulfide,AAmDom,CC[n+]1ccn(C)c1.F[B-](F)(F)F,1-ethyl-3-methylimidazolium tetrafluoroborate,,,
gZHwX,323.15,301.4,0.538,0.0001456,Jalili et al. (2019),Density,Liquid,AAGcjK,S,hydrogen sulfide,AAmDom,CC[n+]1ccn(C)c1.F[B-](F)(F)F,1-ethyl-3-methylimidazolium tetrafluoroborate,,,
gZHwX,323.15,651.7,1.266,0.0001338,Jalili et al. (2019),Density,Liquid,AAGcjK,S,hydrogen sulfide,AAmDom,CC[n+]1ccn(C)c1.F[B-](F)(F)F,1-ethyl-3-methylimidazolium tetrafluoroborate,,,
gZHwX,323.15,1049.6,2.185,0.0001223,Jalili et al. (2019),Density,Liquid,AAGcjK,S,hydrogen sulfide,AAmDom,CC[n+]1ccn(C)c1.F[B-](F)(F)F,1-ethyl-3-methylimidazolium tetrafluoroborate,,,
gZHwX,323.15,1301.4,2.845,0.0001157,Jalili et al. (2019),Density,Liquid,AAGcjK,S,hydrogen sulfide,AAmDom,CC[n+]1ccn(C)c1.F[B-](F)(F)F,1-ethyl-3-methylimidazolium tetrafluoroborate,,,
gZHwX,323.15,1615.9,3.773,0.0001081,Jalili et al. (2019),Density,Liquid,AAGcjK,S,hydrogen sulfide,AAmDom,CC[n+]1ccn(C)c1.F[B-](F)(F)F,1-ethyl-3-methylimidazolium tetrafluoroborate,,,
gZHwX,323.15,1848.3,4.57,0.0001027,Jalili et al. (2019),Density,Liquid,AAGcjK,S,hydrogen sulfide,AAmDom,CC[n+]1ccn(C)c1.F[B-](F)(F)F,1-ethyl-3-methylimidazolium tetrafluoroborate,,,
gZHwX,333.15,77.2,0.11,0.0001552,Jalili et al. (2019),Density,Liquid,AAGcjK,S,hydrogen sulfide,AAmDom,CC[n+]1ccn(C)c1.F[B-](F)(F)F,1-ethyl-3-methylimidazolium tetrafluoroborate,,,
gZHwX,333.15,187.6,0.273,0.0001518,Jalili et al. (2019),Density,Liquid,AAGcjK,S,hydrogen sulfide,AAmDom,CC[n+]1ccn(C)c1.F[B-](F)(F)F,1-ethyl-3-methylimidazolium tetrafluoroborate,,,
gZHwX,333.15,334,0.498,0.0001474,Jalili et al. (2019),Density,Liquid,AAGcjK,S,hydrogen sulfide,AAmDom,CC[n+]1ccn(C)c1.F[B-](F)(F)F,1-ethyl-3-methylimidazolium tetrafluoroborate,,,
gZHwX,333.15,724.3,1.156,0.0001365,Jalili et al. (2019),Density,Liquid,AAGcjK,S,hydrogen sulfide,AAmDom,CC[n+]1ccn(C)c1.F[B-](F)(F)F,1-ethyl-3-methylimidazolium tetrafluoroborate,,,
gZHwX,333.15,1174.6,1.982,0.0001257,Jalili et al. (2019),Density,Liquid,AAGcjK,S,hydrogen sulfide,AAmDom,CC[n+]1ccn(C)c1.F[B-](F)(F)F,1-ethyl-3-methylimidazolium tetrafluoroborate,,,
gZHwX,333.15,1460.7,2.575,0.0001193,Jalili et al. (2019),Density,Liquid,AAGcjK,S,hydrogen sulfide,AAmDom,CC[n+]1ccn(C)c1.F[B-](F)(F)F,1-ethyl-3-methylimidazolium tetrafluoroborate,,,
gZHwX,333.15,1821.4,3.404,0.000112,Jalili et al. (2019),Density,Liquid,AAGcjK,S,hydrogen sulfide,AAmDom,CC[n+]1ccn(C)c1.F[B-](F)(F)F,1-ethyl-3-methylimidazolium tetrafluoroborate,,,
gZHwX,343.15,88.4,0.108,0.0001564,Jalili et al. (2019),Density,Liquid,AAGcjK,S,hydrogen sulfide,AAmDom,CC[n+]1ccn(C)c1.F[B-](F)(F)F,1-ethyl-3-methylimidazolium tetrafluoroborate,,,
gZHwX,343.15,205,0.256,0.0001532,Jalili et al. (2019),Density,Liquid,AAGcjK,S,hydrogen sulfide,AAmDom,CC[n+]1ccn(C)c1.F[B-](F)(F)F,1-ethyl-3-methylimidazolium tetrafluoroborate,,,
gZHwX,343.15,365.4,0.462,0.0001492,Jalili et al. (2019),Density,Liquid,AAGcjK,S,hydrogen sulfide,AAmDom,CC[n+]1ccn(C)c1.F[B-](F)(F)F,1-ethyl-3-methylimidazolium tetrafluoroborate,,,
gZHwX,343.15,535.9,0.696,0.000145,Jalili et al. (2019),Density,Liquid,AAGcjK,S,hydrogen sulfide,AAmDom,CC[n+]1ccn(C)c1.F[B-](F)(F)F,1-ethyl-3-methylimidazolium tetrafluoroborate,,,
gZHwX,343.15,795.7,1.06,0.000139,Jalili et al. (2019),Density,Liquid,AAGcjK,S,hydrogen sulfide,AAmDom,CC[n+]1ccn(C)c1.F[B-](F)(F)F,1-ethyl-3-methylimidazolium tetrafluoroborate,,,
