setid,"Pressure, kPa","Temperature, K",Mole fraction of 1-ethyl-3-methylimidazolium thiocyanate,"Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
cjqgS,100,298.15,0,800.2,Hauk et al. (2021),Density,Liquid,AAgcST,CC[n+]1ccn(C)c1.N#C[S-],1-ethyl-3-methylimidazolium thiocyanate,AALcLI,CCCO,propan-1-ol,,,
cjqgS,100,298.15,0.0507,834.7,Hauk et al. (2021),Density,Liquid,AAgcST,CC[n+]1ccn(C)c1.N#C[S-],1-ethyl-3-methylimidazolium thiocyanate,AALcLI,CCCO,propan-1-ol,,,
cjqgS,100,298.15,0.0946,861.3,Hauk et al. (2021),Density,Liquid,AAgcST,CC[n+]1ccn(C)c1.N#C[S-],1-ethyl-3-methylimidazolium thiocyanate,AALcLI,CCCO,propan-1-ol,,,
cjqgS,100,298.15,0.1979,914.8,Hauk et al. (2021),Density,Liquid,AAgcST,CC[n+]1ccn(C)c1.N#C[S-],1-ethyl-3-methylimidazolium thiocyanate,AALcLI,CCCO,propan-1-ol,,,
cjqgS,100,298.15,0.2906,953.6,Hauk et al. (2021),Density,Liquid,AAgcST,CC[n+]1ccn(C)c1.N#C[S-],1-ethyl-3-methylimidazolium thiocyanate,AALcLI,CCCO,propan-1-ol,,,
cjqgS,100,298.15,0.4022,992.5,Hauk et al. (2021),Density,Liquid,AAgcST,CC[n+]1ccn(C)c1.N#C[S-],1-ethyl-3-methylimidazolium thiocyanate,AALcLI,CCCO,propan-1-ol,,,
cjqgS,100,298.15,0.4939,1019.4,Hauk et al. (2021),Density,Liquid,AAgcST,CC[n+]1ccn(C)c1.N#C[S-],1-ethyl-3-methylimidazolium thiocyanate,AALcLI,CCCO,propan-1-ol,,,
cjqgS,100,298.15,0.5959,1044.6,Hauk et al. (2021),Density,Liquid,AAgcST,CC[n+]1ccn(C)c1.N#C[S-],1-ethyl-3-methylimidazolium thiocyanate,AALcLI,CCCO,propan-1-ol,,,
cjqgS,100,298.15,0.7046,1067.5,Hauk et al. (2021),Density,Liquid,AAgcST,CC[n+]1ccn(C)c1.N#C[S-],1-ethyl-3-methylimidazolium thiocyanate,AALcLI,CCCO,propan-1-ol,,,
cjqgS,100,298.15,0.8003,1084.7,Hauk et al. (2021),Density,Liquid,AAgcST,CC[n+]1ccn(C)c1.N#C[S-],1-ethyl-3-methylimidazolium thiocyanate,AALcLI,CCCO,propan-1-ol,,,
cjqgS,100,298.15,0.8995,1100.2,Hauk et al. (2021),Density,Liquid,AAgcST,CC[n+]1ccn(C)c1.N#C[S-],1-ethyl-3-methylimidazolium thiocyanate,AALcLI,CCCO,propan-1-ol,,,
cjqgS,100,298.15,0.9492,1107.6,Hauk et al. (2021),Density,Liquid,AAgcST,CC[n+]1ccn(C)c1.N#C[S-],1-ethyl-3-methylimidazolium thiocyanate,AALcLI,CCCO,propan-1-ol,,,
cjqgS,100,298.15,1,1114,Hauk et al. (2021),Density,Liquid,AAgcST,CC[n+]1ccn(C)c1.N#C[S-],1-ethyl-3-methylimidazolium thiocyanate,AALcLI,CCCO,propan-1-ol,,,
cjqgS,100,303.15,0,796.2,Hauk et al. (2021),Density,Liquid,AAgcST,CC[n+]1ccn(C)c1.N#C[S-],1-ethyl-3-methylimidazolium thiocyanate,AALcLI,CCCO,propan-1-ol,,,
cjqgS,100,303.15,0.0507,831,Hauk et al. (2021),Density,Liquid,AAgcST,CC[n+]1ccn(C)c1.N#C[S-],1-ethyl-3-methylimidazolium thiocyanate,AALcLI,CCCO,propan-1-ol,,,
cjqgS,100,303.15,0.0946,857.7,Hauk et al. (2021),Density,Liquid,AAgcST,CC[n+]1ccn(C)c1.N#C[S-],1-ethyl-3-methylimidazolium thiocyanate,AALcLI,CCCO,propan-1-ol,,,
cjqgS,100,303.15,0.1979,911.2,Hauk et al. (2021),Density,Liquid,AAgcST,CC[n+]1ccn(C)c1.N#C[S-],1-ethyl-3-methylimidazolium thiocyanate,AALcLI,CCCO,propan-1-ol,,,
cjqgS,100,303.15,0.2906,950.3,Hauk et al. (2021),Density,Liquid,AAgcST,CC[n+]1ccn(C)c1.N#C[S-],1-ethyl-3-methylimidazolium thiocyanate,AALcLI,CCCO,propan-1-ol,,,
cjqgS,100,303.15,0.4022,989.1,Hauk et al. (2021),Density,Liquid,AAgcST,CC[n+]1ccn(C)c1.N#C[S-],1-ethyl-3-methylimidazolium thiocyanate,AALcLI,CCCO,propan-1-ol,,,
cjqgS,100,303.15,0.4939,1016,Hauk et al. (2021),Density,Liquid,AAgcST,CC[n+]1ccn(C)c1.N#C[S-],1-ethyl-3-methylimidazolium thiocyanate,AALcLI,CCCO,propan-1-ol,,,
cjqgS,100,303.15,0.5959,1041.3,Hauk et al. (2021),Density,Liquid,AAgcST,CC[n+]1ccn(C)c1.N#C[S-],1-ethyl-3-methylimidazolium thiocyanate,AALcLI,CCCO,propan-1-ol,,,
cjqgS,100,303.15,0.7046,1064,Hauk et al. (2021),Density,Liquid,AAgcST,CC[n+]1ccn(C)c1.N#C[S-],1-ethyl-3-methylimidazolium thiocyanate,AALcLI,CCCO,propan-1-ol,,,
cjqgS,100,303.15,0.8003,1081.5,Hauk et al. (2021),Density,Liquid,AAgcST,CC[n+]1ccn(C)c1.N#C[S-],1-ethyl-3-methylimidazolium thiocyanate,AALcLI,CCCO,propan-1-ol,,,
