setid,Solvent: Mole fraction of dimethyl sulfoxide,"MolaLity of tetrapropylammonium bromide, mol/kg","Temperature, K","Pressure, kPa","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
qGrwU,0.0184,0.0505,298.15,101.325,1007.89,Garcia-Paneda et al. (1996),Density,Liquid,AAPByN,CS(C)=O,dimethyl sulfoxide,AAzKlv,CCC[N+](CCC)(CCC)CCC.[Br-],tetrapropylammonium bromide,AADYJk,O,water
qGrwU,0.0184,0.1002,298.15,101.325,1009.28,Garcia-Paneda et al. (1996),Density,Liquid,AAPByN,CS(C)=O,dimethyl sulfoxide,AAzKlv,CCC[N+](CCC)(CCC)CCC.[Br-],tetrapropylammonium bromide,AADYJk,O,water
qGrwU,0.0184,0.1245,298.15,101.325,1009.96,Garcia-Paneda et al. (1996),Density,Liquid,AAPByN,CS(C)=O,dimethyl sulfoxide,AAzKlv,CCC[N+](CCC)(CCC)CCC.[Br-],tetrapropylammonium bromide,AADYJk,O,water
qGrwU,0.0184,0.1497,298.15,101.325,1010.66,Garcia-Paneda et al. (1996),Density,Liquid,AAPByN,CS(C)=O,dimethyl sulfoxide,AAzKlv,CCC[N+](CCC)(CCC)CCC.[Br-],tetrapropylammonium bromide,AADYJk,O,water
qGrwU,0.0184,0.1657,298.15,101.325,1011.12,Garcia-Paneda et al. (1996),Density,Liquid,AAPByN,CS(C)=O,dimethyl sulfoxide,AAzKlv,CCC[N+](CCC)(CCC)CCC.[Br-],tetrapropylammonium bromide,AADYJk,O,water
qGrwU,0.0184,0.2145,298.15,101.325,1012.45,Garcia-Paneda et al. (1996),Density,Liquid,AAPByN,CS(C)=O,dimethyl sulfoxide,AAzKlv,CCC[N+](CCC)(CCC)CCC.[Br-],tetrapropylammonium bromide,AADYJk,O,water
qGrwU,0.0184,0.2609,298.15,101.325,1013.75,Garcia-Paneda et al. (1996),Density,Liquid,AAPByN,CS(C)=O,dimethyl sulfoxide,AAzKlv,CCC[N+](CCC)(CCC)CCC.[Br-],tetrapropylammonium bromide,AADYJk,O,water
qGrwU,0.0391,0.0524,298.15,101.325,1018.02,Garcia-Paneda et al. (1996),Density,Liquid,AAPByN,CS(C)=O,dimethyl sulfoxide,AAzKlv,CCC[N+](CCC)(CCC)CCC.[Br-],tetrapropylammonium bromide,AADYJk,O,water
qGrwU,0.0391,0.0732,298.15,101.325,1018.61,Garcia-Paneda et al. (1996),Density,Liquid,AAPByN,CS(C)=O,dimethyl sulfoxide,AAzKlv,CCC[N+](CCC)(CCC)CCC.[Br-],tetrapropylammonium bromide,AADYJk,O,water
qGrwU,0.0391,0.0992,298.15,101.325,1019.36,Garcia-Paneda et al. (1996),Density,Liquid,AAPByN,CS(C)=O,dimethyl sulfoxide,AAzKlv,CCC[N+](CCC)(CCC)CCC.[Br-],tetrapropylammonium bromide,AADYJk,O,water
qGrwU,0.0391,0.1209,298.15,101.325,1019.97,Garcia-Paneda et al. (1996),Density,Liquid,AAPByN,CS(C)=O,dimethyl sulfoxide,AAzKlv,CCC[N+](CCC)(CCC)CCC.[Br-],tetrapropylammonium bromide,AADYJk,O,water
qGrwU,0.0391,0.1481,298.15,101.325,1020.75,Garcia-Paneda et al. (1996),Density,Liquid,AAPByN,CS(C)=O,dimethyl sulfoxide,AAzKlv,CCC[N+](CCC)(CCC)CCC.[Br-],tetrapropylammonium bromide,AADYJk,O,water
qGrwU,0.0391,0.1703,298.15,101.325,1021.32,Garcia-Paneda et al. (1996),Density,Liquid,AAPByN,CS(C)=O,dimethyl sulfoxide,AAzKlv,CCC[N+](CCC)(CCC)CCC.[Br-],tetrapropylammonium bromide,AADYJk,O,water
qGrwU,0.0391,0.2013,298.15,101.325,1022.22,Garcia-Paneda et al. (1996),Density,Liquid,AAPByN,CS(C)=O,dimethyl sulfoxide,AAzKlv,CCC[N+](CCC)(CCC)CCC.[Br-],tetrapropylammonium bromide,AADYJk,O,water
qGrwU,0.0391,0.2468,298.15,101.325,1023.6,Garcia-Paneda et al. (1996),Density,Liquid,AAPByN,CS(C)=O,dimethyl sulfoxide,AAzKlv,CCC[N+](CCC)(CCC)CCC.[Br-],tetrapropylammonium bromide,AADYJk,O,water
qGrwU,0.0899,0.0545,298.15,101.325,1040.02,Garcia-Paneda et al. (1996),Density,Liquid,AAPByN,CS(C)=O,dimethyl sulfoxide,AAzKlv,CCC[N+](CCC)(CCC)CCC.[Br-],tetrapropylammonium bromide,AADYJk,O,water
qGrwU,0.0899,0.0697,298.15,101.325,1040.46,Garcia-Paneda et al. (1996),Density,Liquid,AAPByN,CS(C)=O,dimethyl sulfoxide,AAzKlv,CCC[N+](CCC)(CCC)CCC.[Br-],tetrapropylammonium bromide,AADYJk,O,water
qGrwU,0.0899,0.0925,298.15,101.325,1041.08,Garcia-Paneda et al. (1996),Density,Liquid,AAPByN,CS(C)=O,dimethyl sulfoxide,AAzKlv,CCC[N+](CCC)(CCC)CCC.[Br-],tetrapropylammonium bromide,AADYJk,O,water
qGrwU,0.0899,0.1201,298.15,101.325,1041.83,Garcia-Paneda et al. (1996),Density,Liquid,AAPByN,CS(C)=O,dimethyl sulfoxide,AAzKlv,CCC[N+](CCC)(CCC)CCC.[Br-],tetrapropylammonium bromide,AADYJk,O,water
qGrwU,0.0899,0.1462,298.15,101.325,1042.53,Garcia-Paneda et al. (1996),Density,Liquid,AAPByN,CS(C)=O,dimethyl sulfoxide,AAzKlv,CCC[N+](CCC)(CCC)CCC.[Br-],tetrapropylammonium bromide,AADYJk,O,water
qGrwU,0.0899,0.1654,298.15,101.325,1043.05,Garcia-Paneda et al. (1996),Density,Liquid,AAPByN,CS(C)=O,dimethyl sulfoxide,AAzKlv,CCC[N+](CCC)(CCC)CCC.[Br-],tetrapropylammonium bromide,AADYJk,O,water
qGrwU,0.0899,0.192,298.15,101.325,1043.75,Garcia-Paneda et al. (1996),Density,Liquid,AAPByN,CS(C)=O,dimethyl sulfoxide,AAzKlv,CCC[N+](CCC)(CCC)CCC.[Br-],tetrapropylammonium bromide,AADYJk,O,water
qGrwU,0.0899,0.2148,298.15,101.325,1044.34,Garcia-Paneda et al. (1996),Density,Liquid,AAPByN,CS(C)=O,dimethyl sulfoxide,AAzKlv,CCC[N+](CCC)(CCC)CCC.[Br-],tetrapropylammonium bromide,AADYJk,O,water
qGrwU,0.0899,0.2501,298.15,101.325,1045.28,Garcia-Paneda et al. (1996),Density,Liquid,AAPByN,CS(C)=O,dimethyl sulfoxide,AAzKlv,CCC[N+](CCC)(CCC)CCC.[Br-],tetrapropylammonium bromide,AADYJk,O,water
qGrwU,0.1587,0.0577,298.15,101.325,1062.88,Garcia-Paneda et al. (1996),Density,Liquid,AAPByN,CS(C)=O,dimethyl sulfoxide,AAzKlv,CCC[N+](CCC)(CCC)CCC.[Br-],tetrapropylammonium bromide,AADYJk,O,water
qGrwU,0.1587,0.0742,298.15,101.325,1063.25,Garcia-Paneda et al. (1996),Density,Liquid,AAPByN,CS(C)=O,dimethyl sulfoxide,AAzKlv,CCC[N+](CCC)(CCC)CCC.[Br-],tetrapropylammonium bromide,AADYJk,O,water
