setid,"Temperature, K","MolaLity of N,N,N-trimethyl-1-hexadecanaminium bromide, mol/kg","Pressure, kPa",Solvent: Mole fraction of methanol,"Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
COLGP,293,0,101,0.08,975.9,Kaushal et al. (2015),Density,Liquid,ABSElq,CCCCCCCCCCCCCCCC[N+](C)(C)C.[Br-],"N,N,N-trimethyl-1-hexadecanaminium bromide",AADYJk,O,water,AAGIBL,CO,methanol
COLGP,293,0.002,101,0.08,976.2,Kaushal et al. (2015),Density,Liquid,ABSElq,CCCCCCCCCCCCCCCC[N+](C)(C)C.[Br-],"N,N,N-trimethyl-1-hexadecanaminium bromide",AADYJk,O,water,AAGIBL,CO,methanol
COLGP,293,0.003,101,0.08,976.2,Kaushal et al. (2015),Density,Liquid,ABSElq,CCCCCCCCCCCCCCCC[N+](C)(C)C.[Br-],"N,N,N-trimethyl-1-hexadecanaminium bromide",AADYJk,O,water,AAGIBL,CO,methanol
COLGP,293,0.004,101,0.08,976.3,Kaushal et al. (2015),Density,Liquid,ABSElq,CCCCCCCCCCCCCCCC[N+](C)(C)C.[Br-],"N,N,N-trimethyl-1-hexadecanaminium bromide",AADYJk,O,water,AAGIBL,CO,methanol
COLGP,293,0.005,101,0.08,976.3,Kaushal et al. (2015),Density,Liquid,ABSElq,CCCCCCCCCCCCCCCC[N+](C)(C)C.[Br-],"N,N,N-trimethyl-1-hexadecanaminium bromide",AADYJk,O,water,AAGIBL,CO,methanol
COLGP,293,0.006,101,0.08,976.3,Kaushal et al. (2015),Density,Liquid,ABSElq,CCCCCCCCCCCCCCCC[N+](C)(C)C.[Br-],"N,N,N-trimethyl-1-hexadecanaminium bromide",AADYJk,O,water,AAGIBL,CO,methanol
COLGP,293,0.007,101,0.08,976.3,Kaushal et al. (2015),Density,Liquid,ABSElq,CCCCCCCCCCCCCCCC[N+](C)(C)C.[Br-],"N,N,N-trimethyl-1-hexadecanaminium bromide",AADYJk,O,water,AAGIBL,CO,methanol
COLGP,293,0.008,101,0.08,976.3,Kaushal et al. (2015),Density,Liquid,ABSElq,CCCCCCCCCCCCCCCC[N+](C)(C)C.[Br-],"N,N,N-trimethyl-1-hexadecanaminium bromide",AADYJk,O,water,AAGIBL,CO,methanol
COLGP,293,0.009,101,0.08,976.3,Kaushal et al. (2015),Density,Liquid,ABSElq,CCCCCCCCCCCCCCCC[N+](C)(C)C.[Br-],"N,N,N-trimethyl-1-hexadecanaminium bromide",AADYJk,O,water,AAGIBL,CO,methanol
COLGP,293,0.01,101,0.08,976.4,Kaushal et al. (2015),Density,Liquid,ABSElq,CCCCCCCCCCCCCCCC[N+](C)(C)C.[Br-],"N,N,N-trimethyl-1-hexadecanaminium bromide",AADYJk,O,water,AAGIBL,CO,methanol
COLGP,293,0.011,101,0.08,976.4,Kaushal et al. (2015),Density,Liquid,ABSElq,CCCCCCCCCCCCCCCC[N+](C)(C)C.[Br-],"N,N,N-trimethyl-1-hexadecanaminium bromide",AADYJk,O,water,AAGIBL,CO,methanol
COLGP,293,0.012,101,0.08,976.4,Kaushal et al. (2015),Density,Liquid,ABSElq,CCCCCCCCCCCCCCCC[N+](C)(C)C.[Br-],"N,N,N-trimethyl-1-hexadecanaminium bromide",AADYJk,O,water,AAGIBL,CO,methanol
COLGP,293,0.013,101,0.08,976.4,Kaushal et al. (2015),Density,Liquid,ABSElq,CCCCCCCCCCCCCCCC[N+](C)(C)C.[Br-],"N,N,N-trimethyl-1-hexadecanaminium bromide",AADYJk,O,water,AAGIBL,CO,methanol
COLGP,293,0.014,101,0.08,976.4,Kaushal et al. (2015),Density,Liquid,ABSElq,CCCCCCCCCCCCCCCC[N+](C)(C)C.[Br-],"N,N,N-trimethyl-1-hexadecanaminium bromide",AADYJk,O,water,AAGIBL,CO,methanol
COLGP,298,0,101,0.08,973.9,Kaushal et al. (2015),Density,Liquid,ABSElq,CCCCCCCCCCCCCCCC[N+](C)(C)C.[Br-],"N,N,N-trimethyl-1-hexadecanaminium bromide",AADYJk,O,water,AAGIBL,CO,methanol
COLGP,298,0.002,101,0.08,974.3,Kaushal et al. (2015),Density,Liquid,ABSElq,CCCCCCCCCCCCCCCC[N+](C)(C)C.[Br-],"N,N,N-trimethyl-1-hexadecanaminium bromide",AADYJk,O,water,AAGIBL,CO,methanol
COLGP,298,0.003,101,0.08,974.3,Kaushal et al. (2015),Density,Liquid,ABSElq,CCCCCCCCCCCCCCCC[N+](C)(C)C.[Br-],"N,N,N-trimethyl-1-hexadecanaminium bromide",AADYJk,O,water,AAGIBL,CO,methanol
COLGP,298,0.004,101,0.08,974.4,Kaushal et al. (2015),Density,Liquid,ABSElq,CCCCCCCCCCCCCCCC[N+](C)(C)C.[Br-],"N,N,N-trimethyl-1-hexadecanaminium bromide",AADYJk,O,water,AAGIBL,CO,methanol
COLGP,298,0.005,101,0.08,974.4,Kaushal et al. (2015),Density,Liquid,ABSElq,CCCCCCCCCCCCCCCC[N+](C)(C)C.[Br-],"N,N,N-trimethyl-1-hexadecanaminium bromide",AADYJk,O,water,AAGIBL,CO,methanol
COLGP,298,0.006,101,0.08,974.4,Kaushal et al. (2015),Density,Liquid,ABSElq,CCCCCCCCCCCCCCCC[N+](C)(C)C.[Br-],"N,N,N-trimethyl-1-hexadecanaminium bromide",AADYJk,O,water,AAGIBL,CO,methanol
COLGP,298,0.007,101,0.08,974.4,Kaushal et al. (2015),Density,Liquid,ABSElq,CCCCCCCCCCCCCCCC[N+](C)(C)C.[Br-],"N,N,N-trimethyl-1-hexadecanaminium bromide",AADYJk,O,water,AAGIBL,CO,methanol
COLGP,298,0.008,101,0.08,974.4,Kaushal et al. (2015),Density,Liquid,ABSElq,CCCCCCCCCCCCCCCC[N+](C)(C)C.[Br-],"N,N,N-trimethyl-1-hexadecanaminium bromide",AADYJk,O,water,AAGIBL,CO,methanol
COLGP,298,0.009,101,0.08,974.4,Kaushal et al. (2015),Density,Liquid,ABSElq,CCCCCCCCCCCCCCCC[N+](C)(C)C.[Br-],"N,N,N-trimethyl-1-hexadecanaminium bromide",AADYJk,O,water,AAGIBL,CO,methanol
COLGP,298,0.01,101,0.08,974.5,Kaushal et al. (2015),Density,Liquid,ABSElq,CCCCCCCCCCCCCCCC[N+](C)(C)C.[Br-],"N,N,N-trimethyl-1-hexadecanaminium bromide",AADYJk,O,water,AAGIBL,CO,methanol
COLGP,298,0.011,101,0.08,974.5,Kaushal et al. (2015),Density,Liquid,ABSElq,CCCCCCCCCCCCCCCC[N+](C)(C)C.[Br-],"N,N,N-trimethyl-1-hexadecanaminium bromide",AADYJk,O,water,AAGIBL,CO,methanol
COLGP,298,0.012,101,0.08,974.5,Kaushal et al. (2015),Density,Liquid,ABSElq,CCCCCCCCCCCCCCCC[N+](C)(C)C.[Br-],"N,N,N-trimethyl-1-hexadecanaminium bromide",AADYJk,O,water,AAGIBL,CO,methanol
COLGP,298,0.013,101,0.08,974.5,Kaushal et al. (2015),Density,Liquid,ABSElq,CCCCCCCCCCCCCCCC[N+](C)(C)C.[Br-],"N,N,N-trimethyl-1-hexadecanaminium bromide",AADYJk,O,water,AAGIBL,CO,methanol
COLGP,298,0.014,101,0.08,974.5,Kaushal et al. (2015),Density,Liquid,ABSElq,CCCCCCCCCCCCCCCC[N+](C)(C)C.[Br-],"N,N,N-trimethyl-1-hexadecanaminium bromide",AADYJk,O,water,AAGIBL,CO,methanol
COLGP,303,0,101,0.08,972.5,Kaushal et al. (2015),Density,Liquid,ABSElq,CCCCCCCCCCCCCCCC[N+](C)(C)C.[Br-],"N,N,N-trimethyl-1-hexadecanaminium bromide",AADYJk,O,water,AAGIBL,CO,methanol
COLGP,303,0.002,101,0.08,973,Kaushal et al. (2015),Density,Liquid,ABSElq,CCCCCCCCCCCCCCCC[N+](C)(C)C.[Br-],"N,N,N-trimethyl-1-hexadecanaminium bromide",AADYJk,O,water,AAGIBL,CO,methanol
