setid,Mole fraction of 1-methyl-3-octylimidazolium tetrafluoroborate,"Pressure, kPa","Temperature, K","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
PWoTV,0.0495,101,298.15,869.02,Arce et al. (2006b),Density,Liquid,AAGIBL,CO,methanol,ABCNhW,CCCCCCCCn1cc[n+](C)c1.F[B-](F)(F)F,1-methyl-3-octylimidazolium tetrafluoroborate,,,
PWoTV,0.0979,101,298.15,921.23,Arce et al. (2006b),Density,Liquid,AAGIBL,CO,methanol,ABCNhW,CCCCCCCCn1cc[n+](C)c1.F[B-](F)(F)F,1-methyl-3-octylimidazolium tetrafluoroborate,,,
PWoTV,0.1997,101,298.15,986.4,Arce et al. (2006b),Density,Liquid,AAGIBL,CO,methanol,ABCNhW,CCCCCCCCn1cc[n+](C)c1.F[B-](F)(F)F,1-methyl-3-octylimidazolium tetrafluoroborate,,,
PWoTV,0.2859,101,298.15,1018.55,Arce et al. (2006b),Density,Liquid,AAGIBL,CO,methanol,ABCNhW,CCCCCCCCn1cc[n+](C)c1.F[B-](F)(F)F,1-methyl-3-octylimidazolium tetrafluoroborate,,,
PWoTV,0.3648,101,298.15,1038.89,Arce et al. (2006b),Density,Liquid,AAGIBL,CO,methanol,ABCNhW,CCCCCCCCn1cc[n+](C)c1.F[B-](F)(F)F,1-methyl-3-octylimidazolium tetrafluoroborate,,,
PWoTV,0.4461,101,298.15,1054.52,Arce et al. (2006b),Density,Liquid,AAGIBL,CO,methanol,ABCNhW,CCCCCCCCn1cc[n+](C)c1.F[B-](F)(F)F,1-methyl-3-octylimidazolium tetrafluoroborate,,,
PWoTV,0.4922,101,298.15,1061.78,Arce et al. (2006b),Density,Liquid,AAGIBL,CO,methanol,ABCNhW,CCCCCCCCn1cc[n+](C)c1.F[B-](F)(F)F,1-methyl-3-octylimidazolium tetrafluoroborate,,,
PWoTV,0.5121,101,298.15,1064.62,Arce et al. (2006b),Density,Liquid,AAGIBL,CO,methanol,ABCNhW,CCCCCCCCn1cc[n+](C)c1.F[B-](F)(F)F,1-methyl-3-octylimidazolium tetrafluoroborate,,,
PWoTV,0.5709,101,298.15,1072.21,Arce et al. (2006b),Density,Liquid,AAGIBL,CO,methanol,ABCNhW,CCCCCCCCn1cc[n+](C)c1.F[B-](F)(F)F,1-methyl-3-octylimidazolium tetrafluoroborate,,,
PWoTV,0.5972,101,298.15,1075.25,Arce et al. (2006b),Density,Liquid,AAGIBL,CO,methanol,ABCNhW,CCCCCCCCn1cc[n+](C)c1.F[B-](F)(F)F,1-methyl-3-octylimidazolium tetrafluoroborate,,,
PWoTV,0.6485,101,298.15,1080.67,Arce et al. (2006b),Density,Liquid,AAGIBL,CO,methanol,ABCNhW,CCCCCCCCn1cc[n+](C)c1.F[B-](F)(F)F,1-methyl-3-octylimidazolium tetrafluoroborate,,,
PWoTV,0.785,101,298.15,1092.37,Arce et al. (2006b),Density,Liquid,AAGIBL,CO,methanol,ABCNhW,CCCCCCCCn1cc[n+](C)c1.F[B-](F)(F)F,1-methyl-3-octylimidazolium tetrafluoroborate,,,
PWoTV,0.9049,101,298.15,1100.21,Arce et al. (2006b),Density,Liquid,AAGIBL,CO,methanol,ABCNhW,CCCCCCCCn1cc[n+](C)c1.F[B-](F)(F)F,1-methyl-3-octylimidazolium tetrafluoroborate,,,
