setid,"Temperature, K","Pressure, kPa","Molar volume, m<SUP>3</SUP>/mol",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
OpXRi,298.2,1140,0.000264,Muldoon et al. (2007),Density,Liquid,Gas,,21,AAIYzl,O=C=O,carbon dioxide,ACNmkc,CCCCCCn1cc[n+](C)c1.FC(F)(F)C(F)(F)[P-](F)(F)(F)(C(F)(F)C(F)(F)F)C(F)(F)C(F)(F)F,1-hexyl-3-methylimidazolium tris(pentafluoroethyl)trifluorophosphate
OpXRi,298.2,1940,0.000185,Muldoon et al. (2007),Density,Liquid,Gas,,21,AAIYzl,O=C=O,carbon dioxide,ACNmkc,CCCCCCn1cc[n+](C)c1.FC(F)(F)C(F)(F)[P-](F)(F)(F)(C(F)(F)C(F)(F)F)C(F)(F)C(F)(F)F,1-hexyl-3-methylimidazolium tris(pentafluoroethyl)trifluorophosphate
OpXRi,298.2,2970,0.000144,Muldoon et al. (2007),Density,Liquid,Gas,,21,AAIYzl,O=C=O,carbon dioxide,ACNmkc,CCCCCCn1cc[n+](C)c1.FC(F)(F)C(F)(F)[P-](F)(F)(F)(C(F)(F)C(F)(F)F)C(F)(F)C(F)(F)F,1-hexyl-3-methylimidazolium tris(pentafluoroethyl)trifluorophosphate
OpXRi,298.2,4390,0.000118,Muldoon et al. (2007),Density,Liquid,Gas,,21,AAIYzl,O=C=O,carbon dioxide,ACNmkc,CCCCCCn1cc[n+](C)c1.FC(F)(F)C(F)(F)[P-](F)(F)(F)(C(F)(F)C(F)(F)F)C(F)(F)C(F)(F)F,1-hexyl-3-methylimidazolium tris(pentafluoroethyl)trifluorophosphate
OpXRi,313.32,1040,0.000327,Muldoon et al. (2007),Density,Liquid,Gas,,21,AAIYzl,O=C=O,carbon dioxide,ACNmkc,CCCCCCn1cc[n+](C)c1.FC(F)(F)C(F)(F)[P-](F)(F)(F)(C(F)(F)C(F)(F)F)C(F)(F)C(F)(F)F,1-hexyl-3-methylimidazolium tris(pentafluoroethyl)trifluorophosphate
OpXRi,313.32,1810,0.000221,Muldoon et al. (2007),Density,Liquid,Gas,,21,AAIYzl,O=C=O,carbon dioxide,ACNmkc,CCCCCCn1cc[n+](C)c1.FC(F)(F)C(F)(F)[P-](F)(F)(F)(C(F)(F)C(F)(F)F)C(F)(F)C(F)(F)F,1-hexyl-3-methylimidazolium tris(pentafluoroethyl)trifluorophosphate
OpXRi,313.32,3010,0.000174,Muldoon et al. (2007),Density,Liquid,Gas,,21,AAIYzl,O=C=O,carbon dioxide,ACNmkc,CCCCCCn1cc[n+](C)c1.FC(F)(F)C(F)(F)[P-](F)(F)(F)(C(F)(F)C(F)(F)F)C(F)(F)C(F)(F)F,1-hexyl-3-methylimidazolium tris(pentafluoroethyl)trifluorophosphate
OpXRi,313.32,4530,0.000153,Muldoon et al. (2007),Density,Liquid,Gas,,21,AAIYzl,O=C=O,carbon dioxide,ACNmkc,CCCCCCn1cc[n+](C)c1.FC(F)(F)C(F)(F)[P-](F)(F)(F)(C(F)(F)C(F)(F)F)C(F)(F)C(F)(F)F,1-hexyl-3-methylimidazolium tris(pentafluoroethyl)trifluorophosphate
OpXRi,313.32,5660,0.000131,Muldoon et al. (2007),Density,Liquid,Gas,,21,AAIYzl,O=C=O,carbon dioxide,ACNmkc,CCCCCCn1cc[n+](C)c1.FC(F)(F)C(F)(F)[P-](F)(F)(F)(C(F)(F)C(F)(F)F)C(F)(F)C(F)(F)F,1-hexyl-3-methylimidazolium tris(pentafluoroethyl)trifluorophosphate
OpXRi,313.32,6620,0.00012,Muldoon et al. (2007),Density,Liquid,Gas,,21,AAIYzl,O=C=O,carbon dioxide,ACNmkc,CCCCCCn1cc[n+](C)c1.FC(F)(F)C(F)(F)[P-](F)(F)(F)(C(F)(F)C(F)(F)F)C(F)(F)C(F)(F)F,1-hexyl-3-methylimidazolium tris(pentafluoroethyl)trifluorophosphate
OpXRi,313.32,7770,0.000101,Muldoon et al. (2007),Density,Liquid,Gas,,21,AAIYzl,O=C=O,carbon dioxide,ACNmkc,CCCCCCn1cc[n+](C)c1.FC(F)(F)C(F)(F)[P-](F)(F)(F)(C(F)(F)C(F)(F)F)C(F)(F)C(F)(F)F,1-hexyl-3-methylimidazolium tris(pentafluoroethyl)trifluorophosphate
OpXRi,313.32,9110,9.9e-05,Muldoon et al. (2007),Density,Liquid,Gas,,21,AAIYzl,O=C=O,carbon dioxide,ACNmkc,CCCCCCn1cc[n+](C)c1.FC(F)(F)C(F)(F)[P-](F)(F)(F)(C(F)(F)C(F)(F)F)C(F)(F)C(F)(F)F,1-hexyl-3-methylimidazolium tris(pentafluoroethyl)trifluorophosphate
OpXRi,333.34,99.4,0.000405,Muldoon et al. (2007),Density,Liquid,Gas,,21,AAIYzl,O=C=O,carbon dioxide,ACNmkc,CCCCCCn1cc[n+](C)c1.FC(F)(F)C(F)(F)[P-](F)(F)(F)(C(F)(F)C(F)(F)F)C(F)(F)C(F)(F)F,1-hexyl-3-methylimidazolium tris(pentafluoroethyl)trifluorophosphate
OpXRi,333.34,1100,0.000359,Muldoon et al. (2007),Density,Liquid,Gas,,21,AAIYzl,O=C=O,carbon dioxide,ACNmkc,CCCCCCn1cc[n+](C)c1.FC(F)(F)C(F)(F)[P-](F)(F)(F)(C(F)(F)C(F)(F)F)C(F)(F)C(F)(F)F,1-hexyl-3-methylimidazolium tris(pentafluoroethyl)trifluorophosphate
