setid,"Moles per mass of solution: tetrapropylammonium perchlorate, mol/kg","Pressure, kPa","Temperature, K","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
aFVeC,0,100,298.15,1064.18,Krakowiak et al. (2001),Density,Liquid,ABCyFb,CCC[N+](CCC)(CCC)CCC.[O-]Cl(=O)(=O)=O,tetrapropylammonium perchlorate,AAjBXh,CCOP(=O)(OCC)OCC,triethyl phosphate,,,
aFVeC,0.01122,100,298.15,1064.53,Krakowiak et al. (2001),Density,Liquid,ABCyFb,CCC[N+](CCC)(CCC)CCC.[O-]Cl(=O)(=O)=O,tetrapropylammonium perchlorate,AAjBXh,CCOP(=O)(OCC)OCC,triethyl phosphate,,,
aFVeC,0.01312,100,298.15,1064.58,Krakowiak et al. (2001),Density,Liquid,ABCyFb,CCC[N+](CCC)(CCC)CCC.[O-]Cl(=O)(=O)=O,tetrapropylammonium perchlorate,AAjBXh,CCOP(=O)(OCC)OCC,triethyl phosphate,,,
aFVeC,0.01505,100,298.15,1064.63,Krakowiak et al. (2001),Density,Liquid,ABCyFb,CCC[N+](CCC)(CCC)CCC.[O-]Cl(=O)(=O)=O,tetrapropylammonium perchlorate,AAjBXh,CCOP(=O)(OCC)OCC,triethyl phosphate,,,
aFVeC,0.01672,100,298.15,1064.68,Krakowiak et al. (2001),Density,Liquid,ABCyFb,CCC[N+](CCC)(CCC)CCC.[O-]Cl(=O)(=O)=O,tetrapropylammonium perchlorate,AAjBXh,CCOP(=O)(OCC)OCC,triethyl phosphate,,,
aFVeC,0.01857,100,298.15,1064.73,Krakowiak et al. (2001),Density,Liquid,ABCyFb,CCC[N+](CCC)(CCC)CCC.[O-]Cl(=O)(=O)=O,tetrapropylammonium perchlorate,AAjBXh,CCOP(=O)(OCC)OCC,triethyl phosphate,,,
aFVeC,0.02057,100,298.15,1064.79,Krakowiak et al. (2001),Density,Liquid,ABCyFb,CCC[N+](CCC)(CCC)CCC.[O-]Cl(=O)(=O)=O,tetrapropylammonium perchlorate,AAjBXh,CCOP(=O)(OCC)OCC,triethyl phosphate,,,
aFVeC,0.02229,100,298.15,1064.84,Krakowiak et al. (2001),Density,Liquid,ABCyFb,CCC[N+](CCC)(CCC)CCC.[O-]Cl(=O)(=O)=O,tetrapropylammonium perchlorate,AAjBXh,CCOP(=O)(OCC)OCC,triethyl phosphate,,,
aFVeC,0.02421,100,298.15,1064.89,Krakowiak et al. (2001),Density,Liquid,ABCyFb,CCC[N+](CCC)(CCC)CCC.[O-]Cl(=O)(=O)=O,tetrapropylammonium perchlorate,AAjBXh,CCOP(=O)(OCC)OCC,triethyl phosphate,,,
aFVeC,0.02715,100,298.15,1064.96,Krakowiak et al. (2001),Density,Liquid,ABCyFb,CCC[N+](CCC)(CCC)CCC.[O-]Cl(=O)(=O)=O,tetrapropylammonium perchlorate,AAjBXh,CCOP(=O)(OCC)OCC,triethyl phosphate,,,
aFVeC,0.02945,100,298.15,1065.02,Krakowiak et al. (2001),Density,Liquid,ABCyFb,CCC[N+](CCC)(CCC)CCC.[O-]Cl(=O)(=O)=O,tetrapropylammonium perchlorate,AAjBXh,CCOP(=O)(OCC)OCC,triethyl phosphate,,,
aFVeC,0.03147,100,298.15,1065.07,Krakowiak et al. (2001),Density,Liquid,ABCyFb,CCC[N+](CCC)(CCC)CCC.[O-]Cl(=O)(=O)=O,tetrapropylammonium perchlorate,AAjBXh,CCOP(=O)(OCC)OCC,triethyl phosphate,,,
aFVeC,0.03374,100,298.15,1065.13,Krakowiak et al. (2001),Density,Liquid,ABCyFb,CCC[N+](CCC)(CCC)CCC.[O-]Cl(=O)(=O)=O,tetrapropylammonium perchlorate,AAjBXh,CCOP(=O)(OCC)OCC,triethyl phosphate,,,
aFVeC,0.03606,100,298.15,1065.18,Krakowiak et al. (2001),Density,Liquid,ABCyFb,CCC[N+](CCC)(CCC)CCC.[O-]Cl(=O)(=O)=O,tetrapropylammonium perchlorate,AAjBXh,CCOP(=O)(OCC)OCC,triethyl phosphate,,,
aFVeC,0.03726,100,298.15,1065.21,Krakowiak et al. (2001),Density,Liquid,ABCyFb,CCC[N+](CCC)(CCC)CCC.[O-]Cl(=O)(=O)=O,tetrapropylammonium perchlorate,AAjBXh,CCOP(=O)(OCC)OCC,triethyl phosphate,,,
aFVeC,0.0405,100,298.15,1065.3,Krakowiak et al. (2001),Density,Liquid,ABCyFb,CCC[N+](CCC)(CCC)CCC.[O-]Cl(=O)(=O)=O,tetrapropylammonium perchlorate,AAjBXh,CCOP(=O)(OCC)OCC,triethyl phosphate,,,
aFVeC,0.04278,100,298.15,1065.36,Krakowiak et al. (2001),Density,Liquid,ABCyFb,CCC[N+](CCC)(CCC)CCC.[O-]Cl(=O)(=O)=O,tetrapropylammonium perchlorate,AAjBXh,CCOP(=O)(OCC)OCC,triethyl phosphate,,,
aFVeC,0.04511,100,298.15,1065.41,Krakowiak et al. (2001),Density,Liquid,ABCyFb,CCC[N+](CCC)(CCC)CCC.[O-]Cl(=O)(=O)=O,tetrapropylammonium perchlorate,AAjBXh,CCOP(=O)(OCC)OCC,triethyl phosphate,,,
