setid,"MolaLity of N-octylpyridinium chloride, mol/kg","Pressure, kPa","Temperature, K","Specific density<SUP>*</SUP>, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
rPhYr,0.0498,101,298,-0.382,Causi et al. (1991),Density,Liquid,AArpEf,CCCCCCCC[n+]1ccccc1.[Cl-],N-octylpyridinium chloride,AADYJk,O,water,,,
rPhYr,0.0998,101,298,-0.72,Causi et al. (1991),Density,Liquid,AArpEf,CCCCCCCC[n+]1ccccc1.[Cl-],N-octylpyridinium chloride,AADYJk,O,water,,,
rPhYr,0.1492,101,298,-1.091,Causi et al. (1991),Density,Liquid,AArpEf,CCCCCCCC[n+]1ccccc1.[Cl-],N-octylpyridinium chloride,AADYJk,O,water,,,
rPhYr,0.1981,101,298,-1.428,Causi et al. (1991),Density,Liquid,AArpEf,CCCCCCCC[n+]1ccccc1.[Cl-],N-octylpyridinium chloride,AADYJk,O,water,,,
rPhYr,0.2464,101,298,-1.738,Causi et al. (1991),Density,Liquid,AArpEf,CCCCCCCC[n+]1ccccc1.[Cl-],N-octylpyridinium chloride,AADYJk,O,water,,,
rPhYr,0.3,101,298,-2.055,Causi et al. (1991),Density,Liquid,AArpEf,CCCCCCCC[n+]1ccccc1.[Cl-],N-octylpyridinium chloride,AADYJk,O,water,,,
rPhYr,0.3975,101,298,-2.532,Causi et al. (1991),Density,Liquid,AArpEf,CCCCCCCC[n+]1ccccc1.[Cl-],N-octylpyridinium chloride,AADYJk,O,water,,,
rPhYr,0.4747,101,298,-2.804,Causi et al. (1991),Density,Liquid,AArpEf,CCCCCCCC[n+]1ccccc1.[Cl-],N-octylpyridinium chloride,AADYJk,O,water,,,
rPhYr,0.5953,101,298,-3.143,Causi et al. (1991),Density,Liquid,AArpEf,CCCCCCCC[n+]1ccccc1.[Cl-],N-octylpyridinium chloride,AADYJk,O,water,,,
rPhYr,0.6946,101,298,-3.4,Causi et al. (1991),Density,Liquid,AArpEf,CCCCCCCC[n+]1ccccc1.[Cl-],N-octylpyridinium chloride,AADYJk,O,water,,,
rPhYr,0.7707,101,298,-3.575,Causi et al. (1991),Density,Liquid,AArpEf,CCCCCCCC[n+]1ccccc1.[Cl-],N-octylpyridinium chloride,AADYJk,O,water,,,
rPhYr,0.9075,101,298,-3.88,Causi et al. (1991),Density,Liquid,AArpEf,CCCCCCCC[n+]1ccccc1.[Cl-],N-octylpyridinium chloride,AADYJk,O,water,,,
rPhYr,1.0886,101,298,-4.266,Causi et al. (1991),Density,Liquid,AArpEf,CCCCCCCC[n+]1ccccc1.[Cl-],N-octylpyridinium chloride,AADYJk,O,water,,,
rPhYr,1.2971,101,298,-4.652,Causi et al. (1991),Density,Liquid,AArpEf,CCCCCCCC[n+]1ccccc1.[Cl-],N-octylpyridinium chloride,AADYJk,O,water,,,
rPhYr,1.5029,101,298,-5.013,Causi et al. (1991),Density,Liquid,AArpEf,CCCCCCCC[n+]1ccccc1.[Cl-],N-octylpyridinium chloride,AADYJk,O,water,,,
rPhYr,1.6937,101,298,-5.342,Causi et al. (1991),Density,Liquid,AArpEf,CCCCCCCC[n+]1ccccc1.[Cl-],N-octylpyridinium chloride,AADYJk,O,water,,,
rPhYr,2.013,101,298,-5.883,Causi et al. (1991),Density,Liquid,AArpEf,CCCCCCCC[n+]1ccccc1.[Cl-],N-octylpyridinium chloride,AADYJk,O,water,,,
