setid,"Temperature, K","MolaLity of tetrapropylammonium bromide, mol/kg","Solvent: Weight fraction of 1,2-propanediol","Pressure, kPa","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
HNgdG,288.15,0,0,100,999.1,Grzybkowski and Warminska (2016),Density,Liquid,AAOgbS,CC(O)CO,"1,2-propanediol",AAzKlv,CCC[N+](CCC)(CCC)CCC.[Br-],tetrapropylammonium bromide,AADYJk,O,water
HNgdG,288.15,0,0.25,100,1020.98,Grzybkowski and Warminska (2016),Density,Liquid,AAOgbS,CC(O)CO,"1,2-propanediol",AAzKlv,CCC[N+](CCC)(CCC)CCC.[Br-],tetrapropylammonium bromide,AADYJk,O,water
HNgdG,288.15,0,0.5,100,1041.16,Grzybkowski and Warminska (2016),Density,Liquid,AAOgbS,CC(O)CO,"1,2-propanediol",AAzKlv,CCC[N+](CCC)(CCC)CCC.[Br-],tetrapropylammonium bromide,AADYJk,O,water
HNgdG,288.15,0,0.75,100,1047.67,Grzybkowski and Warminska (2016),Density,Liquid,AAOgbS,CC(O)CO,"1,2-propanediol",AAzKlv,CCC[N+](CCC)(CCC)CCC.[Br-],tetrapropylammonium bromide,AADYJk,O,water
HNgdG,288.15,0,1,100,1039.77,Grzybkowski and Warminska (2016),Density,Liquid,AAOgbS,CC(O)CO,"1,2-propanediol",AAzKlv,CCC[N+](CCC)(CCC)CCC.[Br-],tetrapropylammonium bromide,AADYJk,O,water
HNgdG,288.15,0.0162,0,100,999.56,Grzybkowski and Warminska (2016),Density,Liquid,AAOgbS,CC(O)CO,"1,2-propanediol",AAzKlv,CCC[N+](CCC)(CCC)CCC.[Br-],tetrapropylammonium bromide,AADYJk,O,water
HNgdG,288.15,0.0168,0.75,100,1048.01,Grzybkowski and Warminska (2016),Density,Liquid,AAOgbS,CC(O)CO,"1,2-propanediol",AAzKlv,CCC[N+](CCC)(CCC)CCC.[Br-],tetrapropylammonium bromide,AADYJk,O,water
HNgdG,288.15,0.0168,1,100,1040.13,Grzybkowski and Warminska (2016),Density,Liquid,AAOgbS,CC(O)CO,"1,2-propanediol",AAzKlv,CCC[N+](CCC)(CCC)CCC.[Br-],tetrapropylammonium bromide,AADYJk,O,water
HNgdG,288.15,0.0173,0.25,100,1021.53,Grzybkowski and Warminska (2016),Density,Liquid,AAOgbS,CC(O)CO,"1,2-propanediol",AAzKlv,CCC[N+](CCC)(CCC)CCC.[Br-],tetrapropylammonium bromide,AADYJk,O,water
HNgdG,288.15,0.0183,0.5,100,1041.62,Grzybkowski and Warminska (2016),Density,Liquid,AAOgbS,CC(O)CO,"1,2-propanediol",AAzKlv,CCC[N+](CCC)(CCC)CCC.[Br-],tetrapropylammonium bromide,AADYJk,O,water
