setid,"Temperature, K","MolaLity of 1-dodecyl-3-methylimidazolium bromide, mol/kg","Pressure, kPa","Solvent: MolaLity of magnesium chloride, mol/kg","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
GYlll,288.15,0,84.5,0.035,1002.4,Golabiazar and Sadeghi (2014b),Density,Liquid,AADYJk,O,water,AASQTG,[Cl-].[Cl-].[Mg+2],magnesium chloride,ABLlfj,CCCCCCCCCCCC[n+]1ccn(C)c1.[Br-],1-dodecyl-3-methylimidazolium bromide
GYlll,288.15,0.00118,84.5,0.035,1002.45,Golabiazar and Sadeghi (2014b),Density,Liquid,AADYJk,O,water,AASQTG,[Cl-].[Cl-].[Mg+2],magnesium chloride,ABLlfj,CCCCCCCCCCCC[n+]1ccn(C)c1.[Br-],1-dodecyl-3-methylimidazolium bromide
GYlll,288.15,0.00192,84.5,0.035,1002.48,Golabiazar and Sadeghi (2014b),Density,Liquid,AADYJk,O,water,AASQTG,[Cl-].[Cl-].[Mg+2],magnesium chloride,ABLlfj,CCCCCCCCCCCC[n+]1ccn(C)c1.[Br-],1-dodecyl-3-methylimidazolium bromide
GYlll,288.15,0.00257,84.5,0.035,1002.5,Golabiazar and Sadeghi (2014b),Density,Liquid,AADYJk,O,water,AASQTG,[Cl-].[Cl-].[Mg+2],magnesium chloride,ABLlfj,CCCCCCCCCCCC[n+]1ccn(C)c1.[Br-],1-dodecyl-3-methylimidazolium bromide
GYlll,288.15,0.00288,84.5,0.035,1002.52,Golabiazar and Sadeghi (2014b),Density,Liquid,AADYJk,O,water,AASQTG,[Cl-].[Cl-].[Mg+2],magnesium chloride,ABLlfj,CCCCCCCCCCCC[n+]1ccn(C)c1.[Br-],1-dodecyl-3-methylimidazolium bromide
GYlll,288.15,0.00375,84.5,0.035,1002.56,Golabiazar and Sadeghi (2014b),Density,Liquid,AADYJk,O,water,AASQTG,[Cl-].[Cl-].[Mg+2],magnesium chloride,ABLlfj,CCCCCCCCCCCC[n+]1ccn(C)c1.[Br-],1-dodecyl-3-methylimidazolium bromide
GYlll,288.15,0.00438,84.5,0.035,1002.58,Golabiazar and Sadeghi (2014b),Density,Liquid,AADYJk,O,water,AASQTG,[Cl-].[Cl-].[Mg+2],magnesium chloride,ABLlfj,CCCCCCCCCCCC[n+]1ccn(C)c1.[Br-],1-dodecyl-3-methylimidazolium bromide
GYlll,288.15,0.00508,84.5,0.035,1002.6,Golabiazar and Sadeghi (2014b),Density,Liquid,AADYJk,O,water,AASQTG,[Cl-].[Cl-].[Mg+2],magnesium chloride,ABLlfj,CCCCCCCCCCCC[n+]1ccn(C)c1.[Br-],1-dodecyl-3-methylimidazolium bromide
GYlll,288.15,0.00542,84.5,0.035,1002.62,Golabiazar and Sadeghi (2014b),Density,Liquid,AADYJk,O,water,AASQTG,[Cl-].[Cl-].[Mg+2],magnesium chloride,ABLlfj,CCCCCCCCCCCC[n+]1ccn(C)c1.[Br-],1-dodecyl-3-methylimidazolium bromide
GYlll,288.15,0.00593,84.5,0.035,1002.62,Golabiazar and Sadeghi (2014b),Density,Liquid,AADYJk,O,water,AASQTG,[Cl-].[Cl-].[Mg+2],magnesium chloride,ABLlfj,CCCCCCCCCCCC[n+]1ccn(C)c1.[Br-],1-dodecyl-3-methylimidazolium bromide
GYlll,288.15,0.00912,84.5,0.035,1002.72,Golabiazar and Sadeghi (2014b),Density,Liquid,AADYJk,O,water,AASQTG,[Cl-].[Cl-].[Mg+2],magnesium chloride,ABLlfj,CCCCCCCCCCCC[n+]1ccn(C)c1.[Br-],1-dodecyl-3-methylimidazolium bromide
GYlll,288.15,0.01217,84.5,0.035,1002.81,Golabiazar and Sadeghi (2014b),Density,Liquid,AADYJk,O,water,AASQTG,[Cl-].[Cl-].[Mg+2],magnesium chloride,ABLlfj,CCCCCCCCCCCC[n+]1ccn(C)c1.[Br-],1-dodecyl-3-methylimidazolium bromide
GYlll,288.15,0.01515,84.5,0.035,1002.9,Golabiazar and Sadeghi (2014b),Density,Liquid,AADYJk,O,water,AASQTG,[Cl-].[Cl-].[Mg+2],magnesium chloride,ABLlfj,CCCCCCCCCCCC[n+]1ccn(C)c1.[Br-],1-dodecyl-3-methylimidazolium bromide
GYlll,288.15,0.01824,84.5,0.035,1003,Golabiazar and Sadeghi (2014b),Density,Liquid,AADYJk,O,water,AASQTG,[Cl-].[Cl-].[Mg+2],magnesium chloride,ABLlfj,CCCCCCCCCCCC[n+]1ccn(C)c1.[Br-],1-dodecyl-3-methylimidazolium bromide
GYlll,288.15,0.02048,84.5,0.035,1003.06,Golabiazar and Sadeghi (2014b),Density,Liquid,AADYJk,O,water,AASQTG,[Cl-].[Cl-].[Mg+2],magnesium chloride,ABLlfj,CCCCCCCCCCCC[n+]1ccn(C)c1.[Br-],1-dodecyl-3-methylimidazolium bromide
GYlll,288.15,0.02591,84.5,0.035,1003.23,Golabiazar and Sadeghi (2014b),Density,Liquid,AADYJk,O,water,AASQTG,[Cl-].[Cl-].[Mg+2],magnesium chloride,ABLlfj,CCCCCCCCCCCC[n+]1ccn(C)c1.[Br-],1-dodecyl-3-methylimidazolium bromide
GYlll,288.15,0.03049,84.5,0.035,1003.37,Golabiazar and Sadeghi (2014b),Density,Liquid,AADYJk,O,water,AASQTG,[Cl-].[Cl-].[Mg+2],magnesium chloride,ABLlfj,CCCCCCCCCCCC[n+]1ccn(C)c1.[Br-],1-dodecyl-3-methylimidazolium bromide
GYlll,288.15,0.04536,84.5,0.035,1003.8,Golabiazar and Sadeghi (2014b),Density,Liquid,AADYJk,O,water,AASQTG,[Cl-].[Cl-].[Mg+2],magnesium chloride,ABLlfj,CCCCCCCCCCCC[n+]1ccn(C)c1.[Br-],1-dodecyl-3-methylimidazolium bromide
GYlll,288.15,0.06171,84.5,0.035,1004.28,Golabiazar and Sadeghi (2014b),Density,Liquid,AADYJk,O,water,AASQTG,[Cl-].[Cl-].[Mg+2],magnesium chloride,ABLlfj,CCCCCCCCCCCC[n+]1ccn(C)c1.[Br-],1-dodecyl-3-methylimidazolium bromide
GYlll,288.15,0.0771,84.5,0.035,1004.73,Golabiazar and Sadeghi (2014b),Density,Liquid,AADYJk,O,water,AASQTG,[Cl-].[Cl-].[Mg+2],magnesium chloride,ABLlfj,CCCCCCCCCCCC[n+]1ccn(C)c1.[Br-],1-dodecyl-3-methylimidazolium bromide
