setid,"Temperature, K","MolaLity of 1-butyl-1-methylpyrrolidinium 1,1,2,2-tetrafluoroethanesulfonate, mol/kg","Pressure, kPa","Specific density<SUP>*</SUP>, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
HTnor,288.15,0.01026,100,0.807,Havlov and Dohnal (2018),Density,Liquid,AADYJk,O,water,ABKJQh,CCCC[N+]1(C)CCCC1.O=S(=O)([O-])C(F)(F)C(F)F,"1-butyl-1-methylpyrrolidinium 1,1,2,2-tetrafluoroethanesulfonate",,,
HTnor,288.15,0.01177,100,0.926,Havlov and Dohnal (2018),Density,Liquid,AADYJk,O,water,ABKJQh,CCCC[N+]1(C)CCCC1.O=S(=O)([O-])C(F)(F)C(F)F,"1-butyl-1-methylpyrrolidinium 1,1,2,2-tetrafluoroethanesulfonate",,,
HTnor,288.15,0.02018,100,1.588,Havlov and Dohnal (2018),Density,Liquid,AADYJk,O,water,ABKJQh,CCCC[N+]1(C)CCCC1.O=S(=O)([O-])C(F)(F)C(F)F,"1-butyl-1-methylpyrrolidinium 1,1,2,2-tetrafluoroethanesulfonate",,,
HTnor,288.15,0.02912,100,2.286,Havlov and Dohnal (2018),Density,Liquid,AADYJk,O,water,ABKJQh,CCCC[N+]1(C)CCCC1.O=S(=O)([O-])C(F)(F)C(F)F,"1-butyl-1-methylpyrrolidinium 1,1,2,2-tetrafluoroethanesulfonate",,,
HTnor,288.15,0.05104,100,3.991,Havlov and Dohnal (2018),Density,Liquid,AADYJk,O,water,ABKJQh,CCCC[N+]1(C)CCCC1.O=S(=O)([O-])C(F)(F)C(F)F,"1-butyl-1-methylpyrrolidinium 1,1,2,2-tetrafluoroethanesulfonate",,,
HTnor,288.15,0.07113,100,5.541,Havlov and Dohnal (2018),Density,Liquid,AADYJk,O,water,ABKJQh,CCCC[N+]1(C)CCCC1.O=S(=O)([O-])C(F)(F)C(F)F,"1-butyl-1-methylpyrrolidinium 1,1,2,2-tetrafluoroethanesulfonate",,,
HTnor,288.15,0.09124,100,7.082,Havlov and Dohnal (2018),Density,Liquid,AADYJk,O,water,ABKJQh,CCCC[N+]1(C)CCCC1.O=S(=O)([O-])C(F)(F)C(F)F,"1-butyl-1-methylpyrrolidinium 1,1,2,2-tetrafluoroethanesulfonate",,,
HTnor,293.15,0.01026,100,0.802,Havlov and Dohnal (2018),Density,Liquid,AADYJk,O,water,ABKJQh,CCCC[N+]1(C)CCCC1.O=S(=O)([O-])C(F)(F)C(F)F,"1-butyl-1-methylpyrrolidinium 1,1,2,2-tetrafluoroethanesulfonate",,,
HTnor,293.15,0.01177,100,0.918,Havlov and Dohnal (2018),Density,Liquid,AADYJk,O,water,ABKJQh,CCCC[N+]1(C)CCCC1.O=S(=O)([O-])C(F)(F)C(F)F,"1-butyl-1-methylpyrrolidinium 1,1,2,2-tetrafluoroethanesulfonate",,,
HTnor,293.15,0.02018,100,1.572,Havlov and Dohnal (2018),Density,Liquid,AADYJk,O,water,ABKJQh,CCCC[N+]1(C)CCCC1.O=S(=O)([O-])C(F)(F)C(F)F,"1-butyl-1-methylpyrrolidinium 1,1,2,2-tetrafluoroethanesulfonate",,,
HTnor,293.15,0.02912,100,2.263,Havlov and Dohnal (2018),Density,Liquid,AADYJk,O,water,ABKJQh,CCCC[N+]1(C)CCCC1.O=S(=O)([O-])C(F)(F)C(F)F,"1-butyl-1-methylpyrrolidinium 1,1,2,2-tetrafluoroethanesulfonate",,,
HTnor,293.15,0.05104,100,3.945,Havlov and Dohnal (2018),Density,Liquid,AADYJk,O,water,ABKJQh,CCCC[N+]1(C)CCCC1.O=S(=O)([O-])C(F)(F)C(F)F,"1-butyl-1-methylpyrrolidinium 1,1,2,2-tetrafluoroethanesulfonate",,,
HTnor,293.15,0.07113,100,5.475,Havlov and Dohnal (2018),Density,Liquid,AADYJk,O,water,ABKJQh,CCCC[N+]1(C)CCCC1.O=S(=O)([O-])C(F)(F)C(F)F,"1-butyl-1-methylpyrrolidinium 1,1,2,2-tetrafluoroethanesulfonate",,,
HTnor,293.15,0.09124,100,6.995,Havlov and Dohnal (2018),Density,Liquid,AADYJk,O,water,ABKJQh,CCCC[N+]1(C)CCCC1.O=S(=O)([O-])C(F)(F)C(F)F,"1-butyl-1-methylpyrrolidinium 1,1,2,2-tetrafluoroethanesulfonate",,,
HTnor,298.15,0.01026,100,0.791,Havlov and Dohnal (2018),Density,Liquid,AADYJk,O,water,ABKJQh,CCCC[N+]1(C)CCCC1.O=S(=O)([O-])C(F)(F)C(F)F,"1-butyl-1-methylpyrrolidinium 1,1,2,2-tetrafluoroethanesulfonate",,,
