setid,"Temperature, K",Solvent: Mole fraction of propan-2-ol,"MolaLity of choline lactate, mol/kg","Pressure, kPa","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
GVjiK,288.15,0.07,0,101.3,971.2,Momeni and Shekaari (2022),Density,Liquid,AAlIDA,CC(O)C(=O)[O-].C[N+](C)(C)CCO,choline lactate,AALcwx,CC(C)O,propan-2-ol,AADYJk,O,water
GVjiK,288.15,0.07,0.0307,101.3,972.1,Momeni and Shekaari (2022),Density,Liquid,AAlIDA,CC(O)C(=O)[O-].C[N+](C)(C)CCO,choline lactate,AALcwx,CC(C)O,propan-2-ol,AADYJk,O,water
GVjiK,288.15,0.07,0.0633,101.3,973.3,Momeni and Shekaari (2022),Density,Liquid,AAlIDA,CC(O)C(=O)[O-].C[N+](C)(C)CCO,choline lactate,AALcwx,CC(C)O,propan-2-ol,AADYJk,O,water
GVjiK,288.15,0.07,0.0892,101.3,974.4,Momeni and Shekaari (2022),Density,Liquid,AAlIDA,CC(O)C(=O)[O-].C[N+](C)(C)CCO,choline lactate,AALcwx,CC(C)O,propan-2-ol,AADYJk,O,water
GVjiK,288.15,0.07,0.1181,101.3,975.5,Momeni and Shekaari (2022),Density,Liquid,AAlIDA,CC(O)C(=O)[O-].C[N+](C)(C)CCO,choline lactate,AALcwx,CC(C)O,propan-2-ol,AADYJk,O,water
GVjiK,288.15,0.07,0.152,101.3,976.8,Momeni and Shekaari (2022),Density,Liquid,AAlIDA,CC(O)C(=O)[O-].C[N+](C)(C)CCO,choline lactate,AALcwx,CC(C)O,propan-2-ol,AADYJk,O,water
GVjiK,288.15,0.07,0.1763,101.3,977.7,Momeni and Shekaari (2022),Density,Liquid,AAlIDA,CC(O)C(=O)[O-].C[N+](C)(C)CCO,choline lactate,AALcwx,CC(C)O,propan-2-ol,AADYJk,O,water
GVjiK,288.15,0.1665,0,101.3,933.9,Momeni and Shekaari (2022),Density,Liquid,AAlIDA,CC(O)C(=O)[O-].C[N+](C)(C)CCO,choline lactate,AALcwx,CC(C)O,propan-2-ol,AADYJk,O,water
GVjiK,288.15,0.1665,0.0282,101.3,934.6,Momeni and Shekaari (2022),Density,Liquid,AAlIDA,CC(O)C(=O)[O-].C[N+](C)(C)CCO,choline lactate,AALcwx,CC(C)O,propan-2-ol,AADYJk,O,water
GVjiK,288.15,0.1665,0.057,101.3,935.7,Momeni and Shekaari (2022),Density,Liquid,AAlIDA,CC(O)C(=O)[O-].C[N+](C)(C)CCO,choline lactate,AALcwx,CC(C)O,propan-2-ol,AADYJk,O,water
GVjiK,288.15,0.1665,0.0856,101.3,936.8,Momeni and Shekaari (2022),Density,Liquid,AAlIDA,CC(O)C(=O)[O-].C[N+](C)(C)CCO,choline lactate,AALcwx,CC(C)O,propan-2-ol,AADYJk,O,water
GVjiK,288.15,0.1665,0.1189,101.3,938.1,Momeni and Shekaari (2022),Density,Liquid,AAlIDA,CC(O)C(=O)[O-].C[N+](C)(C)CCO,choline lactate,AALcwx,CC(C)O,propan-2-ol,AADYJk,O,water
GVjiK,288.15,0.1665,0.1484,101.3,939.3,Momeni and Shekaari (2022),Density,Liquid,AAlIDA,CC(O)C(=O)[O-].C[N+](C)(C)CCO,choline lactate,AALcwx,CC(C)O,propan-2-ol,AADYJk,O,water
GVjiK,288.15,0.1665,0.1795,101.3,940.4,Momeni and Shekaari (2022),Density,Liquid,AAlIDA,CC(O)C(=O)[O-].C[N+](C)(C)CCO,choline lactate,AALcwx,CC(C)O,propan-2-ol,AADYJk,O,water
GVjiK,288.15,0.6833,0,101.3,822,Momeni and Shekaari (2022),Density,Liquid,AAlIDA,CC(O)C(=O)[O-].C[N+](C)(C)CCO,choline lactate,AALcwx,CC(C)O,propan-2-ol,AADYJk,O,water
GVjiK,288.15,0.6833,0.0304,101.3,822.8,Momeni and Shekaari (2022),Density,Liquid,AAlIDA,CC(O)C(=O)[O-].C[N+](C)(C)CCO,choline lactate,AALcwx,CC(C)O,propan-2-ol,AADYJk,O,water
GVjiK,288.15,0.6833,0.0591,101.3,824,Momeni and Shekaari (2022),Density,Liquid,AAlIDA,CC(O)C(=O)[O-].C[N+](C)(C)CCO,choline lactate,AALcwx,CC(C)O,propan-2-ol,AADYJk,O,water
GVjiK,288.15,0.6833,0.0902,101.3,825.2,Momeni and Shekaari (2022),Density,Liquid,AAlIDA,CC(O)C(=O)[O-].C[N+](C)(C)CCO,choline lactate,AALcwx,CC(C)O,propan-2-ol,AADYJk,O,water
GVjiK,288.15,0.6833,0.1188,101.3,826.5,Momeni and Shekaari (2022),Density,Liquid,AAlIDA,CC(O)C(=O)[O-].C[N+](C)(C)CCO,choline lactate,AALcwx,CC(C)O,propan-2-ol,AADYJk,O,water
GVjiK,288.15,0.6833,0.1506,101.3,828,Momeni and Shekaari (2022),Density,Liquid,AAlIDA,CC(O)C(=O)[O-].C[N+](C)(C)CCO,choline lactate,AALcwx,CC(C)O,propan-2-ol,AADYJk,O,water
GVjiK,288.15,0.6833,0.1842,101.3,829.5,Momeni and Shekaari (2022),Density,Liquid,AAlIDA,CC(O)C(=O)[O-].C[N+](C)(C)CCO,choline lactate,AALcwx,CC(C)O,propan-2-ol,AADYJk,O,water
GVjiK,288.15,1,0,101.3,789.7,Momeni and Shekaari (2022),Density,Liquid,AAlIDA,CC(O)C(=O)[O-].C[N+](C)(C)CCO,choline lactate,AALcwx,CC(C)O,propan-2-ol,AADYJk,O,water
GVjiK,288.15,1,0.0299,101.3,790.4,Momeni and Shekaari (2022),Density,Liquid,AAlIDA,CC(O)C(=O)[O-].C[N+](C)(C)CCO,choline lactate,AALcwx,CC(C)O,propan-2-ol,AADYJk,O,water
GVjiK,288.15,1,0.0594,101.3,791.3,Momeni and Shekaari (2022),Density,Liquid,AAlIDA,CC(O)C(=O)[O-].C[N+](C)(C)CCO,choline lactate,AALcwx,CC(C)O,propan-2-ol,AADYJk,O,water
GVjiK,288.15,1,0.088,101.3,792.1,Momeni and Shekaari (2022),Density,Liquid,AAlIDA,CC(O)C(=O)[O-].C[N+](C)(C)CCO,choline lactate,AALcwx,CC(C)O,propan-2-ol,AADYJk,O,water
